tab 	rmag_anisotropy
anisotropy_n	anisotropy_s1	anisotropy_s2	anisotropy_s3	anisotropy_s4	anisotropy_s5	anisotropy_s6	anisotropy_sigma	anisotropy_tilt_correction	anisotropy_type	anisotropy_unit	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_method_codes
192	0.3336353	0.3332982	0.3330665	-0.0000268	0.0000634	0.0002165	1.52E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-003H-6-W-66	318-U1361A-003H-6-W-66	318-U1361A-003H-6-W-66	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3334522	0.3322052	0.3343426	-0.0003556	0.000624	0.0000519	1.37E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-003H-7-W-50	318-U1361A-003H-7-W-50	318-U1361A-003H-7-W-50	LP-X:AE-H:LP-AN-MS:SO-V
192	0.335131	0.3362245	0.3286445	0.0002915	0.0004011	-0.0000364	7.02E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-004H-2-W-81	318-U1361A-004H-2-W-81	318-U1361A-004H-2-W-81	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3342502	0.3335815	0.3321683	-0.0001072	0.0000292	0.0005302	1.52E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-004H-3-W-81	318-U1361A-004H-3-W-81	318-U1361A-004H-3-W-81	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3336333	0.3341826	0.3321842	-0.0004278	0.0003092	0.0002576	1.20E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-004H-4-W-69	318-U1361A-004H-4-W-69	318-U1361A-004H-4-W-69	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3332849	0.3344562	0.3322589	0.0001464	0.0004708	0.0007197	1.65E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-004H-5-W-70	318-U1361A-004H-5-W-70	318-U1361A-004H-5-W-70	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3340486	0.3336189	0.3323324	0.000266	0.0002905	0.0000178	1.29E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-004H-6-W-63	318-U1361A-004H-6-W-63	318-U1361A-004H-6-W-63	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3331316	0.3331367	0.3337316	0.0003982	-0.0000358	0.0002492	1.34E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-005H-2-W-48	318-U1361A-005H-2-W-48	318-U1361A-005H-2-W-48	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3361116	0.3353611	0.3285273	-0.0000394	0.0000566	-0.0006483	1.22E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-005H-3-W-78	318-U1361A-005H-3-W-78	318-U1361A-005H-3-W-78	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3338174	0.3348019	0.3313807	-0.0003343	-0.0004081	0.0016614	2.01E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-005H-4-W-55	318-U1361A-005H-4-W-55	318-U1361A-005H-4-W-55	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3346732	0.332268	0.3330588	-0.00082	0.0003171	-0.0009889	1.94E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-005H-5-W-47	318-U1361A-005H-5-W-47	318-U1361A-005H-5-W-47	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3359715	0.3352544	0.3287741	-0.000795	0.0003372	0.0004501	3.60E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-005H-6-W-48	318-U1361A-005H-6-W-48	318-U1361A-005H-6-W-48	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3351787	0.3357355	0.3290858	-0.0005568	-0.000548	0.0003496	1.41E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-005H-7-W-38	318-U1361A-005H-7-W-38	318-U1361A-005H-7-W-38	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3377088	0.3373364	0.3249547	-0.000125	0.0000441	-0.0000793	1.30E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-006H-1-W-55	318-U1361A-006H-1-W-55	318-U1361A-006H-1-W-55	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3334428	0.333957	0.3326003	0.0002024	0.0002752	0.0004315	1.35E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-006H-2-W-55	318-U1361A-006H-2-W-55	318-U1361A-006H-2-W-55	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3371247	0.3346729	0.3282024	0.0003217	-0.0000221	-0.0004838	1.04E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-006H-3-W-54	318-U1361A-006H-3-W-54	318-U1361A-006H-3-W-54	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3348885	0.333299	0.3318125	0.0017125	0.000634	0.0002119	2.67E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-006H-4-W-55	318-U1361A-006H-4-W-55	318-U1361A-006H-4-W-55	LP-X:AE-H:LP-AN-MS:SO-V
192	0.335368	0.334431	0.3302009	0.0001781	-0.0000822	-0.0000429	8.47E-05	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-006H-5-W-55	318-U1361A-006H-5-W-55	318-U1361A-006H-5-W-55	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3369922	0.3364629	0.326545	0.000427	0.0026415	0.0003726	2.42E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-006H-6-W-55	318-U1361A-006H-6-W-55	318-U1361A-006H-6-W-55	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3414331	0.3418382	0.3167287	0.0000464	0.0009222	0.0037881	1.26E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-006H-7-W-98	318-U1361A-006H-7-W-98	318-U1361A-006H-7-W-98	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3339678	0.3338792	0.332153	-0.0001784	-0.0000695	0.000228	1.07E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-007H-1-W-100	318-U1361A-007H-1-W-100	318-U1361A-007H-1-W-100	LP-X:AE-H:LP-AN-MS:SO-V
192	0.33373	0.3335668	0.3327032	0.0001152	-0.0003065	0.0001168	1.22E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-007H-2-W-110	318-U1361A-007H-2-W-110	318-U1361A-007H-2-W-110	LP-X:AE-H:LP-AN-MS:SO-V
192	0.3418637	0.3413951	0.3167411	0.0004522	0.0002204	0.0016823	2.59E-04	-1	AMS	Normalized by trace		This study	U1361A	318-U1361A-007H-3-W-135	318-U1361A-007H-3-W-135	318-U1361A-007H-3-W-135	LP-X:AE-H:LP-AN-MS:SO-V
