tab	er_ages
er_citation_names	er_site_name	er_location_name	age_description	magic_method_codes	age	age_unit	er_sample_name
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.25	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.49	Ma	318-U1361A-001H_3A-0.25
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.3	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.50	Ma	318-U1361A-001H_3A-0.3
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.35	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.50	Ma	318-U1361A-001H_3A-0.35
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.4	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.50	Ma	318-U1361A-001H_3A-0.4
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.45	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.50	Ma	318-U1361A-001H_3A-0.45
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.5	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.51	Ma	318-U1361A-001H_3A-0.5
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.55	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.51	Ma	318-U1361A-001H_3A-0.55
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.6	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.51	Ma	318-U1361A-001H_3A-0.6
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.65	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.51	Ma	318-U1361A-001H_3A-0.65
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.7	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.51	Ma	318-U1361A-001H_3A-0.7
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.75	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.52	Ma	318-U1361A-001H_3A-0.75
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.8	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.52	Ma	318-U1361A-001H_3A-0.8
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.85	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.52	Ma	318-U1361A-001H_3A-0.85
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.9	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.52	Ma	318-U1361A-001H_3A-0.9
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.95	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.52	Ma	318-U1361A-001H_3A-0.95
This study:10.1029/2012PA002308	318-U1361A-001H_3A-1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.53	Ma	318-U1361A-001H_3A-1
This study:10.1029/2012PA002308	318-U1361A-001H_3A-1.05	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.53	Ma	318-U1361A-001H_3A-1.05
This study:10.1029/2012PA002308	318-U1361A-001H_3A-1.1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.53	Ma	318-U1361A-001H_3A-1.1
This study:10.1029/2012PA002308	318-U1361A-001H_3A-1.15	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.53	Ma	318-U1361A-001H_3A-1.15
This study:10.1029/2012PA002308	318-U1361A-001H_3A-1.2	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.53	Ma	318-U1361A-001H_3A-1.2
This study:10.1029/2012PA002308	318-U1361A-001H_3A-1.25	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.54	Ma	318-U1361A-001H_3A-1.25
This study:10.1029/2012PA002308	318-U1361A-001H_3A-1.3	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.54	Ma	318-U1361A-001H_3A-1.3
This study:10.1029/2012PA002308	318-U1361A-001H_3A-1.35	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.54	Ma	318-U1361A-001H_3A-1.35
This study:10.1029/2012PA002308	318-U1361A-001H_3A-1.4	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.54	Ma	318-U1361A-001H_3A-1.4
This study:10.1029/2012PA002308	318-U1361A-001H_3A-1.45	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.55	Ma	318-U1361A-001H_3A-1.45
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.55	Ma	318-U1361A-001H_4A-0.1
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.15	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.55	Ma	318-U1361A-001H_4A-0.15
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.2	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.56	Ma	318-U1361A-001H_4A-0.2
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.25	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.56	Ma	318-U1361A-001H_4A-0.25
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.3	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.56	Ma	318-U1361A-001H_4A-0.3
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.35	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.56	Ma	318-U1361A-001H_4A-0.35
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.4	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.56	Ma	318-U1361A-001H_4A-0.4
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.45	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.57	Ma	318-U1361A-001H_4A-0.45
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.5	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.57	Ma	318-U1361A-001H_4A-0.5
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.55	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.57	Ma	318-U1361A-001H_4A-0.55
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.6	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.57	Ma	318-U1361A-001H_4A-0.6
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.65	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.58	Ma	318-U1361A-001H_4A-0.65
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.7	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.58	Ma	318-U1361A-001H_4A-0.7
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.75	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.58	Ma	318-U1361A-001H_4A-0.75
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.8	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.58	Ma	318-U1361A-001H_4A-0.8
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.85	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.58	Ma	318-U1361A-001H_4A-0.85
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.9	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.59	Ma	318-U1361A-001H_4A-0.9
This study:10.1029/2012PA002308	318-U1361A-001H_4A-0.95	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.59	Ma	318-U1361A-001H_4A-0.95
This study:10.1029/2012PA002308	318-U1361A-001H_4A-1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.59	Ma	318-U1361A-001H_4A-1
This study:10.1029/2012PA002308	318-U1361A-001H_4A-1.05	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.59	Ma	318-U1361A-001H_4A-1.05
This study:10.1029/2012PA002308	318-U1361A-001H_4A-1.1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.59	Ma	318-U1361A-001H_4A-1.1
This study:10.1029/2012PA002308	318-U1361A-001H_4A-1.15	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.60	Ma	318-U1361A-001H_4A-1.15
This study:10.1029/2012PA002308	318-U1361A-001H_4A-1.2	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.60	Ma	318-U1361A-001H_4A-1.2
This study:10.1029/2012PA002308	318-U1361A-001H_4A-1.25	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.60	Ma	318-U1361A-001H_4A-1.25
This study:10.1029/2012PA002308	318-U1361A-001H_4A-1.3	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.60	Ma	318-U1361A-001H_4A-1.3
This study:10.1029/2012PA002308	318-U1361A-001H_4A-1.35	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.60	Ma	318-U1361A-001H_4A-1.35
This study:10.1029/2012PA002308	318-U1361A-001H_4A-1.4	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.61	Ma	318-U1361A-001H_4A-1.4
This study:10.1029/2012PA002308	318-U1361A-001H_4A-1.45	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.61	Ma	318-U1361A-001H_4A-1.45
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.62	Ma	318-U1361A-001H_5A-0.1
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.15	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.62	Ma	318-U1361A-001H_5A-0.15
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.2	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.62	Ma	318-U1361A-001H_5A-0.2
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.25	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.62	Ma	318-U1361A-001H_5A-0.25
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.3	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.62	Ma	318-U1361A-001H_5A-0.3
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.35	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.63	Ma	318-U1361A-001H_5A-0.35
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.4	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.63	Ma	318-U1361A-001H_5A-0.4
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.45	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.63	Ma	318-U1361A-001H_5A-0.45
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.5	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.63	Ma	318-U1361A-001H_5A-0.5
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.55	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.63	Ma	318-U1361A-001H_5A-0.55
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.6	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.64	Ma	318-U1361A-001H_5A-0.6
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.65	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.64	Ma	318-U1361A-001H_5A-0.65
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.7	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.64	Ma	318-U1361A-001H_5A-0.7
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.75	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.64	Ma	318-U1361A-001H_5A-0.75
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.8	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.64	Ma	318-U1361A-001H_5A-0.8
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.85	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.65	Ma	318-U1361A-001H_5A-0.85
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.9	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.65	Ma	318-U1361A-001H_5A-0.9
This study:10.1029/2012PA002308	318-U1361A-001H_5A-0.95	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.65	Ma	318-U1361A-001H_5A-0.95
This study:10.1029/2012PA002308	318-U1361A-001H_5A-1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.65	Ma	318-U1361A-001H_5A-1
This study:10.1029/2012PA002308	318-U1361A-001H_5A-1.05	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.66	Ma	318-U1361A-001H_5A-1.05
This study:10.1029/2012PA002308	318-U1361A-001H_5A-1.1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.66	Ma	318-U1361A-001H_5A-1.1
This study:10.1029/2012PA002308	318-U1361A-001H_5A-1.15	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.66	Ma	318-U1361A-001H_5A-1.15
This study:10.1029/2012PA002308	318-U1361A-001H_5A-1.2	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.66	Ma	318-U1361A-001H_5A-1.2
This study:10.1029/2012PA002308	318-U1361A-001H_5A-1.25	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.66	Ma	318-U1361A-001H_5A-1.25
This study:10.1029/2012PA002308	318-U1361A-001H_5A-1.3	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.67	Ma	318-U1361A-001H_5A-1.3
This study:10.1029/2012PA002308	318-U1361A-001H_5A-1.35	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.67	Ma	318-U1361A-001H_5A-1.35
This study:10.1029/2012PA002308	318-U1361A-001H_5A-1.4	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.67	Ma	318-U1361A-001H_5A-1.4
This study:10.1029/2012PA002308	318-U1361A-001H_5A-1.45	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.67	Ma	318-U1361A-001H_5A-1.45
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.68	Ma	318-U1361A-001H_6A-0.1
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.15	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.68	Ma	318-U1361A-001H_6A-0.15
This study:10.1029/2012PA002308	318-U1361A-001H_6A-0.2	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.68	Ma	318-U1361A-001H_6A-0.2
