tab	er_ages
er_citation_names	er_site_name	er_location_name	age_description	magic_method_codes	age	age_unit	er_sample_name
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.45	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.44	Ma	318-U1361A-001H_2A-0.45
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.5	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.44	Ma	318-U1361A-001H_2A-0.5
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.55	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.44	Ma	318-U1361A-001H_2A-0.55
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.6	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.45	Ma	318-U1361A-001H_2A-0.6
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.65	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.45	Ma	318-U1361A-001H_2A-0.65
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.7	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.45	Ma	318-U1361A-001H_2A-0.7
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.75	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.45	Ma	318-U1361A-001H_2A-0.75
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.8	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.45	Ma	318-U1361A-001H_2A-0.8
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.85	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.46	Ma	318-U1361A-001H_2A-0.85
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.9	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.46	Ma	318-U1361A-001H_2A-0.9
This study:10.1029/2012PA002308	318-U1361A-001H_2A-0.95	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.46	Ma	318-U1361A-001H_2A-0.95
This study:10.1029/2012PA002308	318-U1361A-001H_2A-1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.46	Ma	318-U1361A-001H_2A-1
This study:10.1029/2012PA002308	318-U1361A-001H_2A-1.05	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.46	Ma	318-U1361A-001H_2A-1.05
This study:10.1029/2012PA002308	318-U1361A-001H_2A-1.1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.47	Ma	318-U1361A-001H_2A-1.1
This study:10.1029/2012PA002308	318-U1361A-001H_2A-1.15	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.47	Ma	318-U1361A-001H_2A-1.15
This study:10.1029/2012PA002308	318-U1361A-001H_2A-1.2	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.47	Ma	318-U1361A-001H_2A-1.2
This study:10.1029/2012PA002308	318-U1361A-001H_2A-1.25	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.47	Ma	318-U1361A-001H_2A-1.25
This study:10.1029/2012PA002308	318-U1361A-001H_2A-1.3	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.48	Ma	318-U1361A-001H_2A-1.3
This study:10.1029/2012PA002308	318-U1361A-001H_2A-1.35	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.48	Ma	318-U1361A-001H_2A-1.35
This study:10.1029/2012PA002308	318-U1361A-001H_2A-1.4	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.48	Ma	318-U1361A-001H_2A-1.4
This study:10.1029/2012PA002308	318-U1361A-001H_2A-1.45	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.48	Ma	318-U1361A-001H_2A-1.45
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.1	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.49	Ma	318-U1361A-001H_3A-0.1
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.15	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.49	Ma	318-U1361A-001H_3A-0.15
This study:10.1029/2012PA002308	318-U1361A-001H_3A-0.2	U1361A	interpolation between pmag and biostrat tie points	GM-INT:GM-POL:GM-FOSSIL	0.49	Ma	318-U1361A-001H_3A-0.2
