tab	samples
sample	site	specimens	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	azimuth	dip	citations	method_codes	location	sample_direction_type	age	sample_inferred_age_sigma	sample_inferred_age_unit
sv03e	sv03								35.375	248.269	Igneous	Lava Flow	Basalt			357	-83	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv03e	sv03	sv03e1	8.8	-33.8	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.5	2.5	Ma
sv03f	sv03								35.375	248.269	Igneous	Lava Flow	Basalt			32.5	-65	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv03g	sv03								35.375	248.269	Igneous	Lava Flow	Basalt			23	-74	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv03g	sv03	sv03g1	352.8	52.2	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv03h	sv03								35.375	248.269	Igneous	Lava Flow	Basalt			10.3	-67	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv03h	sv03	sv03h1	349.1	55.5	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv03i	sv03	sv03i1	353.2	57.3	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv03i	sv03								35.375	248.269	Igneous	Lava Flow	Basalt			1.7	-84	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv03j	sv03								35.375	248.269	Igneous	Lava Flow	Basalt			348	-78	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv03j	sv03	sv03j1	324.1	44.6	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv04a	sv04	sv04a1	348.3	50.2	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv04a	sv04								35.39	248.26	Igneous	Lava Flow	Basalt			11	-59	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv04b	sv04								35.39	248.26	Igneous	Lava Flow	Basalt			65	-40.5	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv04b	sv04	sv04b1	353	46.6	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv04c	sv04								35.39	248.26	Igneous	Lava Flow	Basalt			31	-36	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv04d	sv04	sv04d1	342.6	48.7	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv04d	sv04								35.39	248.26	Igneous	Lava Flow	Basalt			2	-66	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv04e	sv04								35.39	248.26	Igneous	Lava Flow	Basalt			6	-61	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv04e	sv04	sv04e1	342.2	56.9	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv04f	sv04								35.39	248.26	Igneous	Lava Flow	Basalt			52	-54	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv04g	sv04								35.39	248.26	Igneous	Lava Flow	Basalt			20	-52	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv04h	sv04								35.39	248.26	Igneous	Lava Flow	Basalt			94	-43	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv04i	sv04	sv04i1	347.4	50.6	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv04i	sv04								35.39	248.26	Igneous	Lava Flow	Basalt			17	-39	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
