tab	samples
sample	site	specimens	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	azimuth	dip	citations	method_codes	location	sample_direction_type	age	sample_inferred_age_sigma	sample_inferred_age_unit
sv09f	sv09	sv09f1	277	-61.2	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	1.14	0.17	Ma
sv09f	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			79.1	-36	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv09g	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			43.6	-33	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv09h	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			81.1	-36	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv09i	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			96.1	-32	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv09i	sv09	sv09i1	242.5	-68.6	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	1.14	0.17	Ma
sv09j	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			68.7	-61	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv09j	sv09	sv09j1	230.6	-67.7	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	1.14	0.17	Ma
sv09k	sv09								35.442	248.081	Igneous	Lava Flow	Basalt			91.3	-33	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv10a	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			58.6	-35	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv10a	sv10	sv10a1	222.6	45.2	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	0.44	0.18	Ma
sv10b	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			43.8	-76.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv10c	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			62.9	-59	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv10c	sv10	sv10c1	264.7	14.7	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	0.44	0.18	Ma
sv10d	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			13.3	-48	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv10e	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			338.8	-44	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv10f	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			45.7	-80	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv10f	sv10	sv10f1	344.5	-34.7	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	0.44	0.18	Ma
sv10g	sv10	sv10g1	139.9	27.6	1	0	1	0							sample direction.			This study	LP-DIR-AF : LP-DIR-T : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	0.44	0.18	Ma
sv10g	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			65	-44	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv10h	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			355.1	-35	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv10i	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			19.1	-48	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv10j	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			16.3	-40	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv10j	sv10	sv10j1	93.7	6	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	0.44	0.18	Ma
sv10k	sv10								35.2631	248.173	Igneous	Lava Flow	Basalt			5.8	-40	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv11a	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			35.6	-97	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv11a	sv11	sv11a1	206.7	45.6	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	1.29	0.15	Ma
sv11b	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			41.7	-84	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv11b	sv11	sv11b1	149	42.9	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	1.29	0.15	Ma
sv11d	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			37.3	-66	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv11e	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			85	-49	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv11f	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			79	-51	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv11g	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			83	-71	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv11h	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			65	-64	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv11j	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			63	-59.5	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv11k	sv11	sv11k1	193.6	-39	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	1.29	0.15	Ma
sv11k	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			65	-51	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv11l	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			45	-47	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv11m	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			40	-50	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv11n	sv11	sv11n1	197.7	-51.2	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	1.29	0.15	Ma
sv11n	sv11								35.263	248.174	Igneous	Lava Flow	Basalt			75	-62	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv12a	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			229.1	-70	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv12b	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			253.2	-59	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv12c	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			316.5	-42	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv12d	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			300.6	-70	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv12e	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			315.2	-61.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv12e	sv12	sv12e1	89.5	-21.1	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	0.34	0.21	Ma
sv12f	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			312.3	-79	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv12g	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			353.4	-78	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv12h	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			339.4	-28	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv12i	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			322.4	-37	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv12j	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			335	-75	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv12k	sv12								35.334	248.156	Igneous	Lava Flow	Basalt			12	-66	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv13a	sv13								35.323	248.285	Igneous	Lava Flow	Basalt			267	-68	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv13b	sv13								35.323	248.285	Igneous	Lava Flow	Basalt			290.2	-68	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv13c	sv13								35.323	248.285	Igneous	Lava Flow	Basalt			297.5	-68	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv13d	sv13								35.323	248.285	Igneous	Lava Flow	Basalt			288.4	-63	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv13e	sv13								35.323	248.285	Igneous	Lava Flow	Basalt			214.7	-66	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv13f	sv13								35.323	248.285	Igneous	Lava Flow	Basalt			225.9	-57	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv13g	sv13								35.323	248.285	Igneous	Lava Flow	Basalt			263.2	-56	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv13h	sv13								35.323	248.285	Igneous	Lava Flow	Basalt			347.8	-54	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv13i	sv13								35.323	248.285	Igneous	Lava Flow	Basalt			285.1	-57	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv13j	sv13								35.323	248.285	Igneous	Lava Flow	Basalt			215.6	-57	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv15a	sv15	sv15a1	345.5	24.2	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	0.33	0.08	Ma
sv15a	sv15								35.249	248.31	Igneous	Lava Flow	Basalt			159	-34	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv15b	sv15								35.249	248.31	Igneous	Lava Flow	Basalt			248.4	-68	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv15b	sv15	sv15b1	346.2	26.6	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	0.33	0.08	Ma
sv15c	sv15								35.249	248.31	Igneous	Lava Flow	Basalt			206.8	-32	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv15c	sv15	sv15c1	351.3	24.5	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	0.33	0.08	Ma
sv15d	sv15								35.249	248.31	Igneous	Lava Flow	Basalt			227.2	-20	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv15d	sv15	sv15d1	355.3	24.4	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	0.33	0.08	Ma
sv15e	sv15								35.249	248.31	Igneous	Lava Flow	Basalt			216.6	-23	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv15f	sv15								35.249	248.31	Igneous	Lava Flow	Basalt			202.8	-34	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv15f	sv15	sv15f1	355.2	26.2	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	0.33	0.08	Ma
sv15g	sv15								35.249	248.31	Igneous	Lava Flow	Basalt			250.7	-44	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv15h	sv15								35.249	248.31	Igneous	Lava Flow	Basalt			230.1	-30	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv15h	sv15	sv15h1	3.4	26.5	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	0.33	0.08	Ma
sv15i	sv15								35.249	248.31	Igneous	Lava Flow	Basalt			201	-46	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv15j	sv15								35.249	248.31	Igneous	Lava Flow	Basalt			213.9	-52.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv16a	sv16	sv16a1	350.6	28.4	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv16a	sv16								35.2401	248.317	Igneous	Lava Flow	Basalt			33	-49	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv16b	sv16								35.2401	248.317	Igneous	Lava Flow	Basalt			53.1	-45	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv16b	sv16	sv16b1	352.3	28.9	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv16c	sv16	sv16c1	358.7	23.6	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv16c	sv16								35.2401	248.317	Igneous	Lava Flow	Basalt			65.6	-50	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv16d	sv16								35.2401	248.317	Igneous	Lava Flow	Basalt			38.2	-31	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv16e	sv16								35.2401	248.317	Igneous	Lava Flow	Basalt			89.3	-38	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv16e	sv16	sv16e1	359.8	19.8	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv16f	sv16								35.2401	248.317	Igneous	Lava Flow	Basalt			108.8	-53	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv16g	sv16								35.2401	248.317	Igneous	Lava Flow	Basalt			118.4	-63	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv16h	sv16	sv16h1	48	-61.3	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.5	2.5	Ma
sv16h	sv16								35.2401	248.317	Igneous	Lava Flow	Basalt			91.5	-74.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv16i	sv16								35.2401	248.317	Igneous	Lava Flow	Basalt			88	-90	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv16j	sv16								35.2401	248.317	Igneous	Lava Flow	Basalt			84.1	-37	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17a	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			62.2	-51	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17b	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			18.1	-35	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17b	sv17	sv17b1	202.2	28.4	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.5	2.5	Ma
sv17c	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			0.3	-63	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17d	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			29.1	-30	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17e	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			38.9	-32	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17f	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			7.7	-40	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17g	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			6.4	-49	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17h	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			0.3	-40	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17i	sv17	sv17i1	131.9	62	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv17i	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			17.1	-47	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17j	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			28.8	-44	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv17k	sv17								35.218	248.557	Igneous	Lava Flow	Basalt			10.7	-69	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv18a	sv18								35.24	247.813	Igneous	Lava Flow	Basalt			116.5	-52	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv18b	sv18								35.24	247.813	Igneous	Lava Flow	Basalt			46	-54	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv18c	sv18								35.24	247.813	Igneous	Lava Flow	Basalt			90	-48	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv18c	sv18	sv18c1	195.9	-56.1	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv18d	sv18								35.24	247.813	Igneous	Lava Flow	Basalt			105	-47	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv18e	sv18								35.24	247.813	Igneous	Lava Flow	Basalt			181	-10	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv18f	sv18	sv18f1	192.5	-56.8	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv18f	sv18								35.24	247.813	Igneous	Lava Flow	Basalt			273	-19	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv18g	sv18	sv18g1	197.3	-55.5	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv18g	sv18								35.24	247.813	Igneous	Lava Flow	Basalt			227	-21	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv18h	sv18								35.24	247.813	Igneous	Lava Flow	Basalt			282	-22.5	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv18h	sv18	sv18h1	193.4	-57.4	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv18i	sv18								35.24	247.813	Igneous	Lava Flow	Basalt			196	-20	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv18j	sv18								35.24	247.813	Igneous	Lava Flow	Basalt			191	-21	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
sv19a	sv19								35.664	248.446	Igneous	Lava Flow	Basalt			88.9	-68.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv19b	sv19								35.664	248.446	Igneous	Lava Flow	Basalt			29.4	-77	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv19c	sv19								35.664	248.446	Igneous	Lava Flow	Basalt			306.2	-57	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv19c	sv19	sv19c1	219	32.4	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	2.5	2.5	Ma
sv19d	sv19								35.664	248.446	Igneous	Lava Flow	Basalt			42.9	-88	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv19e	sv19								35.664	248.446	Igneous	Lava Flow	Basalt			35.8	-90	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv19f	sv19								35.664	248.446	Igneous	Lava Flow	Basalt			49.8	-64	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv19g	sv19								35.664	248.446	Igneous	Lava Flow	Basalt			58.3	-76	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv19h	sv19								35.664	248.446	Igneous	Lava Flow	Basalt			76.6	-67	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv19i	sv19								35.664	248.446	Igneous	Lava Flow	Basalt			24.6	-89.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv19j	sv19								35.664	248.446	Igneous	Lava Flow	Basalt			20.8	-94	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv20a	sv20								35.66	248.462	Igneous	Lava Flow	Basalt			253.6	-14.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv20b	sv20								35.66	248.462	Igneous	Lava Flow	Basalt			116.1	-41.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv20c	sv20								35.66	248.462	Igneous	Lava Flow	Basalt			68	-70	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv20c	sv20	sv20c1	355.8	42.6	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	1.04	0.14	Ma
sv20d	sv20								35.66	248.462	Igneous	Lava Flow	Basalt			92.5	-63	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv20e	sv20								35.66	248.462	Igneous	Lava Flow	Basalt			263.8	-43.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv20f	sv20								35.66	248.462	Igneous	Lava Flow	Basalt			236.2	-34	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv20h	sv20								35.66	248.462	Igneous	Lava Flow	Basalt			259.8	-83.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv20i	sv20								35.66	248.462	Igneous	Lava Flow	Basalt			237.9	-72	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv20j	sv20								35.66	248.462	Igneous	Lava Flow	Basalt			245.1	-35	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv20k	sv20								35.66	248.462	Igneous	Lava Flow	Basalt			97.5	-66.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21a	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			215.9	-77	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21b	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			206.5	-68.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21c	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			210.6	-63	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21d	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			217.8	-54	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21e	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			201.4	-59	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21f	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			293.1	-48	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21g	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			215.3	-38.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21g	sv21	sv21g1	76.7	-4.3	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	1.2	0.05	Ma
sv21h	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			224.9	-24.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21i	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			257.6	-17.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21i	sv21	sv21i1	132.2	-0.9	1	1	0	0						DE-SPEC	sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	San Francisco Volcanics	l	1.2	0.05	Ma
sv21j	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			264.9	-88.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv21k	sv21								35.645	248.49	Igneous	Lava Flow	Basalt			340.3	-10	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv22a	sv22								35.588	248.483	Igneous	Lava Flow	Basalt			199.7	-54	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv22b	sv22								35.588	248.483	Igneous	Lava Flow	Basalt			199.2	-34.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv22c	sv22	sv22c1	263.2	-2.7	1	0	1	0							sample direction.			This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	San Francisco Volcanics	p	2.43	0.32	Ma
sv22c	sv22								35.588	248.483	Igneous	Lava Flow	Basalt			253.5	-24	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv22d	sv22								35.588	248.483	Igneous	Lava Flow	Basalt			220.5	-24	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv22e	sv22								35.588	248.483	Igneous	Lava Flow	Basalt			283.5	-14	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv22f	sv22								35.588	248.483	Igneous	Lava Flow	Basalt			227.2	-64.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv22g	sv22								35.588	248.483	Igneous	Lava Flow	Basalt			230.7	-68.5	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv22h	sv22								35.588	248.483	Igneous	Lava Flow	Basalt			246.9	-59	This study	SO-SUN : FS-FD : SO-POM	San Francisco Volcanics				
sv22i	sv22								35.588	248.483	Igneous	Lava Flow	Basalt			228	-42	This study	SO-MAG : FS-FD : SO-POM : SO-CMD-NORTH	San Francisco Volcanics				
