tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	er_expedition_name	er_formation_name	er_fossil_name	er_member_name	er_mineral_name	experiment	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	location	magn_mass	magn_moment	magn_r2_det	magn_volume	magn_x_sigma	magn_xyz_sigma	magn_y_sigma	magn_z_sigma	meas_field_ac	meas_field_dc	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	measurement_composite_depth	measurement_core_depth	measurement_demagn_code	measurement_elevation	measurement_height	measurement_loop_n	measurement_magnitude	method_codes	quality	sample	site	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_energy	treat_mw_integral	treat_mw_power	treat_mw_time	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
	This study		1.2	277.8	80.5						sv01b1-LP-DIR-AF					San Francisco Volcanics		0.000006529																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01b	sv01		sv01b1	u						0.08				0				0	0					273			
	This study		1.1	43.9	86.6						sv01b1-LP-DIR-AF					San Francisco Volcanics		0.000005235																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01b	sv01		sv01b1	u						0.1				0				0	0					273			
	This study		1.6	67.4	79.1						sv01b1-LP-DIR-AF					San Francisco Volcanics		0.000004314																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01b	sv01		sv01b1	u						0.12				0				0	0					273			
	This study		0.9	74.8	75.4						sv01b1-LP-DIR-AF					San Francisco Volcanics		0.000003742																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01b	sv01		sv01b1	u						0.14				0				0	0					273			
	This study		1.4	81.7	71.7						sv01b1-LP-DIR-AF					San Francisco Volcanics		0.000003455																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01b	sv01		sv01b1	u						0.16				0				0	0					273			
	This study		0.9	73.8	70.4						sv01b1-LP-DIR-AF					San Francisco Volcanics		0.000003096																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01b	sv01		sv01b1	u						0.18				0				0	0					273			
	This study		0	206.2	36						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.00001927																273		1								LT-NO : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0				0				0	0					273			
	This study		0.4	202.8	32.4						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.0001369																273		1								LT-AF-Z : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.01				0				0	0					273			
	This study		0.4	222.2	44.5						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.00005574																273		1								LT-AF-Z : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.02				0				0	0					273			
	This study		0.3	235.8	49.7						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.00003617																273		1								LT-AF-Z : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.03				0				0	0					273			
	This study		0.4	241.5	50						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.00002578																273		1								LT-AF-Z : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.04				0				0	0					273			
	This study		0.4	243.8	51.9						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.00001906																273		1								LT-AF-Z : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.05				0				0	0					273			
	This study		0.3	253.2	51.6						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.00001475																273		1								LT-AF-Z : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.06				0				0	0					273			
	This study		0.2	254.4	51.9						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.00001176																273		1								LT-AF-Z : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.07				0				0	0					273			
	This study		0.3	251.7	51.7						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.000009438																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.08				0				0	0					273			
	This study		0.1	258.1	51.7						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.000007001																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.1				0				0	0					273			
	This study		0.3	260.8	51.5						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.000005647																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.12				0				0	0					273			
	This study		0.3	260.3	50.7						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.000004881																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.14				0				0	0					273			
	This study		0.3	263.4	51						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.000004219																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.16				0				0	0					273			
	This study		0.3	267.6	51.2						sv01g1-LP-DIR-AF					San Francisco Volcanics		0.000003896																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01g	sv01		sv01g1	u						0.18				0				0	0					273			
	This study		0	12	34.2						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.00001937																273		1								LT-NO : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0				0				0	0					273			
	This study		2.3	8.5	30.3						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.0002401																273		1								LT-AF-Z : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.01				0				0	0					273			
	This study		0.8	26.6	48.8						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.00007191																273		1								LT-AF-Z : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.02				0				0	0					273			
	This study		1.2	56.3	57.1						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.00003736																273		1								LT-AF-Z : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.03				0				0	0					273			
	This study		0.8	287.1	-58.3						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.00002517																273		1								LT-AF-Z : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.04				0				0	0					273			
	This study		1.2	278.9	-58						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.00001862																273		1								LT-AF-Z : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.05				0				0	0					273			
	This study		0.6	86.5	56.8						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.00001443																273		1								LT-AF-Z : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.06				0				0	0					273			
	This study		0.8	91	56.7						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.00001149																273		1								LT-AF-Z : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.07				0				0	0					273			
	This study		1.1	94.5	55.4						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.000009246																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.08				0				0	0					273			
	This study		1.4	98.7	54.6						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.00000685																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.1				0				0	0					273			
	This study		1.4	101.7	54						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.000005348																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.12				0				0	0					273			
	This study		1.6	105.9	53.1						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.000004369																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.14				0				0	0					273			
	This study		0.7	107.8	53.5						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.000003612																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.16				0				0	0					273			
	This study		1.5	110.5	52.2						sv01h1-LP-DIR-AF					San Francisco Volcanics		0.000003306																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01h	sv01		sv01h1	u						0.18				0				0	0					273			
	This study		0	247.7	23.3						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.00001935																273		1								LT-NO : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0				0				0	0					273			
	This study		0.2	252.9	20.5						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.0002636																273		1								LT-AF-Z : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.01				0				0	0					273			
	This study		0.2	240.5	46.6						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.00008143																273		1								LT-AF-Z : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.02				0				0	0					273			
	This study		0	198.1	61.1						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.00004204																273		1								LT-AF-Z : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.03				0				0	0					273			
	This study		0.1	171.9	59.9						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.00002722																273		1								LT-AF-Z : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.04				0				0	0					273			
	This study		0.2	159.9	56.2						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.00001925																273		1								LT-AF-Z : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.05				0				0	0					273			
	This study		0.2	154.5	53.2						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.00001442																273		1								LT-AF-Z : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.06				0				0	0					273			
	This study		0.1	149.3	50.3						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.00001119																273		1								LT-AF-Z : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.07				0				0	0					273			
	This study		0.5	148.7	47.3						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.000008917																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.08				0				0	0					273			
	This study		0.3	145.1	43.3						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.000006482																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.1				0				0	0					273			
	This study		0.4	144.1	40.5						sv01j1-LP-DIR-AF					San Francisco Volcanics		0.000005123																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01j	sv01		sv01j1	u						0.12				0				0	0					273			
