tab	specimens																	
specimen	sample	experiments	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	int_corr	citations	method_codes	specimen_direction_type
sv04a1	sv04a	sv04a1 : LP-DIR-AF	348.3	50.2	12	0	1.5				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv04b1	sv04b	sv04b1 : LP-DIR-AF	353	46.6	12	0	1.3				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv04b1	sv04b							Igneous	Lava Flow	Basalt						This study		
sv04c1	sv04c							Igneous	Lava Flow	Basalt						This study		
sv04c2	sv04c							Igneous	Lava Flow	Basalt						This study		
sv04d1	sv04d							Igneous	Lava Flow	Basalt						This study		
sv04d1	sv04d	sv04d1 : LP-DIR-AF	342.6	48.7	9	0	2.6				0.18	0.05	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv04e1	sv04e	sv04e1 : LP-DIR-AF	342.2	56.9	11	0	1.2				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv04e1	sv04e							Igneous	Lava Flow	Basalt						This study		
sv04f1	sv04f							Igneous	Lava Flow	Basalt						This study		
sv04i1	sv04i	sv04i1 : LP-DIR-AF	347.4	50.6	5	0	2.4				0.15	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv04i1	sv04i							Igneous	Lava Flow	Basalt						This study		
sv04j1	sv04j							Igneous	Lava Flow	Basalt						This study		
sv05a1	sv05a							Igneous	Lava Flow	Basalt						This study		
sv05a2	sv05a							Igneous	Lava Flow	Basalt						This study		
sv05a2	sv05a	sv05a2 : LP-DIR-AF	202.3	31.5	14	0	4.9				423	0.03	K	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv05b1	sv05b	sv05b1 : LP-DIR-AF	160	-47.8	6	0	1.7				0.18	0.08	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv05b1	sv05b							Igneous	Lava Flow	Basalt						This study		
sv05c1	sv05c							Igneous	Lava Flow	Basalt						This study		
sv05c1	sv05c	sv05c1 : LP-DIR-AF	168.4	37.3	6	0	3.2				0.18	0.08	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv05c2	sv05c							Igneous	Lava Flow	Basalt						This study		
sv05d2	sv05d	sv05d2 : LP-DIR-AF	161.2	-47.4	5	0	3.3				0.18	0.08	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv05d2	sv05d							Igneous	Lava Flow	Basalt						This study		
sv05e1	sv05e							Igneous	Lava Flow	Basalt						This study		
