tab	specimens																	
specimen	sample	experiments	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	int_corr	citations	method_codes	specimen_direction_type
sv17b1	sv17b							Igneous	Lava Flow	Basalt						This study		
sv17b1	sv17b	sv17b1 : LP-DIR-AF	202.2	28.4	12	0	4.3				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv17b2	sv17b							Igneous	Lava Flow	Basalt						This study		
sv17i1	sv17i							Igneous	Lava Flow	Basalt						This study		
sv17i1	sv17i	sv17i1 : LP-DIR-AF	131.9	62	12	0	3.9				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv17i2	sv17i							Igneous	Lava Flow	Basalt						This study		
sv18c1	sv18c							Igneous	Lava Flow	Basalt						This study		
sv18c1	sv18c	sv18c1 : LP-DIR-AF	195.9	-56.1	10	0	1.2				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv18f1	sv18f	sv18f1 : LP-DIR-AF	192.5	-56.8	11	0	2.7				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv18f1	sv18f							Igneous	Lava Flow	Basalt						This study		
sv18g1	sv18g	sv18g1 : LP-DIR-AF	197.3	-55.5	12	0	1.5				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv18g1	sv18g							Igneous	Lava Flow	Basalt						This study		
sv18g2	sv18g							Igneous	Lava Flow	Basalt						This study		
sv18h1	sv18h	sv18h1 : LP-DIR-AF	193.4	-57.4	13	0	0.7				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv18h1	sv18h							Igneous	Lava Flow	Basalt						This study		
sv18i1	sv18i	sv18i1 : LP-DIR-AF	185.3	-53.5	11	0	6.4				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv18i1	sv18i							Igneous	Lava Flow	Basalt						This study		
sv18i2	sv18i							Igneous	Lava Flow	Basalt						This study		
sv19c1	sv19c							Igneous	Lava Flow	Basalt						This study		
sv19c1	sv19c	sv19c1 : LP-DIR-AF	219	32.4	11	0	2.6				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv19c2	sv19c							Igneous	Lava Flow	Basalt						This study		
sv19g1	sv19g							Igneous	Lava Flow	Basalt						This study		
sv19g3	sv19g							Igneous	Lava Flow	Basalt						This study		
sv19g3	sv19g	sv19g3 : LP-DIR-AF	42.8	-7.6	13	0	16.5				373	0.03	K	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv20c1	sv20c	sv20c1 : LP-DIR-AF	355.8	42.6	12	0	1.5				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv20c1	sv20c							Igneous	Lava Flow	Basalt						This study		
sv20c2	sv20c							Igneous	Lava Flow	Basalt						This study		
sv20e1	sv20e							Igneous	Lava Flow	Basalt						This study		
sv20e3	sv20e							Igneous	Lava Flow	Basalt						This study		
sv21g1	sv21g							Igneous	Lava Flow	Basalt						This study		
sv21g1	sv21g	sv21g1 : LP-DIR-AF	76.7	-4.3	7	0	1.7				0.08	0.02	K	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv21g2	sv21g							Igneous	Lava Flow	Basalt						This study		
sv21i1	sv21i	sv21i1 : LP-DIR-AF	132.2	-0.9	11	0	1.5				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv21i1	sv21i							Igneous	Lava Flow	Basalt						This study		
sv22b1	sv22b							Igneous	Lava Flow	Basalt						This study		
sv22b1	sv22b	sv22b1 : LP-DIR-AF	111.7	-6.9	23	0	22.2				873	0.04	K	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv22b2	sv22b							Igneous	Lava Flow	Basalt						This study		
sv22c1	sv22c	sv22c1 : LP-DIR-AF	263.2	-2.7	8	0	4.9				0.14	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv22c1	sv22c							Igneous	Lava Flow	Basalt						This study		
sv22c2	sv22c							Igneous	Lava Flow	Basalt						This study		
sv22e1	sv22e							Igneous	Lava Flow	Basalt						This study		
sv23a1	sv23a							Igneous	Lava Flow	Basalt						This study		
sv23a1	sv23a	sv23a1 : LP-DIR-AF	20.6	28.7	10	0	0.9				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv23b1	sv23b							Igneous	Lava Flow	Basalt						This study		
sv23b1	sv23b	sv23b1 : LP-DIR-AF	17	29.3	7	0	1.5				0.15	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv23c1	sv23c							Igneous	Lava Flow	Basalt						This study		
sv23c1	sv23c	sv23c1 : LP-DIR-AF	263.1	32.9	14	0	11.4				373	0.02	K	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv23c2	sv23c							Igneous	Lava Flow	Basalt						This study		
sv23d1	sv23d							Igneous	Lava Flow	Basalt						This study		
sv23e1	sv23e							Igneous	Lava Flow	Basalt						This study		
sv23e2	sv23e							Igneous	Lava Flow	Basalt						This study		
sv23f1	sv23f	sv23f1 : LP-DIR-AF	18.2	26.7	11	0	1.4				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv23f1	sv23f							Igneous	Lava Flow	Basalt						This study		
sv23g1	sv23g							Igneous	Lava Flow	Basalt						This study		
sv23g1	sv23g	sv23g1 : LP-DIR-AF	25.1	29	11	0	1.7				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv24b1	sv24b							Igneous	Lava Flow	Basalt						This study		
sv24b1	sv24b	sv24b1 : LP-DIR-AF	343	63.4	7	0	1.3				0.1	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv24c1	sv24c	sv24c1 : LP-DIR-AF	356.8	58.6	7	0	0.9				0.15	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv24c1	sv24c							Igneous	Lava Flow	Basalt						This study		
sv24d1	sv24d	sv24d1 : LP-DIR-AF	353.7	64.1	13	0	1.2				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv24d1	sv24d							Igneous	Lava Flow	Basalt						This study		
sv24d2	sv24d							Igneous	Lava Flow	Basalt						This study		
sv24f3	sv24f							Igneous	Lava Flow	Basalt						This study		
sv24g1	sv24g							Igneous	Lava Flow	Basalt						This study		
sv24g1	sv24g	sv24g1 : LP-DIR-AF	317.5	63.2	13	0	0.5				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv24h1	sv24h							Igneous	Lava Flow	Basalt						This study		
sv24h1	sv24h	sv24h1 : LP-DIR-AF	348.8	63.6	13	0	0.6				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv24i1	sv24i	sv24i1 : LP-DIR-AF	335.1	62.7	13	0	0.8				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv24i1	sv24i							Igneous	Lava Flow	Basalt						This study		
sv24j1	sv24j							Igneous	Lava Flow	Basalt						This study		
sv24j1	sv24j	sv24j1 : LP-DIR-AF	315.9	64.1	12	0	2.5				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv24j2	sv24j							Igneous	Lava Flow	Basalt						This study		
sv25i1	sv25i							Igneous	Lava Flow	Basalt						This study		
sv25i2	sv25i							Igneous	Lava Flow	Basalt						This study		
sv25j1	sv25j	sv25j1 : LP-DIR-AF	274.6	36.6	6	0	4.1				0.16	0.07	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv25j1	sv25j							Igneous	Lava Flow	Basalt						This study		
sv25j2	sv25j							Igneous	Lava Flow	Basalt						This study		
sv26d1	sv26d	sv26d1 : LP-DIR-AF	174.6	25.8	11	0	5.3				0.12	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv26d1	sv26d							Igneous	Lava Flow	Basalt						This study		
sv26d2	sv26d							Igneous	Lava Flow	Basalt						This study		
sv26e1	sv26e							Igneous	Lava Flow	Basalt						This study		
sv26f1	sv26f							Igneous	Lava Flow	Basalt						This study		
sv26g1	sv26g	sv26g1 : LP-DIR-AF	167.9	-62.8	12	0	4.4				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv26g1	sv26g							Igneous	Lava Flow	Basalt						This study		
sv26h2	sv26h	sv26h2 : LP-DIR-AF	150.7	-71.5	6	0	2.5				0.1	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv26h2	sv26h							Igneous	Lava Flow	Basalt						This study		
sv26i1	sv26i							Igneous	Lava Flow	Basalt						This study		
sv26i1	sv26i	sv26i1 : LP-DIR-AF	137.9	-66.4	11	0	2.8				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv26j1	sv26j							Igneous	Lava Flow	Basalt						This study		
sv26k1	sv26k	sv26k1 : LP-DIR-AF	131.3	14.7	13	0	2.2				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv26k1	sv26k							Igneous	Lava Flow	Basalt						This study		
sv26k2	sv26k							Igneous	Lava Flow	Basalt						This study		
sv26l1	sv26l							Igneous	Lava Flow	Basalt						This study		
sv26l1	sv26l	sv26l1 : LP-DIR-AF	173.8	-75.3	4	0	4.8				0.18	0.1	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv27a1	sv27a							Igneous	Lava Flow	Basalt						This study		
sv27a1	sv27a	sv27a1 : LP-DIR-AF	359.1	56.2	13	0	1.1				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv27c1	sv27c	sv27c1 : LP-DIR-AF	343.4	56.7	12	0	0.9				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv27c1	sv27c							Igneous	Lava Flow	Basalt						This study		
sv27d1	sv27d	sv27d1 : LP-DIR-AF	354.4	50.5	13	0	1.2				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv27d1	sv27d							Igneous	Lava Flow	Basalt						This study		
sv27j1	sv27j							Igneous	Lava Flow	Basalt						This study		
sv27j1	sv27j	sv27j1 : LP-DIR-AF	1.2	58.1	13	0	3.3				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv27j2	sv27j							Igneous	Lava Flow	Basalt						This study		
sv27l1	sv27l	sv27l1 : LP-DIR-AF	41.8	-22.6	14	0	4.2				0.18	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv27l1	sv27l							Igneous	Lava Flow	Basalt						This study		
sv27l2	sv27l							Igneous	Lava Flow	Basalt						This study		
sv27m1	sv27m							Igneous	Lava Flow	Basalt						This study		
sv28a1	sv28a							Igneous	Lava Flow	Basalt						This study		
sv28a2	sv28a							Igneous	Lava Flow	Basalt						This study		
sv28h1	sv28h	sv28h1 : LP-DIR-AF	29.7	11.7	21	0	5.2				773	0.04	K	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv28h1	sv28h							Igneous	Lava Flow	Basalt						This study		
sv28h2	sv28h							Igneous	Lava Flow	Basalt						This study		
sv29a1	sv29a							Igneous	Lava Flow	Basalt						This study		
sv29d1	sv29d							Igneous	Lava Flow	Basalt						This study		
sv29d2	sv29d							Igneous	Lava Flow	Basalt						This study		
sv29e1	sv29e							Igneous	Lava Flow	Basalt						This study		
sv29e2	sv29e							Igneous	Lava Flow	Basalt						This study		
sv29g1	sv29g							Igneous	Lava Flow	Basalt						This study		
sv30d1	sv30d							Igneous	Lava Flow	Basalt						This study		
sv30d2	sv30d							Igneous	Lava Flow	Basalt						This study		
sv30g1	sv30g							Igneous	Lava Flow	Basalt						This study		
sv30h1	sv30h	sv30h1 : LP-DIR-AF	180.5	-40.6	8	0	4.1				0.18	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv30h1	sv30h							Igneous	Lava Flow	Basalt						This study		
sv30i1	sv30i							Igneous	Lava Flow	Basalt						This study		
sv30i2	sv30i	sv30i2 : LP-DIR-AF	0.5	-53.9	14	0	4				0.18	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv30i2	sv30i							Igneous	Lava Flow	Basalt						This study		
sv30j1	sv30j							Igneous	Lava Flow	Basalt						This study		
sv31a1	sv31a							Igneous	Lava Flow	Basalt						This study		
sv31a1	sv31a	sv31a1 : LP-DIR-AF	5.5	45.3	13	0	1.2				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv31b1	sv31b	sv31b1 : LP-DIR-AF	11.9	45.1	13	0	0.9				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv31b1	sv31b							Igneous	Lava Flow	Basalt						This study		
sv31c1	sv31c							Igneous	Lava Flow	Basalt						This study		
sv31c1	sv31c	sv31c1 : LP-DIR-AF	12.4	43.1	13	0	0.8				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv31e2	sv31e							Igneous	Lava Flow	Basalt						This study		
sv31e2	sv31e	sv31e2 : LP-DIR-AF	17.4	48.2	10	0	0.8				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv31j1	sv31j							Igneous	Lava Flow	Basalt						This study		
sv31k1	sv31k							Igneous	Lava Flow	Basalt						This study		
sv31k1	sv31k	sv31k1 : LP-DIR-AF	16.6	49.1	9	0	1.7				0.18	0.05	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv32a1	sv32a	sv32a1 : LP-DIR-AF	348.3	60.8	11	0	1.1				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv32a1	sv32a							Igneous	Lava Flow	Basalt						This study		
sv32b1	sv32b	sv32b1 : LP-DIR-AF	336.3	62.5	11	0	0.5				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv32b1	sv32b							Igneous	Lava Flow	Basalt						This study		
sv32c1	sv32c	sv32c1 : LP-DIR-AF	339.6	56.4	11	0	0.8				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv32c1	sv32c							Igneous	Lava Flow	Basalt						This study		
sv32d1	sv32d	sv32d1 : LP-DIR-AF	346.4	57.1	7	0	1.4				0.18	0.07	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv32d1	sv32d							Igneous	Lava Flow	Basalt						This study		
sv32e1	sv32e							Igneous	Lava Flow	Basalt						This study		
sv32e1	sv32e	sv32e1 : LP-DIR-AF	343.7	64.1	10	0	0.7				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv32j1	sv32j							Igneous	Lava Flow	Basalt						This study		
sv32j2	sv32j							Igneous	Lava Flow	Basalt						This study		
sv50a1	sv50a							Igneous	Lava Flow	Basalt						This study		
sv50a1	sv50a	sv50a1 : LP-DIR-AF	309.2	6.6	6	0	2				0.1	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv50d3	sv50d	sv50d3 : LP-DIR-AF	224.7	33.3	7	0	3.6				0.1	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv50d3	sv50d							Igneous	Lava Flow	Basalt						This study		
sv50h1	sv50h							Igneous	Lava Flow	Basalt						This study		
sv50j1	sv50j	sv50j1 : LP-DIR-AF	181.2	-42.8	10	0	5.3				0.16	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv50j1	sv50j							Igneous	Lava Flow	Basalt						This study		
sv51a1	sv51a	sv51a1 : LP-DIR-AF	302.1	11.7	11	0	0.9				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv51a1	sv51a							Igneous	Lava Flow	Basalt						This study		
sv51e1	sv51e							Igneous	Lava Flow	Basalt						This study		
sv51e1	sv51e	sv51e1 : LP-DIR-AF	171.3	-38.1	9	0	1				0.14	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv51f1	sv51f							Igneous	Lava Flow	Basalt						This study		
sv51j1	sv51j							Igneous	Lava Flow	Basalt						This study		
sv51j1	sv51j	sv51j1 : LP-DIR-AF	187.5	-40.3	8	0	0.7				0.12	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv51k2	sv51k	sv51k2 : LP-DIR-AF	188.3	-37.1	9	0	1.1				0.14	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv51k2	sv51k							Igneous	Lava Flow	Basalt						This study		
sv52a1	sv52a	sv52a1 : LP-DIR-AF	174	-56.1	11	0	1.3				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv52a1	sv52a							Igneous	Lava Flow	Basalt						This study		
sv52b1	sv52b							Igneous	Lava Flow	Basalt						This study		
sv52c1	sv52c	sv52c1 : LP-DIR-AF	187.2	-56.2	11	0	1.1				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv52c1	sv52c							Igneous	Lava Flow	Basalt						This study		
sv52g1	sv52g							Igneous	Lava Flow	Basalt						This study		
sv52g1	sv52g	sv52g1 : LP-DIR-AF	192.6	-51.1	6	0	5				0.1	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv52j1	sv52j							Igneous	Lava Flow	Basalt						This study		
sv52j1	sv52j	sv52j1 : LP-DIR-AF	175.9	-55	10	0	1.3				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv53b1	sv53b							Igneous	Lava Flow	Basalt						This study		
sv53b1	sv53b	sv53b1 : LP-DIR-AF	171.4	29.9	9	0	0.8				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv53e1	sv53e							Igneous	Lava Flow	Basalt						This study		
sv53g1	sv53g							Igneous	Lava Flow	Basalt						This study		
sv53h1	sv53h							Igneous	Lava Flow	Basalt						This study		
sv53i1	sv53i							Igneous	Lava Flow	Basalt						This study		
sv53i1	sv53i	sv53i1 : LP-DIR-AF	179.1	-49.1	11	0	1.3				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv53j1	sv53j	sv53j1 : LP-DIR-AF	186.3	-52.8	9	0	3.1				0.12	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv53j1	sv53j							Igneous	Lava Flow	Basalt						This study		
sv54c1	sv54c	sv54c1 : LP-DIR-AF	175.1	-45.8	11	0	1.6				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv54c1	sv54c							Igneous	Lava Flow	Basalt						This study		
sv54d1	sv54d							Igneous	Lava Flow	Basalt						This study		
sv54d1	sv54d	sv54d1 : LP-DIR-AF	175.4	-41	11	0	4.4				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv54g2	sv54g							Igneous	Lava Flow	Basalt						This study		
sv54h1	sv54h							Igneous	Lava Flow	Basalt						This study		
sv54h1	sv54h	sv54h1 : LP-DIR-AF	167.9	-56.4	10	0	1.3				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv54i1	sv54i							Igneous	Lava Flow	Basalt						This study		
sv54i1	sv54i	sv54i1 : LP-DIR-AF	188.5	-28	5	0	3.8				0.12	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv54k1	sv54k	sv54k1 : LP-DIR-AF	160.1	-60.4	8	0	1.1				0.12	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv54k1	sv54k							Igneous	Lava Flow	Basalt						This study		
sv55a1	sv55a	sv55a1 : LP-DIR-AF	181.7	-50.5	11	0	0.9				0.14	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv55a1	sv55a							Igneous	Lava Flow	Basalt						This study		
sv55b1	sv55b							Igneous	Lava Flow	Basalt						This study		
sv55d2	sv55d	sv55d2 : LP-DIR-AF	180.3	-43.1	11	0	0.6				0.14	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv55d2	sv55d							Igneous	Lava Flow	Basalt						This study		
sv55h1	sv55h	sv55h1 : LP-DIR-AF	179.4	-42.1	11	0	0.7				0.14	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv55h1	sv55h							Igneous	Lava Flow	Basalt						This study		
sv55j1	sv55j	sv55j1 : LP-DIR-AF	183.7	-44.3	11	0	0.7				0.16	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv55j1	sv55j							Igneous	Lava Flow	Basalt						This study		
sv56a2	sv56a	sv56a2 : LP-DIR-AF	174.9	-59.5	11	0	1.2				0.16	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv56a2	sv56a							Igneous	Lava Flow	Basalt						This study		
sv56b1	sv56b							Igneous	Lava Flow	Basalt						This study		
sv56c1	sv56c	sv56c1 : LP-DIR-AF	166.5	-52.1	9	0	1				0.14	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv56c1	sv56c							Igneous	Lava Flow	Basalt						This study		
sv56d2	sv56d	sv56d2 : LP-DIR-AF	167.2	-51.4	9	0	1.9				0.14	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv56d2	sv56d							Igneous	Lava Flow	Basalt						This study		
sv56e1	sv56e							Igneous	Lava Flow	Basalt						This study		
sv56e1	sv56e	sv56e1 : LP-DIR-AF	193.1	35.2	11	0	5.1				0.12	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv56h1	sv56h							Igneous	Lava Flow	Basalt						This study		
sv56h1	sv56h	sv56h1 : LP-DIR-AF	352.7	-26.4	10	0	2.6				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv57a1	sv57a							Igneous	Lava Flow	Basalt						This study		
sv57a1	sv57a	sv57a1 : LP-DIR-AF	198	-53.8	10	0	1.1				0.16	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv57b1	sv57b							Igneous	Lava Flow	Basalt						This study		
sv57c1	sv57c	sv57c1 : LP-DIR-AF	194.9	-54.2	10	0	2				0.16	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv57c1	sv57c							Igneous	Lava Flow	Basalt						This study		
