tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	sample_azimuth	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_volume
This study	XXX	UTESTA	CUBE6623911	XXX-UTESTA-6H-1_W_83	XXX-UTESTA-6H-1_W_83		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	47.508	43.33	2015:04:10:19:31:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6623921	XXX-UTESTA-6H-2_W_28	XXX-UTESTA-6H-2_W_28		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	48.458	44.28	2015:04:10:19:31:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6623931	XXX-UTESTA-6H-3_W_62	XXX-UTESTA-6H-3_W_62		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	50.298	46.12	2015:04:10:19:31:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6623941	XXX-UTESTA-6H-4_W_58	XXX-UTESTA-6H-4_W_58		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	51.758	47.58	2015:04:10:19:31:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6623951	XXX-UTESTA-6H-5_W_41	XXX-UTESTA-6H-5_W_41		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	53.088	48.91	2015:04:10:19:31:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6623961	XXX-UTESTA-6H-6_W_50	XXX-UTESTA-6H-6_W_50		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	54.678	50.5	2015:04:10:19:31:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6624651	XXX-UTESTA-7H-1_W_100	XXX-UTESTA-7H-1_W_100		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	58.051	53	2015:04:10:21:44:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6624661	XXX-UTESTA-7H-2_W_72	XXX-UTESTA-7H-2_W_72		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	59.271	54.22	2015:04:10:21:44:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6624671	XXX-UTESTA-7H-3_W_86	XXX-UTESTA-7H-3_W_86		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	60.911	55.86	2015:04:10:21:44:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6624681	XXX-UTESTA-7H-4_W_56	XXX-UTESTA-7H-4_W_56		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	62.111	57.06	2015:04:10:21:44:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6624691	XXX-UTESTA-7H-5_W_73	XXX-UTESTA-7H-5_W_73		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	63.782	58.73	2015:04:10:21:44:00.00	0	7e-06
This study	XXX	UTESTA	CUBE6624701	XXX-UTESTA-7H-6_W_48	XXX-UTESTA-7H-6_W_48		FS-C-DRILL-IODP:SP-SS-C:SO-V	0	65.032	59.98	2015:04:10:21:44:00.00	0	7e-06
