tab 	measurements
analysts	aniso_s	aniso_type	citations	contribution_id	derived_value	description	dir_csd	dir_dec	dir_inc	display_order	experiment	files	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	inversion_height	inversion_residuals	magn_b_111	magn_b_111_sigma	magn_b_x	magn_b_x_sigma	magn_b_xyz_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_induction	magn_mass	magn_moment	magn_r2_det	magn_uncal	magn_volume	magn_x	magn_x_sigma	magn_xyz_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	meas_duration	meas_field_ac	meas_field_ac_phi	meas_field_ac_theta	meas_field_dc	meas_field_dc_phi	meas_field_dc_theta	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	result_type	row_id	sequence	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_step	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							30.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-11	LP-X:LP-X-T:LP-X-F	g			11		ferroxyhyte_Princeton-1985-M1-1	u	7.364e-06	1.83e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							30.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-12	LP-X:LP-X-T:LP-X-F	g			12		ferroxyhyte_Princeton-1985-M1-1	u	7.153e-06	1.863e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							30.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-13	LP-X:LP-X-T:LP-X-F	g			13		ferroxyhyte_Princeton-1985-M1-1	u	6.94e-06	1.818e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							30.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-14	LP-X:LP-X-T:LP-X-F	g			14		ferroxyhyte_Princeton-1985-M1-1	u	6.748e-06	2.027e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						997.34							30.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-15	LP-X:LP-X-T:LP-X-F	g			15		ferroxyhyte_Princeton-1985-M1-1	u	6.499e-06	1.577e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							40.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-16	LP-X:LP-X-T:LP-X-F	g			16		ferroxyhyte_Princeton-1985-M1-1	u	8.206e-06	2.106e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						5.62							40.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-17	LP-X:LP-X-T:LP-X-F	g			17		ferroxyhyte_Princeton-1985-M1-1	u	7.964e-06	2.151e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						31.59							40.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-18	LP-X:LP-X-T:LP-X-F	g			18		ferroxyhyte_Princeton-1985-M1-1	u	7.713e-06	2.107e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						177.56							40.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-19	LP-X:LP-X-T:LP-X-F	g			19		ferroxyhyte_Princeton-1985-M1-1	u	7.487e-06	2.138e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						997.34							40.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-20	LP-X:LP-X-T:LP-X-F	g			2		ferroxyhyte_Princeton-1985-M1-1	u	7.216e-06	1.867e-07			2015-08-25T16:49:11.000-05:00																			
			This study								IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652					IRM-OldBlue																										0.00035						1.0							50.0		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-9652-9652-21	LP-X:LP-X-T:LP-X-F	g			21		ferroxyhyte_Princeton-1985-M1-1	u	8.981e-06	2.421e-07			2015-08-25T16:49:11.000-05:00																			
