tab 	specimens
citations	description	method_codes	result_quality	sample	specimen	synthetic_alternatives	volume	weight
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) dehydrated JB-JLB-822	ferrihydrite (Dyar) dehydrated JB-JLB-822 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) dehydrated JB-JLB-823	ferrihydrite (Dyar) dehydrated JB-JLB-823 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Icelandic, JA499	ferrihydrite (Dyar) Icelandic, JA499 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Icelandic, JB 498	ferrihydrite (Dyar) Icelandic, JB 498 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) JB-JLB-499	ferrihydrite (Dyar) JB-JLB-499 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) JB-JLB-499	ferrihydrite (Dyar) JB-JLB-499 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) JB 564 Czech Soos-1	ferrihydrite (Dyar) JB 564 Czech Soos-1 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) JB 565 Czech Soos-2	ferrihydrite (Dyar) JB 565 Czech Soos-2 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Nanophase 1GOE 03/2010 J. Bosch T-series	ferrihydrite (Dyar) Nanophase 1GOE 03/2010 J. Bosch T-series Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Nanophase 1GOE 06/2008 J. Bosch T-series	ferrihydrite (Dyar) Nanophase 1GOE 06/2008 J. Bosch T-series Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Nanophase 1GOE 07/2010 J. Bosch T-series	ferrihydrite (Dyar) Nanophase 1GOE 07/2010 J. Bosch T-series Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) R, E. Estes	ferrihydrite (Dyar) R, E. Estes Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) reduced synthetic, JB 428	ferrihydrite (Dyar) reduced synthetic, JB 428 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) reduced synthetic, JB 431	ferrihydrite (Dyar) reduced synthetic, JB 431 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) synthetic JB46	ferrihydrite (Dyar) synthetic JB46 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Synthetic, 2nm grain size	ferrihydrite (Dyar) Synthetic, 2nm grain size Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Synthetic, 4nm grain size	ferrihydrite (Dyar) Synthetic, 4nm grain size Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Synthetic, 6nm grain size	ferrihydrite (Dyar) Synthetic, 6nm grain size Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) synthetic, JB 409	ferrihydrite (Dyar) synthetic, JB 409 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) synthetic, JB 45	ferrihydrite (Dyar) synthetic, JB 45 Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) test E. Sklute	ferrihydrite (Dyar) test E. Sklute Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrite (Dyar) Wet Fh B Frozen, Sully	ferrihydrite (Dyar) Wet Fh B Frozen, Sully Moss			0.0
This Study	data from the Mineral Spectroscopy database, Mt Holyoke College	LP-MASS	g	ferrihydrites (Dyar) SG-FH-15-0-A, Erwin	ferrihydrites (Dyar) SG-FH-15-0-A, Erwin Moss			0.0
