tab 	samples
citations	dip	method_codes	sample	site
This study	-90.0	FS-H	akaganeite (Dyar) Nanophase 1GOE 07/2010 J. Bosch T-series	RMB akaganeite (beta FeOOH)
This study	-90.0	FS-H	akaganeite (Dyar) Sklute, Ak020515	RMB akaganeite (beta FeOOH)
This study	-90.0	FS-H	akaganeite (Dyar) Sklute, Ak102315	RMB akaganeite (beta FeOOH)
This study	-90.0	FS-H	ferrihydrite (Dyar) 1: DB seep surf 2, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) 10: chat 1-3 <44, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) 2: DB seep bio, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) 3: Ad, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) 4: 22 1, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) 5: ken 1-1, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) 6: DB3 fine >44, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) 7: DB3 fine >74, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) 8: chat 1 >44, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) 9: chat 1 >74, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) 96214, Smedley's Mine	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) air dried	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) DB B+1 20 cm, E. Estes	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, FH-150-0-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, FH-150-1-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, FH-40-0-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, FH-40-1-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, FH-40-2-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, FH-40-3-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, FH-40-h-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, FH-ini, 21 may	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, SG-FH-150-0-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, SG-FH-150-1-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, SG-FH-40-0-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Dehouk, SG-FH-40-4-A	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) dehydrated JB-JLB-820	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) dehydrated JB-JLB-821	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) dehydrated JB-JLB-822	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) dehydrated JB-JLB-823	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Icelandic, JA499	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Icelandic, JB 498	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) JB-JLB-499	RMB ferrihydrite (5Fe2O3 . 9H20)
This study	-90.0	FS-H	ferrihydrite (Dyar) JB-JLB-499	RMB ferrihydrite (5Fe2O3 . 9H20)
This study	-90.0	FS-H	ferrihydrite (Dyar) JB 564 Czech Soos-1	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) JB 565 Czech Soos-2	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Nanophase 1GOE 03/2010 J. Bosch T-series	RMB ferrihydrite
This study	-90.0	FS-H	ferrihydrite (Dyar) Nanophase 1GOE 06/2008 J. Bosch T-series	RMB ferrihydrite
