tab 	magic_measurements
er_citation_names	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_flag	measurement_lab_field_dc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_dc_field	treatment_temp
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	5.613e-01	4.933e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	5.442e-01	4.886e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	5.270e-01	4.836e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	5.099e-01	4.787e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	4.928e-01	4.735e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	4.757e-01	4.683e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	4.586e-01	4.630e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	4.413e-01	4.573e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	4.242e-01	4.516e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	4.071e-01	4.455e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	3.899e-01	4.394e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	3.728e-01	4.329e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	3.555e-01	4.260e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	3.384e-01	4.190e+01	1	u	273		273
This study	IS06a	Erez ben Yosef	IS06	IS06a-1	IS06a-1:LP-HYS	SIO-Maud	LP-HYS	g	3.213e-01	4.116e+01	1	u	273		273
