tab	measurements
citations	description	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
na	NRM	222.45	-0.5	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.391e-07	1.391e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT13	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	14	pmagpy-4.2.96	mc120c-SA4	u	0.04	0.0			13	273.0
na	NRM	222.16	-0.64	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.143e-07	1.143e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT14	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	15	pmagpy-4.2.96	mc120c-SA4	u	0.045	0.0			14	273.0
na	NRM	221.62	-0.57	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	9.71e-08	9.710000000000002e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT15	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	16	pmagpy-4.2.96	mc120c-SA4	u	0.05	0.0			15	273.0
na	NRM	224.34	-0.66	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	7.988e-08	7.988000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT16	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	17	pmagpy-4.2.96	mc120c-SA4	u	0.06	0.0			16	273.0
na	NRM	220.63	-0.47	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	7.051e-08	7.051000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT17	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	18	pmagpy-4.2.96	mc120c-SA4	u	0.07	0.0			17	273.0
na	NRM	221.42	-0.23	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	6.442e-08	6.442000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT18	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	19	pmagpy-4.2.96	mc120c-SA4	u	0.08	0.0			18	273.0
na	NRM	222.98	-0.19	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	5.891e-08	5.891000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT19	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	20	pmagpy-4.2.96	mc120c-SA4	u	0.09	0.0			19	273.0
na	NRM	224.12	0.15	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	5.43e-08	5.430000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT20	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	21	pmagpy-4.2.96	mc120c-SA4	u	0.1	0.0			20	273.0
na	NRM	223.99	0.26	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.667e-08	4.667e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT21	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	22	pmagpy-4.2.96	mc120c-SA4	u	0.12	0.0			21	273.0
na	NRM	221.29	1.04	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.27e-08	4.27e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT22	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	23	pmagpy-4.2.96	mc120c-SA4	u	0.14	0.0			22	273.0
na	NRM	222.92	0.52	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.82e-08	3.82e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT23	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	24	pmagpy-4.2.96	mc120c-SA4	u	0.16	0.0			23	273.0
na	NRM	220.51	0.46	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.69e-08	3.6900000000000004e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT24	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	25	pmagpy-4.2.96	mc120c-SA4	u	0.18	0.0			24	273.0
na	ARM00	233.6	-1.26	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.466e-07	1.4660000000000002e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT25	LT-AF-I:LT-NRM-PAR:LP-ARM-AFD:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	26	pmagpy-4.2.96	mc120c-SA4	u	0.0	5e-05	233.6	-1.26	25	273.0
na	ARM0	233.56	-1.27	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.43e-07	1.4300000000000002e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT26	LT-AF-I:LT-NRM-PAR:LT-LT-Z:LP-ARM-AFD:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	27	pmagpy-4.2.96	mc120c-SA4	u	0.0	5e-05	233.6	-1.26	26	77.0
na	ARM0	230.93	-1.58	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.417e-07	1.4170000000000001e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT27	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	28	pmagpy-4.2.96	mc120c-SA4	u	0.002	0.0			27	273.0
na	ARM0	233.0	-1.78	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.378e-07	1.3780000000000002e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT28	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	29	pmagpy-4.2.96	mc120c-SA4	u	0.005	0.0			28	273.0
na	ARM0	235.33	-1.31	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.326e-07	1.3260000000000002e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT29	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	30	pmagpy-4.2.96	mc120c-SA4	u	0.008	0.0			29	273.0
na	ARM0	230.68	-1.76	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.257e-07	1.257e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT30	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	31	pmagpy-4.2.96	mc120c-SA4	u	0.01	0.0			30	273.0
na	ARM0	229.38	-1.97	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.196e-07	1.1960000000000002e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT31	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	32	pmagpy-4.2.96	mc120c-SA4	u	0.012	0.0			31	273.0
na	ARM0	230.03	-1.34	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.104e-07	1.1040000000000001e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT32	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	33	pmagpy-4.2.96	mc120c-SA4	u	0.015	0.0			32	273.0
na	ARM0	229.11	-1.48	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	1.016e-07	1.0160000000000001e-12	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT33	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	34	pmagpy-4.2.96	mc120c-SA4	u	0.018	0.0			33	273.0
na	ARM0	229.41	-1.84	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	9.579e-08	9.579e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT34	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	35	pmagpy-4.2.96	mc120c-SA4	u	0.02	0.0			34	273.0
na	ARM0	226.78	-1.91	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	8.211e-08	8.211e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT35	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	36	pmagpy-4.2.96	mc120c-SA4	u	0.025	0.0			35	273.0
na	ARM0	228.13	-1.42	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	7.119e-08	7.119000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT36	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	37	pmagpy-4.2.96	mc120c-SA4	u	0.03	0.0			36	273.0
na	ARM0	226.63	-0.99	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	6.233e-08	6.233000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT37	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	38	pmagpy-4.2.96	mc120c-SA4	u	0.035	0.0			37	273.0
na	ARM0	228.39	-0.55	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	5.617e-08	5.617e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT38	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	39	pmagpy-4.2.96	mc120c-SA4	u	0.04	0.0			38	273.0
na	ARM0	225.69	0.26	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	5.305e-08	5.305000000000001e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT39	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	40	pmagpy-4.2.96	mc120c-SA4	u	0.045	0.0			39	273.0
na	ARM0	227.05	-0.1	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.99e-08	4.99e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT40	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	41	pmagpy-4.2.96	mc120c-SA4	u	0.05	0.0			40	273.0
na	ARM0	224.5	-0.37	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.512e-08	4.5120000000000014e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT41	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	42	pmagpy-4.2.96	mc120c-SA4	u	0.06	0.0			41	273.0
na	ARM0	224.71	0.36	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.197e-08	4.197e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT42	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	43	pmagpy-4.2.96	mc120c-SA4	u	0.07	0.0			42	273.0
na	ARM0	224.09	0.77	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	4.092e-08	4.092e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT43	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	44	pmagpy-4.2.96	mc120c-SA4	u	0.08	0.0			43	273.0
na	ARM0	225.02	0.55	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	3.971e-08	3.9710000000000004e-13	273.0	mc120c-SA4:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT44	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	45	pmagpy-4.2.96	mc120c-SA4	u	0.09	0.0			44	273.0
