tab 	samples
citations	geologic_classes	geologic_types	lat	lithologies	lon	sample	site
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava Flow	19.52	Basalt	204.19	A	Hawaii 1960 Flow
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL2360-1	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL2742-4	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL2770-3	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL2844-2	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL2852-2	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3023-1	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3028-2	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3029-4	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3029-5	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3031-1	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3034-2	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3034-5	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3035-2	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3156-1	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3159-1	1991-1992 Eruption Site
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	9.8	Submarine Basaltic Glass	255.70	AL3166-1	1991-1992 Eruption Site
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava Flow	19.52	Basalt	204.19	B	Hawaii 1960 Flow
10.1016/j.pepi.2014.12.007:This study	Archeologic	Brick	60.1	Not Specified	24.90	BR06	BR06
