tab 	specimens
citations	geologic_classes	geologic_types	lithologies	sample	specimen
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3035-2	AL3035-2i
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3035-2	AL3035-2j
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3156-1	AL3156-1a
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3156-1	AL3156-1b
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3159-1	AL3159-1a
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3159-1	AL3159-1b
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3159-1	AL3159-1g
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3166-1	AL3166-1a
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3166-1	AL3166-1b
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3166-1	AL3166-1g
10.1029/2005GC001141:This study	Extrusive:Igneous:Submarine	Glassy Margin	Submarine Basaltic Glass	AL3166-1	AL3166-1h
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-1-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-10-1
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-2-1
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-3-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-4-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-5-1
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-6-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-7-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-8-1
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-9-3
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	B	B-9-4L
