tab 	specimens
citations	geologic_classes	geologic_types	lithologies	sample	specimen
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a8
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw201a	hw201a9
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226a	hw226a1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226a	hw226a2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226a	hw226a3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226a	hw226a4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226a	hw226a5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226a	hw226a6
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226b	hw226b1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226b	hw226b2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226b	hw226b3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226b	hw226b4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226b	hw226b5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw226b	hw226b6
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241a	hw241a1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241a	hw241a2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241a	hw241a3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241a	hw241a4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241a	hw241a5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241a	hw241a6
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241d	hw241d1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241d	hw241d2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241d	hw241d3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241d	hw241d4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241d	hw241d5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241d	hw241d6
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241e	hw241e1
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241e	hw241e2
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241e	hw241e3
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241e	hw241e4
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241e	hw241e5
10.1029/2005GC001141:This study	Extrusive:Igneous	Lava flow	Basalt	hw241e	hw241e6
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	kf	kf011
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	kf	kf031
10.1111/j.1365-246X.2012.05412.x:This study	Extrusive:Igneous	Lava flow	Basalt	kf	kf072
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1ay	p1ay
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1c-stub1	p1c-stub1
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1cy_u	p1cy_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1cz_u	p1cz_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1e_u	p1e_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1fx_u	p1fx_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1fy_u	p1fy_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1ga_u	p1ga_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1gb_u	p1gb_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1gc_u	p1gc_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1h_u	p1h_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1hb_u	p1hb_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1ka_u	p1ka_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1kb_u	p1kb_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1kc_u	p1kc_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1kd_u	p1kd_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1l_u	p1l_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1my	p1my
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1na_u	p1na_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1nb	p1nb
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p1o_u	p1o_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2aa_u	p2aa_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2ab_u	p2ab_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2ac_u	p2ac_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2ad	p2ad
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2b_u	p2b_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2d	p2d
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2ey_u	p2ey_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2kx_u	p2kx_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2na_u	p2na_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2nb_u	p2nb_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2o_u	p2o_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2q	p2q
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2qc	p2qc
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2rl_u	p2rl_u
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	p2s_u	p2s_u
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs61	remag-rs61a
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs61	remag-rs61c
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs61	remag-rs61e
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs61	remag-rs61f
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs61	remag-rs61h
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs61	remag-rs61i
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs62	remag-rs62a
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs62	remag-rs62b
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs62	remag-rs62e
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs62	remag-rs62f
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs62	remag-rs62g
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs62	remag-rs62h
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs63	remag-rs63a
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs63	remag-rs63f
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs63	remag-rs63g
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs63	remag-rs63i
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs63	remag-rs63j
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs78	remag-rs78a
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs78	remag-rs78e
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs78	remag-rs78f
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs78	remag-rs78g
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	Not Specified	remag-rs78	remag-rs78i
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs25	rs25a
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs25	rs25b
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs25	rs25c
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs25	rs25d
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs25	rs25e
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs26	rs26a
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs26	rs26b
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs26	rs26c
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs26	rs26d
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs26	rs26e
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs27	rs27a
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs27	rs27b
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs27	rs27c
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs27	rs27d
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs27	rs27e
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs27	rs27f
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs27	rs27g
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs27	rs27h
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs27	rs27i
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	Not Specified	rs27	rs27j
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1a	vm1a
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1c	vm1c
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1dy	vm1dy
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1f	vm1f
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1g	vm1g
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1hx	vm1hx
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1i	vm1i
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1kx	vm1kx
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1mx	vm1mx
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1my	vm1my
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1nx	vm1nx
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1o	vm1o
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1q	vm1q
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1ry	vm1ry
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm1s	vm1s
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm2ay	vm2ay
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm2by	vm2by
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava flow	Basalt	vm2dy	vm2dy
