tab 	measurements
measurement	experiment	specimen	sequence	standard	quality	method_codes	treat_step_num	meas_field_dc	magn_moment	timestamp
LP-FORC-conventional_example-37-53	LP-FORC-conventional_example	conventional_example	1386	u	g	LP-FORC	1386	0.1637675	6.82971e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-54	LP-FORC-conventional_example	conventional_example	1387	u	g	LP-FORC	1387	0.1666088	6.865283e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-55	LP-FORC-conventional_example	conventional_example	1388	u	g	LP-FORC	1388	0.1694359	6.914433e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-56	LP-FORC-conventional_example	conventional_example	1389	u	g	LP-FORC	1389	0.1722652	6.952904e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-57	LP-FORC-conventional_example	conventional_example	1390	u	g	LP-FORC	1390	0.1750873	6.997376e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-58	LP-FORC-conventional_example	conventional_example	1391	u	g	LP-FORC	1391	0.1779077	7.032863e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-59	LP-FORC-conventional_example	conventional_example	1392	u	g	LP-FORC	1392	0.1807304	7.080344e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-60	LP-FORC-conventional_example	conventional_example	1393	u	g	LP-FORC	1393	0.183556	7.108547e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-61	LP-FORC-conventional_example	conventional_example	1394	u	g	LP-FORC	1394	0.186376	7.161121e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-62	LP-FORC-conventional_example	conventional_example	1395	u	g	LP-FORC	1395	0.1891988	7.196513e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-63	LP-FORC-conventional_example	conventional_example	1396	u	g	LP-FORC	1396	0.1920251	7.233858e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-64	LP-FORC-conventional_example	conventional_example	1397	u	g	LP-FORC	1397	0.194849	7.267822e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-65	LP-FORC-conventional_example	conventional_example	1398	u	g	LP-FORC	1398	0.1976914	7.318011e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-66	LP-FORC-conventional_example	conventional_example	1399	u	g	LP-FORC	1399	0.2005082	7.350621e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-67	LP-FORC-conventional_example	conventional_example	1400	u	g	LP-FORC	1400	0.2033378	7.384038e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-68	LP-FORC-conventional_example	conventional_example	1401	u	g	LP-FORC	1401	0.2061635	7.423733e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-69	LP-FORC-conventional_example	conventional_example	1402	u	g	LP-FORC	1402	0.2089822	7.462266e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-70	LP-FORC-conventional_example	conventional_example	1403	u	g	LP-FORC	1403	0.2118154	7.494418e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-71	LP-FORC-conventional_example	conventional_example	1404	u	g	LP-FORC	1404	0.2146368	7.525786e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-72	LP-FORC-conventional_example	conventional_example	1405	u	g	LP-FORC	1405	0.2174623	7.574833e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-37-73	LP-FORC-conventional_example	conventional_example	1406	u	g	LP-FORC	1406	0.2202868	7.602574e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-0	LP-FORC-conventional_example	conventional_example	1407	u	g	LP-FORC	1407	0.237044	7.810748e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-1	LP-FORC-conventional_example	conventional_example	1408	u	g	LP-FORC	1408	0.01370083	1.894752e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-2	LP-FORC-conventional_example	conventional_example	1409	u	g	LP-FORC	1409	0.01655709	2.086606e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-3	LP-FORC-conventional_example	conventional_example	1410	u	g	LP-FORC	1410	0.01943389	2.263768e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-4	LP-FORC-conventional_example	conventional_example	1411	u	g	LP-FORC	1411	0.02229322	2.438859e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-5	LP-FORC-conventional_example	conventional_example	1412	u	g	LP-FORC	1412	0.02514791	2.620929e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-6	LP-FORC-conventional_example	conventional_example	1413	u	g	LP-FORC	1413	0.02798349	2.772184e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-7	LP-FORC-conventional_example	conventional_example	1414	u	g	LP-FORC	1414	0.03083541	2.926726e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-8	LP-FORC-conventional_example	conventional_example	1415	u	g	LP-FORC	1415	0.0336822	3.08464e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-9	LP-FORC-conventional_example	conventional_example	1416	u	g	LP-FORC	1416	0.0365168	3.228868e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-10	LP-FORC-conventional_example	conventional_example	1417	u	g	LP-FORC	1417	0.03934957	3.374653e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-11	LP-FORC-conventional_example	conventional_example	1418	u	g	LP-FORC	1418	0.04218021	3.500204e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-12	LP-FORC-conventional_example	conventional_example	1419	u	g	LP-FORC	1419	0.04501585	3.637907e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-13	LP-FORC-conventional_example	conventional_example	1420	u	g	LP-FORC	1420	0.04786666	3.764705e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-14	LP-FORC-conventional_example	conventional_example	1421	u	g	LP-FORC	1421	0.05069203	3.894934e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-15	LP-FORC-conventional_example	conventional_example	1422	u	g	LP-FORC	1422	0.05352001	4.012241e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-16	LP-FORC-conventional_example	conventional_example	1423	u	g	LP-FORC	1423	0.05634741	4.135893e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-17	LP-FORC-conventional_example	conventional_example	1424	u	g	LP-FORC	1424	0.05917227	4.256931e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-18	LP-FORC-conventional_example	conventional_example	1425	u	g	LP-FORC	1425	0.06199441	4.348181e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-19	LP-FORC-conventional_example	conventional_example	1426	u	g	LP-FORC	1426	0.06482298	4.468834e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-20	LP-FORC-conventional_example	conventional_example	1427	u	g	LP-FORC	1427	0.06764936	4.574978e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-21	LP-FORC-conventional_example	conventional_example	1428	u	g	LP-FORC	1428	0.07047727	4.678858e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-22	LP-FORC-conventional_example	conventional_example	1429	u	g	LP-FORC	1429	0.07329977	4.771439e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-23	LP-FORC-conventional_example	conventional_example	1430	u	g	LP-FORC	1430	0.0761391	4.86702e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-24	LP-FORC-conventional_example	conventional_example	1431	u	g	LP-FORC	1431	0.07897396	4.96954e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-25	LP-FORC-conventional_example	conventional_example	1432	u	g	LP-FORC	1432	0.08179764	5.059793e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-26	LP-FORC-conventional_example	conventional_example	1433	u	g	LP-FORC	1433	0.08462216	5.139287e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-27	LP-FORC-conventional_example	conventional_example	1434	u	g	LP-FORC	1434	0.08745081	5.227086e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-28	LP-FORC-conventional_example	conventional_example	1435	u	g	LP-FORC	1435	0.09027231	5.31055e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-29	LP-FORC-conventional_example	conventional_example	1436	u	g	LP-FORC	1436	0.09310484	5.39249e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-30	LP-FORC-conventional_example	conventional_example	1437	u	g	LP-FORC	1437	0.09592835	5.46652e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-31	LP-FORC-conventional_example	conventional_example	1438	u	g	LP-FORC	1438	0.09875503	5.542361e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-32	LP-FORC-conventional_example	conventional_example	1439	u	g	LP-FORC	1439	0.1015828	5.620895e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-33	LP-FORC-conventional_example	conventional_example	1440	u	g	LP-FORC	1440	0.1044053	5.677177e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-34	LP-FORC-conventional_example	conventional_example	1441	u	g	LP-FORC	1441	0.1072502	5.753238e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-35	LP-FORC-conventional_example	conventional_example	1442	u	g	LP-FORC	1442	0.1100778	5.822394e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-36	LP-FORC-conventional_example	conventional_example	1443	u	g	LP-FORC	1443	0.1128977	5.884488e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-37	LP-FORC-conventional_example	conventional_example	1444	u	g	LP-FORC	1444	0.1157247	5.949648e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-38	LP-FORC-conventional_example	conventional_example	1445	u	g	LP-FORC	1445	0.1185502	6.011979e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-39	LP-FORC-conventional_example	conventional_example	1446	u	g	LP-FORC	1446	0.1213728	6.075328e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-40	LP-FORC-conventional_example	conventional_example	1447	u	g	LP-FORC	1447	0.1242051	6.128213e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-41	LP-FORC-conventional_example	conventional_example	1448	u	g	LP-FORC	1448	0.1270295	6.185682e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-42	LP-FORC-conventional_example	conventional_example	1449	u	g	LP-FORC	1449	0.1298548	6.235679e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-43	LP-FORC-conventional_example	conventional_example	1450	u	g	LP-FORC	1450	0.132678	6.300299e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-44	LP-FORC-conventional_example	conventional_example	1451	u	g	LP-FORC	1451	0.1355111	6.349622e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-45	LP-FORC-conventional_example	conventional_example	1452	u	g	LP-FORC	1452	0.1383459	6.405623e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-46	LP-FORC-conventional_example	conventional_example	1453	u	g	LP-FORC	1453	0.1411669	6.450212e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-47	LP-FORC-conventional_example	conventional_example	1454	u	g	LP-FORC	1454	0.1439966	6.506079e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-48	LP-FORC-conventional_example	conventional_example	1455	u	g	LP-FORC	1455	0.1468185	6.552154e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-49	LP-FORC-conventional_example	conventional_example	1456	u	g	LP-FORC	1456	0.1496402	6.595746e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-50	LP-FORC-conventional_example	conventional_example	1457	u	g	LP-FORC	1457	0.1524705	6.646589e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-51	LP-FORC-conventional_example	conventional_example	1458	u	g	LP-FORC	1458	0.1552953	6.685216e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-52	LP-FORC-conventional_example	conventional_example	1459	u	g	LP-FORC	1459	0.1581217	6.738926e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-53	LP-FORC-conventional_example	conventional_example	1460	u	g	LP-FORC	1460	0.1609497	6.786756e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-54	LP-FORC-conventional_example	conventional_example	1461	u	g	LP-FORC	1461	0.1637733	6.822913e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-55	LP-FORC-conventional_example	conventional_example	1462	u	g	LP-FORC	1462	0.1666124	6.86942e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-56	LP-FORC-conventional_example	conventional_example	1463	u	g	LP-FORC	1463	0.1694355	6.907867e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-57	LP-FORC-conventional_example	conventional_example	1464	u	g	LP-FORC	1464	0.1722628	6.9607e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-58	LP-FORC-conventional_example	conventional_example	1465	u	g	LP-FORC	1465	0.1750904	6.996892e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-59	LP-FORC-conventional_example	conventional_example	1466	u	g	LP-FORC	1466	0.1779085	7.036997e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-60	LP-FORC-conventional_example	conventional_example	1467	u	g	LP-FORC	1467	0.1807302	7.081884e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-61	LP-FORC-conventional_example	conventional_example	1468	u	g	LP-FORC	1468	0.1835516	7.117763e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-62	LP-FORC-conventional_example	conventional_example	1469	u	g	LP-FORC	1469	0.1863735	7.153813e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-63	LP-FORC-conventional_example	conventional_example	1470	u	g	LP-FORC	1470	0.1892026	7.197669e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-64	LP-FORC-conventional_example	conventional_example	1471	u	g	LP-FORC	1471	0.1920228	7.232253e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-65	LP-FORC-conventional_example	conventional_example	1472	u	g	LP-FORC	1472	0.1948465	7.268567e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-66	LP-FORC-conventional_example	conventional_example	1473	u	g	LP-FORC	1473	0.1976901	7.313163e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-67	LP-FORC-conventional_example	conventional_example	1474	u	g	LP-FORC	1474	0.2005114	7.346168e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-68	LP-FORC-conventional_example	conventional_example	1475	u	g	LP-FORC	1475	0.2033427	7.387194e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-69	LP-FORC-conventional_example	conventional_example	1476	u	g	LP-FORC	1476	0.2061633	7.421037e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-70	LP-FORC-conventional_example	conventional_example	1477	u	g	LP-FORC	1477	0.2089774	7.46247e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-71	LP-FORC-conventional_example	conventional_example	1478	u	g	LP-FORC	1478	0.2118067	7.489868e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-72	LP-FORC-conventional_example	conventional_example	1479	u	g	LP-FORC	1479	0.2146314	7.538346e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-73	LP-FORC-conventional_example	conventional_example	1480	u	g	LP-FORC	1480	0.217463	7.561743e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-74	LP-FORC-conventional_example	conventional_example	1481	u	g	LP-FORC	1481	0.2202879	7.604709e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-38-75	LP-FORC-conventional_example	conventional_example	1482	u	g	LP-FORC	1482	0.2231015	7.637067e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-0	LP-FORC-conventional_example	conventional_example	1483	u	g	LP-FORC	1483	0.2370423	7.810365e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-1	LP-FORC-conventional_example	conventional_example	1484	u	g	LP-FORC	1484	0.01088579	1.668244e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-2	LP-FORC-conventional_example	conventional_example	1485	u	g	LP-FORC	1485	0.01370823	1.861478e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-3	LP-FORC-conventional_example	conventional_example	1486	u	g	LP-FORC	1486	0.01660416	2.060388e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-4	LP-FORC-conventional_example	conventional_example	1487	u	g	LP-FORC	1487	0.01946487	2.241632e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-5	LP-FORC-conventional_example	conventional_example	1488	u	g	LP-FORC	1488	0.02231874	2.424703e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-6	LP-FORC-conventional_example	conventional_example	1489	u	g	LP-FORC	1489	0.0251694	2.592449e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-7	LP-FORC-conventional_example	conventional_example	1490	u	g	LP-FORC	1490	0.02800082	2.754724e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-8	LP-FORC-conventional_example	conventional_example	1491	u	g	LP-FORC	1491	0.03084588	2.917542e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-9	LP-FORC-conventional_example	conventional_example	1492	u	g	LP-FORC	1492	0.03369275	3.064353e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-10	LP-FORC-conventional_example	conventional_example	1493	u	g	LP-FORC	1493	0.03652811	3.213359e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-11	LP-FORC-conventional_example	conventional_example	1494	u	g	LP-FORC	1494	0.03935926	3.35849e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-12	LP-FORC-conventional_example	conventional_example	1495	u	g	LP-FORC	1495	0.04218683	3.496438e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-13	LP-FORC-conventional_example	conventional_example	1496	u	g	LP-FORC	1496	0.04502247	3.624556e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-14	LP-FORC-conventional_example	conventional_example	1497	u	g	LP-FORC	1497	0.04787176	3.772293e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-15	LP-FORC-conventional_example	conventional_example	1498	u	g	LP-FORC	1498	0.05069448	3.884808e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-16	LP-FORC-conventional_example	conventional_example	1499	u	g	LP-FORC	1499	0.05352145	4.001982e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-17	LP-FORC-conventional_example	conventional_example	1500	u	g	LP-FORC	1500	0.05634727	4.125243e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-18	LP-FORC-conventional_example	conventional_example	1501	u	g	LP-FORC	1501	0.05917446	4.237529e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-19	LP-FORC-conventional_example	conventional_example	1502	u	g	LP-FORC	1502	0.06199883	4.363376e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-20	LP-FORC-conventional_example	conventional_example	1503	u	g	LP-FORC	1503	0.06482678	4.463003e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-21	LP-FORC-conventional_example	conventional_example	1504	u	g	LP-FORC	1504	0.06765112	4.567344e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-22	LP-FORC-conventional_example	conventional_example	1505	u	g	LP-FORC	1505	0.07048065	4.67038e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-23	LP-FORC-conventional_example	conventional_example	1506	u	g	LP-FORC	1506	0.07329896	4.770443e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-24	LP-FORC-conventional_example	conventional_example	1507	u	g	LP-FORC	1507	0.07614211	4.865804e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-25	LP-FORC-conventional_example	conventional_example	1508	u	g	LP-FORC	1508	0.07897588	4.955778e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-26	LP-FORC-conventional_example	conventional_example	1509	u	g	LP-FORC	1509	0.08179896	5.04576e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-27	LP-FORC-conventional_example	conventional_example	1510	u	g	LP-FORC	1510	0.08462339	5.139379e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-28	LP-FORC-conventional_example	conventional_example	1511	u	g	LP-FORC	1511	0.08744736	5.222796e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-29	LP-FORC-conventional_example	conventional_example	1512	u	g	LP-FORC	1512	0.09027112	5.312751e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-30	LP-FORC-conventional_example	conventional_example	1513	u	g	LP-FORC	1513	0.09310548	5.382567e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-31	LP-FORC-conventional_example	conventional_example	1514	u	g	LP-FORC	1514	0.09592974	5.468512e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-32	LP-FORC-conventional_example	conventional_example	1515	u	g	LP-FORC	1515	0.09875478	5.535302e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-33	LP-FORC-conventional_example	conventional_example	1516	u	g	LP-FORC	1516	0.1015807	5.606399e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-34	LP-FORC-conventional_example	conventional_example	1517	u	g	LP-FORC	1517	0.1044051	5.684389e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-35	LP-FORC-conventional_example	conventional_example	1518	u	g	LP-FORC	1518	0.1072509	5.75193e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-36	LP-FORC-conventional_example	conventional_example	1519	u	g	LP-FORC	1519	0.1100736	5.823093e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-37	LP-FORC-conventional_example	conventional_example	1520	u	g	LP-FORC	1520	0.1129	5.885013e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-38	LP-FORC-conventional_example	conventional_example	1521	u	g	LP-FORC	1521	0.1157262	5.957547e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-39	LP-FORC-conventional_example	conventional_example	1522	u	g	LP-FORC	1522	0.1185431	6.013151e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-40	LP-FORC-conventional_example	conventional_example	1523	u	g	LP-FORC	1523	0.1213737	6.065912e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-41	LP-FORC-conventional_example	conventional_example	1524	u	g	LP-FORC	1524	0.1242038	6.132566e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-42	LP-FORC-conventional_example	conventional_example	1525	u	g	LP-FORC	1525	0.127027	6.181307e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-43	LP-FORC-conventional_example	conventional_example	1526	u	g	LP-FORC	1526	0.1298533	6.246156e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-44	LP-FORC-conventional_example	conventional_example	1527	u	g	LP-FORC	1527	0.132679	6.292363e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-45	LP-FORC-conventional_example	conventional_example	1528	u	g	LP-FORC	1528	0.1355095	6.356026e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-46	LP-FORC-conventional_example	conventional_example	1529	u	g	LP-FORC	1529	0.1383469	6.400295e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-47	LP-FORC-conventional_example	conventional_example	1530	u	g	LP-FORC	1530	0.1411674	6.453574e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-48	LP-FORC-conventional_example	conventional_example	1531	u	g	LP-FORC	1531	0.1439966	6.498011e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-49	LP-FORC-conventional_example	conventional_example	1532	u	g	LP-FORC	1532	0.1468217	6.55622e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-50	LP-FORC-conventional_example	conventional_example	1533	u	g	LP-FORC	1533	0.1496417	6.596263e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-51	LP-FORC-conventional_example	conventional_example	1534	u	g	LP-FORC	1534	0.1524721	6.64438e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-52	LP-FORC-conventional_example	conventional_example	1535	u	g	LP-FORC	1535	0.155299	6.692044e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-53	LP-FORC-conventional_example	conventional_example	1536	u	g	LP-FORC	1536	0.1581258	6.735826e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-54	LP-FORC-conventional_example	conventional_example	1537	u	g	LP-FORC	1537	0.1609515	6.785477e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-55	LP-FORC-conventional_example	conventional_example	1538	u	g	LP-FORC	1538	0.1637699	6.822575e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-56	LP-FORC-conventional_example	conventional_example	1539	u	g	LP-FORC	1539	0.1666125	6.867451e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-57	LP-FORC-conventional_example	conventional_example	1540	u	g	LP-FORC	1540	0.1694384	6.916783e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-58	LP-FORC-conventional_example	conventional_example	1541	u	g	LP-FORC	1541	0.1722636	6.951098e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-59	LP-FORC-conventional_example	conventional_example	1542	u	g	LP-FORC	1542	0.1750881	6.999694e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-60	LP-FORC-conventional_example	conventional_example	1543	u	g	LP-FORC	1543	0.1779119	7.0332e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-61	LP-FORC-conventional_example	conventional_example	1544	u	g	LP-FORC	1544	0.1807306	7.078564e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-62	LP-FORC-conventional_example	conventional_example	1545	u	g	LP-FORC	1545	0.1835579	7.115705e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-63	LP-FORC-conventional_example	conventional_example	1546	u	g	LP-FORC	1546	0.1863799	7.14977e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-64	LP-FORC-conventional_example	conventional_example	1547	u	g	LP-FORC	1547	0.1892029	7.191619e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-65	LP-FORC-conventional_example	conventional_example	1548	u	g	LP-FORC	1548	0.1920276	7.231213e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-66	LP-FORC-conventional_example	conventional_example	1549	u	g	LP-FORC	1549	0.1948491	7.279037e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-67	LP-FORC-conventional_example	conventional_example	1550	u	g	LP-FORC	1550	0.1976914	7.3068e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-68	LP-FORC-conventional_example	conventional_example	1551	u	g	LP-FORC	1551	0.2005125	7.351104e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-69	LP-FORC-conventional_example	conventional_example	1552	u	g	LP-FORC	1552	0.203342	7.385643e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-70	LP-FORC-conventional_example	conventional_example	1553	u	g	LP-FORC	1553	0.2061639	7.417141e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-71	LP-FORC-conventional_example	conventional_example	1554	u	g	LP-FORC	1554	0.2089811	7.448595e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-72	LP-FORC-conventional_example	conventional_example	1555	u	g	LP-FORC	1555	0.2118112	7.50136e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-73	LP-FORC-conventional_example	conventional_example	1556	u	g	LP-FORC	1556	0.2146342	7.534275e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-74	LP-FORC-conventional_example	conventional_example	1557	u	g	LP-FORC	1557	0.2174614	7.56452e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-75	LP-FORC-conventional_example	conventional_example	1558	u	g	LP-FORC	1558	0.2202891	7.603787e-07	2016-04-13T13:20:00
LP-FORC-conventional_example-39-76	LP-FORC-conventional_example	conventional_example	1559	u	g	LP-FORC	1559	0.2231075	7.640687e-07	2016-04-13T13:20:00
