Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CCSF-XXX-U1456-ABC-20150419-Rev1 (m),Length (cm),Volume (cc),Sample type,Test,Request Code,Request number,Sample name,Text identifier,Date sample logged,Sample entered by,Location,Comments,Label identifier
XXX,UTEST,A,5,H,7,W,37,39,41.87,41.89,45.869,45.889,2,7,CUBE,PMAG,,,PMAG,CUBE6610451,4/10/15 16:49,JRS_LIMATANGO,JR,,XXX-UTESTA-5H-7-W 37/39-PMAG
XXX,UTEST,A,6,H,1,W,83,85,43.33,43.35,47.508,47.528,2,7,CUBE,PMAG,,,PMAG,CUBE6623911,4/10/15 19:31,JRS_LIMATANGO,JR,,XXX-UTESTA-6H-1-W 83/85-PMAG
XXX,UTEST,A,6,H,2,W,28,30,44.28,44.3,48.458,48.478,2,7,CUBE,PMAG,,,PMAG,CUBE6623921,4/10/15 19:31,JRS_LIMATANGO,JR,,XXX-UTESTA-6H-2-W 28/30-PMAG
XXX,UTEST,A,6,H,3,W,62,64,46.12,46.14,50.298,50.318,2,7,CUBE,PMAG,,,PMAG,CUBE6623931,4/10/15 19:31,JRS_LIMATANGO,JR,,XXX-UTESTA-6H-3-W 62/64-PMAG
XXX,UTEST,A,6,H,4,W,58,60,47.58,47.6,51.758,51.778,2,7,CUBE,PMAG,,,PMAG,CUBE6623941,4/10/15 19:31,JRS_LIMATANGO,JR,,XXX-UTESTA-6H-4-W 58/60-PMAG
XXX,UTEST,A,6,H,5,W,41,43,48.91,48.93,53.088,53.108,2,7,CUBE,PMAG,,,PMAG,CUBE6623951,4/10/15 19:31,JRS_LIMATANGO,JR,,XXX-UTESTA-6H-5-W 41/43-PMAG
XXX,UTEST,A,6,H,6,W,50,52,50.5,50.52,54.678,54.698,2,7,CUBE,PMAG,,,PMAG,CUBE6623961,4/10/15 19:31,JRS_LIMATANGO,JR,,XXX-UTESTA-6H-6-W 50/52-PMAG
XXX,UTEST,A,7,H,1,W,100,102,53,53.02,58.051,58.071,2,7,CUBE,PMAG,,,PMAG,CUBE6624651,4/10/15 21:44,JRS_LIMATANGO,JR,,XXX-UTESTA-7H-1-W 100/102-PMAG
XXX,UTEST,A,7,H,2,W,72,74,54.22,54.24,59.271,59.292,2,7,CUBE,PMAG,,,PMAG,CUBE6624661,4/10/15 21:44,JRS_LIMATANGO,JR,,XXX-UTESTA-7H-2-W 72/74-PMAG
XXX,UTEST,A,7,H,3,W,86,88,55.86,55.88,60.911,60.931,2,7,CUBE,PMAG,,,PMAG,CUBE6624671,4/10/15 21:44,JRS_LIMATANGO,JR,,XXX-UTESTA-7H-3-W 86/88-PMAG
XXX,UTEST,A,7,H,4,W,56,58,57.06,57.08,62.111,62.132,2,7,CUBE,PMAG,,,PMAG,CUBE6624681,4/10/15 21:44,JRS_LIMATANGO,JR,,XXX-UTESTA-7H-4-W 56/58-PMAG
XXX,UTEST,A,7,H,5,W,73,75,58.73,58.75,63.782,63.801,2,7,CUBE,PMAG,,,PMAG,CUBE6624691,4/10/15 21:44,JRS_LIMATANGO,JR,,XXX-UTESTA-7H-5-W 73/75-PMAG
XXX,UTEST,A,7,H,6,W,48,50,59.98,60,65.032,65.051,2,7,CUBE,PMAG,,,PMAG,CUBE6624701,4/10/15 21:44,JRS_LIMATANGO,JR,,XXX-UTESTA-7H-6-W 48/50-PMAG
XXX,UTEST,A,7,H,7,W,39,41,60.75,60.77,65.801,65.822,2,7,CUBE,PMAG,,,PMAG,CUBE6624711,4/10/15 21:44,JRS_LIMATANGO,JR,,XXX-UTESTA-7H-7-W 39/41-PMAG
XXX,UTEST,A,8,H,1,W,53,55,62.03,62.05,67.091,67.111,2,7,CUBE,PMAG,,,PMAG,CUBE6636201,4/11/15 2:00,JRS_SCARDIA,JR,,XXX-UTESTA-8H-1-W 53/55-PMAG
XXX,UTEST,A,8,H,2,W,63,65,63.63,63.65,68.691,68.711,2,7,CUBE,PMAG,,,PMAG,CUBE6636211,4/11/15 2:00,JRS_SCARDIA,JR,,XXX-UTESTA-8H-2-W 63/65-PMAG
XXX,UTEST,A,8,H,3,W,80,82,65.3,65.32,70.361,70.381,2,7,CUBE,PMAG,,,PMAG,CUBE6636221,4/11/15 2:00,JRS_SCARDIA,JR,,XXX-UTESTA-8H-3-W 80/82-PMAG
XXX,UTEST,A,8,H,4,W,88,90,66.88,66.9,71.941,71.961,2,7,CUBE,PMAG,,,PMAG,CUBE6636231,4/11/15 2:00,JRS_SCARDIA,JR,,XXX-UTESTA-8H-4-W 88/90-PMAG
XXX,UTEST,A,8,H,5,W,36,38,67.86,67.88,72.921,72.941,2,7,CUBE,PMAG,,,PMAG,CUBE6636241,4/11/15 2:00,JRS_SCARDIA,JR,,XXX-UTESTA-8H-5-W 36/38-PMAG
XXX,UTEST,A,8,H,6,W,36,38,69.24,69.26,74.301,74.321,2,7,CUBE,PMAG,,,PMAG,CUBE6636251,4/11/15 2:00,JRS_SCARDIA,JR,,XXX-UTESTA-8H-6-W 36/38-PMAG
