tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_height	site_lat	site_lithology	site_lon	site_type
This study		mc169	Not Specified	s		-77.49100	Not Specified	169.28000	Not Specified
This study		mc16	Not Specified	s		-77.51000	Not Specified	169.38000	Not Specified
This study		mc170	Not Specified	s		-77.85400	Not Specified	166.71400	Not Specified
This study		mc19	Not Specified	s		-77.86000	Not Specified	165.23000	Not Specified
This study		mc200	Not Specified	s		-77.54995	Not Specified	166.16148	Not Specified
This study		mc201	Not Specified	s		-77.56284	Not Specified	166.21958	Not Specified
This study		mc202	Not Specified	s		-77.65674	Not Specified	166.36424	Not Specified
This study		mc203	Not Specified	s		-77.58070	Not Specified	166.25055	Not Specified
This study		mc204	Not Specified	s		-77.64020	Not Specified	166.40836	Not Specified
This study		mc205	Not Specified	s		-77.65666	Not Specified	166.72515	Not Specified
This study		mc206	Not Specified	s		-77.66665	Not Specified	166.78033	Not Specified
This study		mc207	Not Specified	s		-77.67871	Not Specified	166.51730	Not Specified
This study		mc208	Not Specified	s		-77.66786	Not Specified	166.53186	Not Specified
This study		mc209	Not Specified	s		-77.68544	Not Specified	166.36812	Not Specified
This study		mc20	Not Specified	s		-77.88000	Not Specified	165.02000	Not Specified
This study		mc210	Not Specified	s		-77.69125	Not Specified	166.37430	Not Specified
This study		mc211	Not Specified	s		-77.66147	Not Specified	166.33970	Not Specified
This study		mc212	Not Specified	s		-77.56505	Not Specified	166.35938	Not Specified
This study		mc213	Not Specified	s		-77.22331	Not Specified	166.42877	Not Specified
This study		mc214	Not Specified	s		-77.22355	Not Specified	166.42940	Not Specified
This study		mc215	Not Specified	s		-77.47730	Not Specified	166.89491	Not Specified
This study		mc216	Not Specified	s		-77.42391	Not Specified	166.81075	Not Specified
This study		mc217	Not Specified	s		-77.50885	Not Specified	167.44064	Not Specified
This study		mc218	Not Specified	s		-77.56218	Not Specified	166.97756	Not Specified
This study		mc219	Not Specified	s		-77.84783	Not Specified	166.67453	Not Specified
This study		mc21	Not Specified	s		-78.21000	Not Specified	166.49000	Not Specified
This study		mc220	Not Specified	s		-77.45702	Not Specified	166.91009	Not Specified
This study		mc221	Not Specified	s		-77.51610	Not Specified	166.79804	Not Specified
This study		mc222	Not Specified	s		-77.53893	Not Specified	166.84845	Not Specified
This study		mc223	Not Specified	s		-77.65831	Not Specified	166.78630	Not Specified
This study		mc224	Not Specified	s		-77.53046	Not Specified	166.88390	Not Specified
This study		mc225	Not Specified	s		-77.58053	Not Specified	166.80156	Not Specified
This study		mc226	Not Specified	s		-77.61355	Not Specified	166.76571	Not Specified
This study		mc227	Not Specified	s		-77.27064	Not Specified	166.73278	Not Specified
This study		mc228	Not Specified	s		-77.26690	Not Specified	166.37738	Not Specified
This study		mc229	Not Specified	s		-77.48281	Not Specified	167.15435	Not Specified
This study		mc22	Not Specified	s		-78.20000	Not Specified	166.54000	Not Specified
This study		mc26	Not Specified	s		-78.21000	Not Specified	166.57000	Not Specified
This study		mc28	Not Specified	s		-78.29000	Not Specified	164.73000	Not Specified
This study		mc29	Not Specified	s		-78.31000	Not Specified	164.80000	Not Specified
This study		mc30	Not Specified	s		-78.34000	Not Specified	164.87000	Not Specified
This study		mc31	Not Specified	s		-78.34000	Not Specified	164.28000	Not Specified
This study		mc32	Not Specified	s		-78.36000	Not Specified	164.30000	Not Specified
This study		mc33	Not Specified	s		-78.38000	Not Specified	164.34000	Not Specified
This study		mc34	Not Specified	s		-78.39000	Not Specified	164.27000	Not Specified
This study		mc35	Not Specified	s		-78.39000	Not Specified	164.23000	Not Specified
This study		mc36	Not Specified	s		-78.39000	Not Specified	164.27000	Not Specified
This study		mc37	Not Specified	s		-78.40000	Not Specified	164.27000	Not Specified
This study		mc38	Not Specified	s		-78.40000	Not Specified	164.21000	Not Specified
This study		mc39	Not Specified	s		-78.39000	Not Specified	164.21000	Not Specified
This study		mc40	Not Specified	s		-78.39000	Not Specified	164.20000	Not Specified
This study		mc41	Not Specified	s		-78.39000	Not Specified	164.20000	Not Specified
This study		mc42	Not Specified	s		-78.37000	Not Specified	164.12000	Not Specified
This study		mc43	Not Specified	s		-78.37000	Not Specified	164.24000	Not Specified
This study		mc44	Not Specified	s		-78.36000	Not Specified	164.26000	Not Specified
This study		mc48	Not Specified	s		-78.24000	Not Specified	163.36000	Not Specified
This study		mc49	Not Specified	s		-78.24000	Not Specified	163.36000	Not Specified
This study		mc50	Not Specified	s		-78.25000	Not Specified	163.22000	Not Specified
