tab 	er_samples
cooling_rate_corr	cooling_rate_mcd	er_citation_names	er_location_name	er_sample_alternatives	er_sample_name	er_scientist_mail_names	er_site_name	magic_method_codes	participantlist	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_cooling_rate	sample_declination_correction	sample_description	sample_dip	sample_height	sample_igsn	sample_lat	sample_lithology	sample_lon	sample_texture	sample_type
		This study			mc09f		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc09g		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc09h		mc09	:SO-NO					Not Specified							-77.55000	Not Specified	166.20000		Not Specified
		This study			mc100a		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100b		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100c		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100d		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100e		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100f		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100g		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100h		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100i		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc100j		mc100	:SO-NO					Not Specified							-78.30200	Not Specified	162.90000		Not Specified
		This study			mc101a		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101b		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101c		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101d		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101e		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101f		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101g		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101h		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101i		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc101j		mc101	:SO-NO					Not Specified							-78.30600	Not Specified	162.92800		Not Specified
		This study			mc102a		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102b		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102c		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102d		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102e		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102f		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102g		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102h		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102i		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102j		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102k		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102l		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc102m		mc102	:SO-NO					Not Specified							-78.23500	Not Specified	163.35200		Not Specified
		This study			mc103a		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103b		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103c		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103d		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103e		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103f		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103g		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103h		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103i		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103j		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103k		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc103l		mc103	:SO-NO					Not Specified							-78.23500	Not Specified	163.36000		Not Specified
		This study			mc104a		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104b		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104c		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104d		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104e		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104f		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104g		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104h		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104i		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104j		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc104k		mc104	:SO-NO					Not Specified							-78.23800	Not Specified	163.40100		Not Specified
		This study			mc105a		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105b		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105c		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105d		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105e		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105f		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105g		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105h		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105i		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105j		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105k		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105l		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105m		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc105n		mc105	:SO-NO					Not Specified							-78.24500	Not Specified	163.23100		Not Specified
		This study			mc106a		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106b		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106c		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106d		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106e		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106f		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106g		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106h		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106i		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106j		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106k		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc106l		mc106	:SO-NO					Not Specified							-78.21000	Not Specified	163.30800		Not Specified
		This study			mc107a		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107b		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107c		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107d		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107e		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107f		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107g		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107h		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107i		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107j		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107k		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc107l		mc107	:SO-NO					Not Specified							-78.20400	Not Specified	163.34700		Not Specified
		This study			mc108a		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc108b		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc108c		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc108d		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc108e		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc108f		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc108g		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc108h		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc108i		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc108j		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc108k		mc108	:SO-NO					Not Specified							-78.24700	Not Specified	163.32300		Not Specified
		This study			mc109a		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109c		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109d		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109e		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109f		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109g		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109h		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109i		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109j		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109k		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109l		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc109m		mc109	:SO-NO					Not Specified							-78.28200	Not Specified	163.54400		Not Specified
		This study			mc10a		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23000		Not Specified
		This study			mc10b		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23000		Not Specified
		This study			mc10c		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23000		Not Specified
		This study			mc10d		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23000		Not Specified
		This study			mc10e		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23000		Not Specified
		This study			mc10f		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23000		Not Specified
		This study			mc10g		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23000		Not Specified
		This study			mc10h		mc10	:SO-NO					Not Specified							-77.57000	Not Specified	166.23000		Not Specified
		This study			mc110a		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.44300		Not Specified
		This study			mc110b		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.44300		Not Specified
		This study			mc110c		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.44300		Not Specified
		This study			mc110d		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.44300		Not Specified
		This study			mc110f		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.44300		Not Specified
		This study			mc110g		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.44300		Not Specified
		This study			mc110h		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.44300		Not Specified
		This study			mc110i		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.44300		Not Specified
		This study			mc110j		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.44300		Not Specified
		This study			mc110k		mc110	:SO-NO					Not Specified							-78.23800	Not Specified	163.44300		Not Specified
		This study			mc111a		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111b		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111c		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111d		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111e		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111f		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111g		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111h		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111i		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111j		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111k		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111l		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc111m		mc111	:SO-NO					Not Specified							-78.22400	Not Specified	162.78700		Not Specified
		This study			mc112a		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.44100		Not Specified
		This study			mc112b		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.44100		Not Specified
		This study			mc112c		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.44100		Not Specified
		This study			mc112d		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.44100		Not Specified
		This study			mc112e		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.44100		Not Specified
		This study			mc112f		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.44100		Not Specified
		This study			mc112g		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.44100		Not Specified
		This study			mc112h		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.44100		Not Specified
		This study			mc112i		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.44100		Not Specified
		This study			mc112j		mc112	:SO-NO					Not Specified							-78.23800	Not Specified	163.44100		Not Specified
		This study			mc113a		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113b		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113c		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113d		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113e		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113f		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113g		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113h		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113i		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113j		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113k		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113l		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113m		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc113n		mc113	:SO-NO					Not Specified							-78.22600	Not Specified	162.73500		Not Specified
		This study			mc114a		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.78300		Not Specified
		This study			mc114b		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.78300		Not Specified
		This study			mc114c		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.78300		Not Specified
		This study			mc114d		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.78300		Not Specified
		This study			mc114e		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.78300		Not Specified
		This study			mc114f		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.78300		Not Specified
		This study			mc114g		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.78300		Not Specified
		This study			mc114h		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.78300		Not Specified
		This study			mc114i		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.78300		Not Specified
		This study			mc114j		mc114	:SO-NO					Not Specified							-78.22400	Not Specified	162.78300		Not Specified
		This study			mc115a		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115b		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115c		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
		This study			mc115d		mc115	:SO-NO					Not Specified							-78.24300	Not Specified	162.95800		Not Specified
