tab	sites
age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	location	lon	magic_method_codes	method_codes	result_type	samples	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.8		13.6	-78.8	254.4	5.0	5.0				4.9843	0.0							-77.83		McMurdo	166.67	DE-DI:DE-FM	DE-DI:DE-FM	i		mc06	pmagpy-2.60	mc06c : mc06d : mc06g : mc06h:mc06a							5.2	9.3	79.8	196.0	5.0
																																	mc06													
4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.2	A	156.9	-69.1	555.9	5.0		5.0	0.0	n	4.9928	0.0	Extrusive:Igneous	Lava Flow					-77.8	Basalt	McMurdo	166.72	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc07	pmagpy-2.60	mc07c : mc07d : mc07e : mc07f:mc07b											
4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.2		156.9	-69.1	555.9	5.0	5.0				4.9928	0.0							-77.8		McMurdo	166.72	DE-DI:DE-FM	DE-DI:DE-FM	i		mc07	pmagpy-2.60	mc07c : mc07d : mc07e : mc07f:mc07b							1.9	6.2	41.2	328.3	5.0
																																	mc07													
				This study		Basalt flow at Breached Cone, Hut Point Peninsula.													Extrusive:Igneous	Lava Flow					-77.8	Basalt	McMurdo	166.83					mc08													
0.65	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.7	A	38.5	-78.3	429.5	8.0		8.0	0.0	n	7.9837	0.0									McMurdo		DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc08	pmagpy-2.60	mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h:mc08a											
0.65	0.025	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															4.336e-05	1.5080000000000004e-06	3.4789999999999996	3.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc08b : mc08g:mc08a	mc08	pmagpy-2.60	mc08b : mc08g:mc08a											
0.65	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.7		38.5	-78.3	429.5	8.0	8.0				7.9837	0.0							-77.8		McMurdo	166.83	DE-DI:DE-FM	DE-DI:DE-FM	i		mc08	pmagpy-2.60	mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h:mc08a							2.8	5.2	75.1	234.6	8.0
0.65	0.025	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															4.336e-05	1.5080000000000004e-06	3.4789999999999996	3.0	-77.8		McMurdo	166.83	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM	i	mc08b : mc08g:mc08a	mc08	pmagpy-2.60	mc08b : mc08g:mc08a	5.703e+22	3.0	1.984e+21	5.942e+22	3.0	2.067e+21					
																																	mc08													
				This study		Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus.													Extrusive:Igneous	Lava Flow					-77.55	Trachyte	McMurdo	166.2					mc09													
0.07400000000000001	0.0075	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.6	A	259.9	-82.7	234.2	8.0		8.0	0.0	n	7.9701	0.0									McMurdo		DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc09	pmagpy-2.60	mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h:mc09a											
0.07400000000000001	0.0075	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.71e-05	1.007e-06	3.715	3.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc09b : mc09d:mc09a	mc09	pmagpy-2.60	mc09b : mc09d:mc09a											
0.07400000000000001	0.0075	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.6		259.9	-82.7	234.2	8.0	8.0				7.9701	0.0							-77.55		McMurdo	166.2	DE-DI:DE-FM	DE-DI:DE-FM	i		mc09	pmagpy-2.60	mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h:mc09a							6.1	6.9	69.5	30.4	8.0
0.07400000000000001	0.0075	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															2.71e-05	1.007e-06	3.715	3.0	-77.55		McMurdo	166.2	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM	i	mc09b : mc09d:mc09a	mc09	pmagpy-2.60	mc09b : mc09d:mc09a	3.567e+22	3.0	1.325e+21	3.588e+22	3.0	1.333e+21					
																																	mc09													
4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.1	A	335.3	-78.6	184.5	8.0		8.0	0.0	n	7.9621	0.0	Extrusive:Igneous	Lava Flow					-77.57	Basalt	McMurdo	166.23	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc10	pmagpy-2.60	mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h:mc10a											
4.0	4.0	Ma	Lisa Tauxe	This study	IE-SPEC																3.737e-05	0.0	0.0	1.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc10d	mc10	pmagpy-2.60	mc10d											
4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.1		335.3	-78.6	184.5	8.0	8.0				7.9621	0.0							-77.57		McMurdo	166.23	DE-DI:DE-FM	DE-DI:DE-FM	i		mc10	pmagpy-2.60	mc10b : mc10c : mc10d : mc10e : mc10f : mc10g : mc10h:mc10a							4.5	7.9	78.2	116.5	8.0
																																	mc10													
0.86	0.115	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.6	A	9.9	-76.6	582.7	7.0		5.0	2.0	n	6.9914	0.0	Extrusive:Igneous	Lava Flow					-78.30199999999999	Basalt	McMurdo	162.9	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc100	pmagpy-2.60	mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2:mc100a1											
0.86	0.115	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.6		9.9	-76.6	582.7	7.0	7.0				6.9914	0.0							-78.30199999999999		McMurdo	162.9	DE-DI:DE-FM	DE-DI:DE-FM	i		mc100	pmagpy-2.60	mc100d1 : mc100e1 : mc100e2 : mc100f2 : mc100g1 : mc100h2:mc100a1							2.3	5.0	75.9	180.6	7.0
																																	mc100													
1.065	0.004	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	38.5	-80.6	460.8	6.0		6.0	0.0	n	5.9891	0.0	Extrusive:Igneous	Lava Flow					-78.306	Basalt	McMurdo	162.928	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc101	pmagpy-2.60	mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1:mc101a1											
1.065	0.004	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.1		38.5	-80.6	460.8	6.0	6.0				5.9891	0.0							-78.306		McMurdo	162.928	DE-DI:DE-FM	DE-DI:DE-FM	i		mc101	pmagpy-2.60	mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1:mc101a1							3.8	6.0	78.4	239.0	6.0
																																	mc101													
0.264	0.01	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.4	A	150.4	75.7	326.5	7.0		6.0	1.0	r	6.9832	0.0	Extrusive:Igneous	Lava Flow					-78.235	Basalt	McMurdo	163.352	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc102	pmagpy-2.60	mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1:mc102a1											
0.264	0.01	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.4		150.4	75.7	326.5	7.0	7.0				6.9832	0.0							-78.235		McMurdo	163.352	DE-DI:DE-FM	DE-DI:DE-FM	i		mc102	pmagpy-2.60	mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1:mc102a1							2.8	6.6	-72.3	295.8	7.0
																																	mc102													
1.421	0.015	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.8	A	138.2	73.6	1460.2	6.0		6.0	0.0	r	5.9966	0.0	Extrusive:Igneous	Lava Flow					-78.235	Basalt	McMurdo	163.36	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc103	pmagpy-2.60	mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2:mc103a1											
1.421	0.015	Ma	Lisa Tauxe	This study	IE-SPEC																2.1e-05	0.0	0.0	1.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc103e	mc103	pmagpy-2.60	mc103e1											
1.421	0.015	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	1.8		138.2	73.6	1460.2	6.0	6.0				5.9966	0.0							-78.235		McMurdo	163.36	DE-DI:DE-FM	DE-DI:DE-FM	i		mc103	pmagpy-2.60	mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2:mc103a1							1.3	3.5	-67.0	283.3	6.0
																																	mc103													
0.29	0.01	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.2	A	72.1	-77.2	367.4	7.0		5.0	2.0	n	6.9864	0.0	Extrusive:Igneous	Lava Flow					-78.238	Basalt	McMurdo	163.401	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc104	pmagpy-2.60	mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1:mc104a1											
0.29	0.01	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.2		72.1	-77.2	367.4	7.0	7.0				6.9864	0.0							-78.238		McMurdo	163.401	DE-DI:DE-FM	DE-DI:DE-FM	i		mc104	pmagpy-2.60	mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1:mc104a1							2.9	6.2	66.5	262.2	7.0
																																	mc104													
0.86	0.035	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.1	A	193.2	69.5	671.0	8.0		8.0	0.0	r	7.9896	0.0	Extrusive:Igneous	Lava Flow					-78.245	Basalt	McMurdo	163.231	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc105	pmagpy-2.60	mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1:mc105a1											
0.86	0.035	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.862e-05	1.917e-06	6.697	4.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc105c : mc105d : mc105j:mc105a	mc105	pmagpy-2.60	mc105c1 : mc105d1 : mc105j1:mc105a2											
0.86	0.035	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.1		193.2	69.5	671.0	8.0	8.0				7.9896	0.0							-78.245		McMurdo	163.231	DE-DI:DE-FM	DE-DI:DE-FM	i		mc105	pmagpy-2.60	mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1:mc105a1							1.2	4.1	-64.5	1.8	8.0
0.86	0.035	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															2.862e-05	1.917e-06	6.697	4.0	-78.245		McMurdo	163.231	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc105c : mc105d : mc105j:mc105a	mc105	pmagpy-2.60	mc105c1 : mc105d1 : mc105j1:mc105a2	3.759e+22	4.0	2.518e+21	4.328e+22	4.0	2.898e+21					
																																	mc105													
13.42	0.09	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.8	A	19.5	-76.7	410.8	5.0		5.0	0.0	n	4.9903	0.0	Extrusive:Igneous	Lava Flow					-78.21	Basalt	McMurdo	163.308	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc106	pmagpy-2.60	mc106b1 : mc106c1 : mc106d1 : mc106e1:mc106a1											
13.42	0.09	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.8		19.5	-76.7	410.8	5.0	5.0				4.9903	0.0							-78.21		McMurdo	163.308	DE-DI:DE-FM	DE-DI:DE-FM	i		mc106	pmagpy-2.60	mc106b1 : mc106c1 : mc106d1 : mc106e1:mc106a1							3.4	7.4	75.3	197.5	5.0
																																	mc106													
2.57	0.19	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.0	A	96.0	-84.8	1007.6	7.0		5.0	2.0	n	6.995	0.0	Extrusive:Igneous	Lava Flow					-78.204	Basalt	McMurdo	163.347	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc107	pmagpy-2.60	mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1:mc107c1											
2.57	0.19	Ma	Lisa Tauxe	This study	IE-SPEC																1.524e-05	0.0	0.0	1.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc107e	mc107	pmagpy-2.60	mc107e2											
2.57	0.19	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.0		96.0	-84.8	1007.6	7.0	7.0				6.995	0.0							-78.204		McMurdo	163.347	DE-DI:DE-FM	DE-DI:DE-FM	i		mc107	pmagpy-2.60	mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1:mc107c1							4.5	3.9	73.6	304.3	7.0
																																	mc107													
0.41	0.07	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.8	A	69.8	-72.4	403.2	5.0		5.0	0.0	n	4.9901	0.0	Extrusive:Igneous	Lava Flow					-78.247	Basalt	McMurdo	163.32299999999998	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc108	pmagpy-2.60	mc108b1 : mc108d1 : mc108g2 : mc108k1:mc108a1											
0.41	0.07	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.8		69.8	-72.4	403.2	5.0	5.0				4.9901	0.0							-78.247		McMurdo	163.32299999999998	DE-DI:DE-FM	DE-DI:DE-FM	i		mc108	pmagpy-2.60	mc108b1 : mc108d1 : mc108g2 : mc108k1:mc108a1							2.6	7.4	59.8	252.3	5.0
																																	mc108													
1.261	0.02	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	174.6	75.4	477.4	6.0		6.0	0.0	r	5.9895	0.0	Extrusive:Igneous	Lava Flow					-78.282	Basalt	McMurdo	163.54399999999998	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc109	pmagpy-2.60	mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1:mc109a1											
1.261	0.02	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															3.48e-05	1.152e-06	3.3089999999999997	3.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc109c : mc109d:mc109a	mc109	pmagpy-2.60	mc109c1 : mc109d1:mc109a1											
1.261	0.02	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.1		174.6	75.4	477.4	6.0	6.0				5.9895	0.0							-78.282		McMurdo	163.54399999999998	DE-DI:DE-FM	DE-DI:DE-FM	i		mc109	pmagpy-2.60	mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1:mc109a1							2.5	6.0	-74.1	334.4	6.0
1.261	0.02	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															3.48e-05	1.152e-06	3.3089999999999997	3.0	-78.282		McMurdo	163.54399999999998	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc109c : mc109d:mc109a	mc109	pmagpy-2.60	mc109c1 : mc109d1:mc109a1	4.571e+22	3.0	1.512e+21	4.91e+22	3.0	1.625e+21					
																																	mc109													
4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.2	A	327.1	-77.1	621.8	8.0		8.0	0.0	n	7.9887	0.0	Extrusive:Igneous	Lava Flow					-77.57	Basalt	McMurdo	166.23	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc11	pmagpy-2.60	mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h:mc11a											
4.0	4.0	Ma	Lisa Tauxe	This study	IE-SPEC																4.328e-05	1.135e-05	26.23	3.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		mc11c : mc11e:mc11b	mc11	pmagpy-2.60	mc11c : mc11e:mc11b											
4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.2		327.1	-77.1	621.8	8.0	8.0				7.9887	0.0							-77.57		McMurdo	166.23	DE-DI:DE-FM	DE-DI:DE-FM	i		mc11	pmagpy-2.60	mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h:mc11a							2.1	4.2	74.4	109.0	8.0
																																	mc11													
7.94	0.12	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.2	A	253.5	79.6	218.2	5.0		5.0	0.0	r	4.9817	0.0	Extrusive:Igneous	Lava Flow					-78.238	Basalt	McMurdo	163.44299999999998	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc110	pmagpy-2.60	mc110b2 : mc110d1 : mc110g1 : mc110i1:mc110a2											
7.94	0.12	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.2		253.5	79.6	218.2	5.0	5.0				4.9817	0.0							-78.238		McMurdo	163.44299999999998	DE-DI:DE-FM	DE-DI:DE-FM	i		mc110	pmagpy-2.60	mc110b2 : mc110d1 : mc110g1 : mc110i1:mc110a2							5.9	10.1	-69.9	89.6	5.0
																																	mc110													
1.99	0.02	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.7	A	47.9	-67.6	1243.3	7.0		7.0	0.0	n	6.9952	0.0	Extrusive:Igneous	Lava Flow					-78.22399999999999	Basalt	McMurdo	162.787	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc111	pmagpy-2.60	mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1:mc111a2											
1.99	0.02	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.7899999999999997e-05	4.299e-07	1.541	2.0			McMurdo		IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		mc111e:mc111d	mc111	pmagpy-2.60	mc111e2:mc111d2											
1.99	0.02	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	1.7		47.9	-67.6	1243.3	7.0	7.0				6.9952	0.0							-78.22399999999999		McMurdo	162.787	DE-DI:DE-FM	DE-DI:DE-FM	i		mc111	pmagpy-2.60	mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1:mc111a2							0.9	3.3	57.4	223.9	7.0
1.99	0.02	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															2.7899999999999997e-05	4.299e-07	1.541	2.0	-78.22399999999999		McMurdo	162.787	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM	i	mc111e:mc111d	mc111	pmagpy-2.60	mc111e2:mc111d2	3.665e+22	2.0	5.648e+20	4.322e+22	2.0	6.66e+20					
																																	mc111													
7.63	0.16	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.2	A	232.9	75.7	220.9	5.0		5.0	0.0	r	4.9819	0.0	Extrusive:Igneous	Lava Flow					-78.238	Basalt	McMurdo	163.441	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc112	pmagpy-2.60	mc112d1 : mc112g1 : mc112h3 : mc112j1:mc112a1											
7.63	0.16	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.2		232.9	75.7	220.9	5.0	5.0				4.9819	0.0							-78.238		McMurdo	163.441	DE-DI:DE-FM	DE-DI:DE-FM	i		mc112	pmagpy-2.60	mc112d1 : mc112g1 : mc112h3 : mc112j1:mc112a1							4.3	10.1	-68.1	60.0	5.0
																																	mc112													
6.73	0.085	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.0	A	264.4	75.4	504.1	6.0		6.0	0.0	r	5.9901	0.0	Extrusive:Igneous	Lava Flow					-78.226	Basalt	McMurdo	162.735	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM			mc113	pmagpy-2.60	mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1:mc113a1											
