tab	samples
sample	site	lat	lon	geologic_classes	geologic_types	lithologies	azimuth	dip	orientation_quality	citations	method_codes	result_quality	result_type	sample_alternatives	timestamp
318-U1361A-001H-2-W-35	318-U1361A-001H-2-W-35	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i	CUBE2208531	2010-02-26T04:40:00Z
318-U1361A-001H-3-W-90	318-U1361A-001H-3-W-90	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i	CUBE2208541	2010-02-26T04:40:00Z
318-U1361A-001H-4-W-50	318-U1361A-001H-4-W-50	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i	CUBE2208551	2010-02-26T04:40:00Z
318-U1361A-001H-5-W-59	318-U1361A-001H-5-W-59	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i	CUBE2208561	2010-02-26T04:40:00Z
318-U1361A-001H-6-W-60	318-U1361A-001H-6-W-60	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i	CUBE2208571	2010-02-26T04:40:00Z
318-U1361A-001H_2A-0.1	318-U1361A-001H_2A-0.1	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.15	318-U1361A-001H_2A-0.15	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.2	318-U1361A-001H_2A-0.2	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.25	318-U1361A-001H_2A-0.25	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.3	318-U1361A-001H_2A-0.3	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.35	318-U1361A-001H_2A-0.35	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.4	318-U1361A-001H_2A-0.4	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.45	318-U1361A-001H_2A-0.45	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.5	318-U1361A-001H_2A-0.5	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.55	318-U1361A-001H_2A-0.55	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.6	318-U1361A-001H_2A-0.6	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.65	318-U1361A-001H_2A-0.65	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.7	318-U1361A-001H_2A-0.7	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.75	318-U1361A-001H_2A-0.75	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
318-U1361A-001H_2A-0.8	318-U1361A-001H_2A-0.8	-64.2457	143.532	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	0.0	0.0	g	This study	FS-C-DRILL-IODP:SO-V:SP-SS-C	g	i		Invalid date
