tab 	sites
citations	composite_depth	core_depth	geologic_classes	geologic_types	lithologies	location	site
This study	1.85	1.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H-2-W-35
This study	3.9	3.9	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H-3-W-90
This study	5	5	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H-4-W-50
This study	6.59	6.59	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H-5-W-59
This study	8.1	8.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H-6-W-60
This study	1.6	1.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.1
This study	1.65	1.65	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.15
This study	1.7	1.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.2
This study	1.75	1.75	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.25
This study	1.8	1.8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.3
This study	1.85	1.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.35
This study	1.9	1.9	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.4
This study	1.95	1.95	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.45
This study	2	2	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.5
This study	2.05	2.05	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.55
This study	2.1	2.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.6
This study	2.15	2.15	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.65
This study	2.2	2.2	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.7
This study	2.25	2.25	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.75
This study	2.3	2.3	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.8
This study	2.35	2.35	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.85
This study	2.4	2.4	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.9
This study	2.45	2.45	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-0.95
This study	2.5	2.5	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-1
This study	2.55	2.55	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-1.05
This study	2.6	2.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-1.1
This study	2.65	2.65	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-1.15
This study	2.7	2.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-1.2
This study	2.75	2.75	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-1.25
This study	2.8	2.8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-1.3
This study	2.85	2.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-1.35
This study	2.9	2.9	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-1.4
This study	2.95	2.95	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_2A-1.45
This study	3.1	3.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.1
This study	3.15	3.15	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.15
This study	3.2	3.2	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.2
This study	3.25	3.25	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.25
This study	3.3	3.3	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.3
This study	3.35	3.35	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.35
This study	3.4	3.4	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.4
This study	3.45	3.45	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.45
This study	3.5	3.5	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.5
This study	3.55	3.55	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.55
This study	3.6	3.6	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.6
This study	3.65	3.65	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.65
This study	3.7	3.7	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.7
This study	3.75	3.75	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.75
This study	3.8	3.8	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.8
This study	3.85	3.85	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.85
This study	3.9	3.9	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.9
This study	3.95	3.95	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-0.95
This study	4	4	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-1
This study	4.05	4.05	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-1.05
This study	4.1	4.1	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-1.1
This study	4.15	4.15	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-1.15
This study	4.2	4.2	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-1.2
This study	4.25	4.25	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-1.25
This study	4.3	4.3	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-1.3
This study	4.35	4.35	Sedimentary	Sediment Layer	Silicate-Clay:Silty Clay	U1361A	318-U1361A-001H_3A-1.35
