tab	er_samples
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	er_expedition_name	sample_core_depth	sample_azimuth	sample_dip	sample_date	magic_method_codes	sample_composite_depth	er_sample_alternatives
This study	318-U1361A-001H_2A-1	318-U1361A-001H_2A-1	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.5	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.5	nan
This study	318-U1361A-001H_2A-1.05	318-U1361A-001H_2A-1.05	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.55	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.55	nan
This study	318-U1361A-001H_2A-1.1	318-U1361A-001H_2A-1.1	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.6	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.6	nan
This study	318-U1361A-001H_2A-1.15	318-U1361A-001H_2A-1.15	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.65	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.65	nan
This study	318-U1361A-001H_2A-1.2	318-U1361A-001H_2A-1.2	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.7	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.7	nan
This study	318-U1361A-001H_2A-1.25	318-U1361A-001H_2A-1.25	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.75	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.75	nan
This study	318-U1361A-001H_2A-1.3	318-U1361A-001H_2A-1.3	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.8	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.8	nan
This study	318-U1361A-001H_2A-1.35	318-U1361A-001H_2A-1.35	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.85	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.85	nan
This study	318-U1361A-001H_2A-1.4	318-U1361A-001H_2A-1.4	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.9	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.9	nan
This study	318-U1361A-001H_2A-1.45	318-U1361A-001H_2A-1.45	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.95	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.95	nan
This study	318-U1361A-001H_3A-0.1	318-U1361A-001H_3A-0.1	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.1	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.1	nan
This study	318-U1361A-001H_3A-0.15	318-U1361A-001H_3A-0.15	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.15	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.15	nan
This study	318-U1361A-001H_3A-0.2	318-U1361A-001H_3A-0.2	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.2	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.2	nan
This study	318-U1361A-001H_3A-0.25	318-U1361A-001H_3A-0.25	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.25	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.25	nan
This study	318-U1361A-001H_3A-0.3	318-U1361A-001H_3A-0.3	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.3	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.3	nan
This study	318-U1361A-001H_3A-0.35	318-U1361A-001H_3A-0.35	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.35	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.35	nan
This study	318-U1361A-001H_3A-0.4	318-U1361A-001H_3A-0.4	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.4	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.4	nan
This study	318-U1361A-001H_3A-0.45	318-U1361A-001H_3A-0.45	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.45	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.45	nan
This study	318-U1361A-001H_3A-0.5	318-U1361A-001H_3A-0.5	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.5	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.5	nan
This study	318-U1361A-001H_3A-0.55	318-U1361A-001H_3A-0.55	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.55	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.55	nan
This study	318-U1361A-001H_3A-0.6	318-U1361A-001H_3A-0.6	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.6	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.6	nan
This study	318-U1361A-001H_3A-0.65	318-U1361A-001H_3A-0.65	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.65	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.65	nan
This study	318-U1361A-001H_3A-0.7	318-U1361A-001H_3A-0.7	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.7	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.7	nan
This study	318-U1361A-001H_3A-0.75	318-U1361A-001H_3A-0.75	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.75	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.75	nan
This study	318-U1361A-001H_3A-0.8	318-U1361A-001H_3A-0.8	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.8	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.8	nan
This study	318-U1361A-001H_3A-0.85	318-U1361A-001H_3A-0.85	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.85	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.85	nan
This study	318-U1361A-001H_3A-0.9	318-U1361A-001H_3A-0.9	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.9	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.9	nan
This study	318-U1361A-001H_3A-0.95	318-U1361A-001H_3A-0.95	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.95	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.95	nan
This study	318-U1361A-001H_3A-1	318-U1361A-001H_3A-1	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4	nan
This study	318-U1361A-001H_3A-1.05	318-U1361A-001H_3A-1.05	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.05	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.05	nan
This study	318-U1361A-001H_3A-1.1	318-U1361A-001H_3A-1.1	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.1	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.1	nan
This study	318-U1361A-001H_3A-1.15	318-U1361A-001H_3A-1.15	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.15	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.15	nan
This study	318-U1361A-001H_3A-1.2	318-U1361A-001H_3A-1.2	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.2	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.2	nan
This study	318-U1361A-001H_3A-1.25	318-U1361A-001H_3A-1.25	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.25	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.25	nan
This study	318-U1361A-001H_3A-1.3	318-U1361A-001H_3A-1.3	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.3	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.3	nan
This study	318-U1361A-001H_3A-1.35	318-U1361A-001H_3A-1.35	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.35	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.35	nan
This study	318-U1361A-001H_3A-1.4	318-U1361A-001H_3A-1.4	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.4	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.4	nan
This study	318-U1361A-001H_3A-1.45	318-U1361A-001H_3A-1.45	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.45	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.45	nan
This study	318-U1361A-001H_4A-0.1	318-U1361A-001H_4A-0.1	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.6	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.6	nan
This study	318-U1361A-001H_4A-0.15	318-U1361A-001H_4A-0.15	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.65	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.65	nan
This study	318-U1361A-001H_4A-0.2	318-U1361A-001H_4A-0.2	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.7	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.7	nan
This study	318-U1361A-001H_4A-0.25	318-U1361A-001H_4A-0.25	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.75	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.75	nan
This study	318-U1361A-001H_4A-0.3	318-U1361A-001H_4A-0.3	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.8	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.8	nan
This study	318-U1361A-001H_4A-0.35	318-U1361A-001H_4A-0.35	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.85	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.85	nan
This study	318-U1361A-001H_4A-0.4	318-U1361A-001H_4A-0.4	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.9	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.9	nan
This study	318-U1361A-001H_4A-0.45	318-U1361A-001H_4A-0.45	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	4.95	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	4.95	nan
This study	318-U1361A-001H_4A-0.5	318-U1361A-001H_4A-0.5	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5	nan
This study	318-U1361A-001H_4A-0.55	318-U1361A-001H_4A-0.55	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.05	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.05	nan
This study	318-U1361A-001H_4A-0.6	318-U1361A-001H_4A-0.6	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.1	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.1	nan
This study	318-U1361A-001H_4A-0.65	318-U1361A-001H_4A-0.65	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.15	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.15	nan
This study	318-U1361A-001H_4A-0.7	318-U1361A-001H_4A-0.7	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.2	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.2	nan
This study	318-U1361A-001H_4A-0.75	318-U1361A-001H_4A-0.75	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.25	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.25	nan
This study	318-U1361A-001H_4A-0.8	318-U1361A-001H_4A-0.8	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.3	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.3	nan
This study	318-U1361A-001H_4A-0.85	318-U1361A-001H_4A-0.85	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.35	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.35	nan
This study	318-U1361A-001H_4A-0.9	318-U1361A-001H_4A-0.9	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.4	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.4	nan
This study	318-U1361A-001H_4A-0.95	318-U1361A-001H_4A-0.95	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.45	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.45	nan
This study	318-U1361A-001H_4A-1	318-U1361A-001H_4A-1	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.5	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.5	nan
This study	318-U1361A-001H_4A-1.05	318-U1361A-001H_4A-1.05	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.55	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.55	nan
This study	318-U1361A-001H_4A-1.1	318-U1361A-001H_4A-1.1	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.6	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.6	nan
This study	318-U1361A-001H_4A-1.15	318-U1361A-001H_4A-1.15	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5.65	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	5.65	nan
