Specimen,Treat,Int,Dec,Inc
ex9-1,20,0.004199,186.1,-2.3
ex9-1,150,0.004834,188.6,-14.8
ex9-1,250,0.005453,189.8,-23.4
ex9-1,350,0.005978,191.1,-27.1
ex9-1,450,0.0064,192.1,-30.8
ex9-1,500,0.006525,193.4,-32.5
ex9-1,525,0.00595,193.9,-34.5
ex9-1,550,0.002927,193.7,-34.1
ex9-1,575,0.000383,200.1,-22
