AutoCore2 -- BC0-3A
Lcl Dcl	Azimuth	Dip Dir	Bed Dir	Longitude	Latitude	Volume	#Runs	Lcl Inc
0.0	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.000000e+00	0.000000e+00	15.50	72	0.0
Date	Time	DM Type	DM Val	Suscept	X	Y	Z	XSigma	YSigma	ZSigma	BGDdrift	INT	%NRM	MGD	MGI	MSTD	MSTI	MSPD	MSPI	PGLOG	PGLAT	PSLONG	PSLAT
29.10.2013	13:22:34	-1	0	1.3	2.179e-06	-1.792e-06	-6.536e-06	0.000e+00	0.000e+00	0.000e+00	4.959e-09	4.59e-07	100.0	320	-67	320	-67	320	-67	28	-31	28	-31	
30.10.2013	16:43:53	-1	150		-3.174e-06	1.007e-06	-1.339e-05	0.000e+00	0.000e+00	0.000e+00	5.992e-09	8.90e-07	193.8	162	-77	162	-77	162	-77	-9	25	-9	25	
30.10.2013	16:46:19	-1	150	1.3	-3.392e-06	8.503e-07	-1.343e-05	0.000e+00	0.000e+00	0.000e+00	7.874e-09	8.95e-07	194.9	165	-76	165	-76	165	-76	-8	26	-8	26	
01.11.2013	10:30:47	2	0		-3.207e-06	1.061e-06	-1.363e-05	0.000e+00	0.000e+00	0.000e+00	3.320e-09	9.06e-07	197.3	161	-77	161	-77	161	-77	-9	24	-9	24	
01.11.2013	10:32:35	5	2		-3.262e-06	1.130e-06	-1.369e-05	0.000e+00	0.000e+00	0.000e+00	8.005e-09	9.11e-07	198.3	160	-76	160	-76	160	-76	-10	25	-10	25	
01.11.2013	10:34:23	7	4		-3.492e-06	1.450e-06	-1.387e-05	0.000e+00	0.000e+00	0.000e+00	8.848e-10	9.27e-07	201.9	157	-75	157	-75	157	-75	-12	26	-12	26	
01.11.2013	10:36:05	2	6		-3.687e-06	1.587e-06	-1.394e-05	0.000e+00	0.000e+00	0.000e+00	1.201e-08	9.36e-07	203.8	156	-74	156	-74	156	-74	-13	27	-13	27	
01.11.2013	10:37:58	5	8		-3.688e-06	1.765e-06	-1.423e-05	0.000e+00	0.000e+00	0.000e+00	7.491e-09	9.55e-07	208.0	154	-74	154	-74	154	-74	-14	26	-14	26	
01.11.2013	10:39:51	7	10		-3.947e-06	1.741e-06	-1.426e-05	0.000e+00	0.000e+00	0.000e+00	8.097e-09	9.61e-07	209.3	156	-74	156	-74	156	-74	-14	28	-14	28	
01.11.2013	10:44:32	2	12		-4.273e-06	1.689e-06	-1.438e-05	0.000e+00	0.000e+00	0.000e+00	1.017e-08	9.74e-07	212.1	158	-73	158	-73	158	-73	-14	30	-14	30	
01.11.2013	10:46:29	5	14		-4.177e-06	1.883e-06	-1.442e-05	0.000e+00	0.000e+00	0.000e+00	4.463e-09	9.76e-07	212.5	155	-73	155	-73	155	-73	-15	29	-15	29	
01.11.2013	10:48:28	7	16		-4.262e-06	1.399e-06	-1.432e-05	0.000e+00	0.000e+00	0.000e+00	7.886e-09	9.68e-07	210.8	161	-73	161	-73	161	-73	-12	30	-12	30	
01.11.2013	10:50:20	2	18		-4.053e-06	1.775e-06	-1.407e-05	0.000e+00	0.000e+00	0.000e+00	5.230e-09	9.52e-07	207.2	156	-73	156	-73	156	-73	-15	29	-15	29	
01.11.2013	10:52:24	5	20		-4.053e-06	1.612e-06	-1.387e-05	0.000e+00	0.000e+00	0.000e+00	4.700e-09	9.38e-07	204.2	158	-73	158	-73	158	-73	-14	29	-14	29	
01.11.2013	10:56:30	7	22		-3.823e-06	1.573e-06	-1.375e-05	0.000e+00	0.000e+00	0.000e+00	2.507e-09	9.26e-07	201.7	157	-74	157	-74	157	-74	-13	28	-13	28	
01.11.2013	10:58:28	2	24		-3.723e-06	1.515e-06	-1.338e-05	0.000e+00	0.000e+00	0.000e+00	6.970e-09	9.01e-07	196.2	157	-74	157	-74	157	-74	-13	28	-13	28	
01.11.2013	11:00:35	5	26		-3.416e-06	1.536e-06	-1.313e-05	0.000e+00	0.000e+00	0.000e+00	5.785e-09	8.81e-07	191.8	155	-75	155	-75	155	-75	-14	26	-14	26	
01.11.2013	11:02:43	7	28		-3.726e-06	1.304e-06	-1.271e-05	0.000e+00	0.000e+00	0.000e+00	5.411e-09	8.59e-07	187.0	160	-73	160	-73	160	-73	-12	29	-12	29	
01.11.2013	11:04:47	2	30		-3.364e-06	1.293e-06	-1.257e-05	0.000e+00	0.000e+00	0.000e+00	5.163e-09	8.44e-07	183.7	158	-75	158	-75	158	-75	-12	27	-12	27	
01.11.2013	11:09:27	5	32		-3.346e-06	1.218e-06	-1.215e-05	0.000e+00	0.000e+00	0.000e+00	1.533e-09	8.17e-07	177.9	159	-74	159	-74	159	-74	-12	28	-12	28	
01.11.2013	11:11:41	7	34		-3.288e-06	1.407e-06	-1.176e-05	0.000e+00	0.000e+00	0.000e+00	6.819e-09	7.93e-07	172.7	156	-74	156	-74	156	-74	-14	28	-14	28	
01.11.2013	11:13:49	2	36		-3.231e-06	1.315e-06	-1.150e-05	0.000e+00	0.000e+00	0.000e+00	6.517e-09	7.75e-07	168.8	157	-74	157	-74	157	-74	-13	28	-13	28	
01.11.2013	11:16:07	5	38		-3.231e-06	9.175e-07	-1.153e-05	0.000e+00	0.000e+00	0.000e+00	5.366e-09	7.75e-07	168.7	164	-74	164	-74	164	-74	-10	28	-10	28	
01.11.2013	11:18:25	7	40		-3.143e-06	1.196e-06	-1.093e-05	0.000e+00	0.000e+00	0.000e+00	8.097e-09	7.38e-07	160.6	159	-73	159	-73	159	-73	-13	29	-13	29	
01.11.2013	11:22:50	2	42		-3.088e-06	1.036e-06	-1.017e-05	0.000e+00	0.000e+00	0.000e+00	5.366e-09	6.89e-07	150.0	161	-73	161	-73	161	-73	-12	30	-12	30	
01.11.2013	11:25:13	5	44		-2.942e-06	9.325e-07	-1.032e-05	0.000e+00	0.000e+00	0.000e+00	9.412e-09	6.95e-07	151.3	162	-74	162	-74	162	-74	-11	29	-11	29	
01.11.2013	11:27:37	7	46		-3.308e-06	1.387e-06	-1.010e-05	0.000e+00	0.000e+00	0.000e+00	5.337e-09	6.91e-07	150.6	157	-71	157	-71	157	-71	-16	32	-16	32	
01.11.2013	11:29:56	2	48		-2.526e-06	1.054e-06	-9.544e-06	0.000e+00	0.000e+00	0.000e+00	8.481e-09	6.41e-07	139.5	157	-74	157	-74	157	-74	-13	27	-13	27	
01.11.2013	11:32:24	5	50		-2.579e-06	1.543e-06	-9.191e-06	0.000e+00	0.000e+00	0.000e+00	1.770e-09	6.24e-07	135.8	149	-72	149	-72	149	-72	-19	28	-19	28	
01.11.2013	11:38:23	7	52		-2.760e-06	1.070e-06	-9.043e-06	0.000e+00	0.000e+00	0.000e+00	7.227e-09	6.14e-07	133.7	158	-72	158	-72	158	-72	-14	30	-14	30	
01.11.2013	11:40:47	2	54		-2.268e-06	9.692e-07	-8.620e-06	0.000e+00	0.000e+00	0.000e+00	5.885e-09	5.78e-07	125.9	156	-75	156	-75	156	-75	-13	27	-13	27	
01.11.2013	11:43:22	5	56		-2.174e-06	1.292e-06	-8.260e-06	0.000e+00	0.000e+00	0.000e+00	8.246e-09	5.57e-07	121.3	149	-73	149	-73	149	-73	-18	26	-18	26	
01.11.2013	11:48:50	7	58		-2.373e-06	1.110e-06	-8.436e-06	0.000e+00	0.000e+00	0.000e+00	1.145e-08	5.70e-07	124.1	154	-73	154	-73	154	-73	-15	28	-15	28	
01.11.2013	11:51:20	2	60		-2.033e-06	1.092e-06	-7.960e-06	0.000e+00	0.000e+00	0.000e+00	3.108e-09	5.35e-07	116.4	151	-74	151	-74	151	-74	-16	26	-16	26	
01.11.2013	11:53:58	5	62		-2.301e-06	1.118e-06	-7.810e-06	0.000e+00	0.000e+00	0.000e+00	5.543e-09	5.30e-07	115.4	154	-72	154	-72	154	-72	-16	29	-16	29	
01.11.2013	11:58:13	7	64		-2.447e-06	1.075e-06	-7.697e-06	0.000e+00	0.000e+00	0.000e+00	6.444e-09	5.26e-07	114.5	156	-71	156	-71	156	-71	-16	31	-16	31	
01.11.2013	12:00:47	2	66		-2.078e-06	8.591e-07	-7.331e-06	0.000e+00	0.000e+00	0.000e+00	1.273e-08	4.95e-07	107.7	157	-73	157	-73	157	-73	-14	28	-14	28	
01.11.2013	12:03:30	5	68		-1.878e-06	6.694e-07	-7.359e-06	0.000e+00	0.000e+00	0.000e+00	5.061e-09	4.92e-07	107.1	160	-75	160	-75	160	-75	-11	26	-11	26	
01.11.2013	13:42:19	7	0		-1.866e-06	6.933e-07	-7.245e-06	0.000e+00	0.000e+00	0.000e+00	7.828e-09	4.85e-07	105.5	159	-75	159	-75	159	-75	-11	26	-11	26	
01.11.2013	13:44:55	2	70		-2.311e-06	8.111e-07	-6.604e-06	0.000e+00	0.000e+00	0.000e+00	8.591e-09	4.54e-07	98.9	160	-70	160	-70	160	-70	-14	34	-14	34	
01.11.2013	13:47:41	5	72		-1.817e-06	7.351e-07	-6.650e-06	0.000e+00	0.000e+00	0.000e+00	6.210e-09	4.47e-07	97.4	157	-74	157	-74	157	-74	-13	28	-13	28	
01.11.2013	13:50:30	7	74		-1.942e-06	7.887e-07	-6.661e-06	0.000e+00	0.000e+00	0.000e+00	6.028e-09	4.51e-07	98.1	157	-73	157	-73	157	-73	-14	29	-14	29	
01.11.2013	16:51:55	2	0		-1.857e-06	6.147e-07	-6.640e-06	0.000e+00	0.000e+00	0.000e+00	1.243e-08	4.47e-07	97.2	161	-74	161	-74	161	-74	-11	28	-11	28	
01.11.2013	16:54:46	5	76		-1.904e-06	7.549e-07	-6.010e-06	0.000e+00	0.000e+00	0.000e+00	6.080e-09	4.10e-07	89.2	158	-72	158	-72	158	-72	-15	31	-15	31	
01.11.2013	16:57:38	7	78		-1.746e-06	8.353e-07	-6.282e-06	0.000e+00	0.000e+00	0.000e+00	2.299e-09	4.24e-07	92.3	154	-73	154	-73	154	-73	-15	28	-15	28	
01.11.2013	17:00:24	2	80		-1.926e-06	4.587e-07	-5.998e-06	0.000e+00	0.000e+00	0.000e+00	2.566e-09	4.08e-07	88.7	166	-72	166	-72	166	-72	-9	32	-9	32	
01.11.2013	17:06:43	5	82		-1.651e-06	5.509e-07	-5.835e-06	0.000e+00	0.000e+00	0.000e+00	6.839e-09	3.93e-07	85.5	161	-74	161	-74	161	-74	-11	29	-11	29	
01.11.2013	17:09:40	7	84		-1.530e-06	3.912e-07	-5.974e-06	0.000e+00	0.000e+00	0.000e+00	1.049e-08	3.99e-07	86.8	165	-76	165	-76	165	-76	-8	26	-8	26	
01.11.2013	17:12:31	2	86		-1.382e-06	7.780e-07	-5.565e-06	0.000e+00	0.000e+00	0.000e+00	3.030e-09	3.73e-07	81.3	150	-75	150	-75	150	-75	-16	25	-16	25	
01.11.2013	17:20:05	5	88		-1.266e-06	2.903e-07	-5.915e-06	0.000e+00	0.000e+00	0.000e+00	7.976e-09	3.91e-07	85.1	167	-78	167	-78	167	-78	-6	23	-6	23	
01.11.2013	17:23:07	7	90		-1.467e-06	6.107e-07	-5.813e-06	0.000e+00	0.000e+00	0.000e+00	4.571e-09	3.89e-07	84.7	157	-75	157	-75	157	-75	-12	26	-12	26	
01.11.2013	17:26:05	2	92		-1.214e-06	2.301e-07	-5.252e-06	0.000e+00	0.000e+00	0.000e+00	3.153e-09	3.48e-07	75.8	169	-77	169	-77	169	-77	-6	24	-6	24	
01.11.2013	17:29:12	5	94		-1.295e-06	7.226e-07	-4.902e-06	0.000e+00	0.000e+00	0.000e+00	4.658e-09	3.30e-07	71.9	150	-74	150	-74	150	-74	-17	26	-17	26	
01.11.2013	17:32:21	7	96		-1.569e-06	3.655e-07	-5.228e-06	0.000e+00	0.000e+00	0.000e+00	8.840e-09	3.53e-07	76.8	166	-73	166	-73	166	-73	-8	30	-8	30	
01.11.2013	17:38:42	2	98		-1.534e-06	7.891e-08	-4.821e-06	0.000e+00	0.000e+00	0.000e+00	6.091e-09	3.26e-07	71.1	177	-73	177	-73	177	-73	-2	32	-2	32	
01.11.2013	17:41:56	5	100		-9.330e-07	5.791e-07	-5.123e-06	0.000e+00	0.000e+00	0.000e+00	1.265e-08	3.38e-07	73.6	148	-78	148	-78	148	-78	-13	19	-13	19	
01.11.2013	17:45:10	7	102		-1.464e-06	7.663e-07	-4.896e-06	0.000e+00	0.000e+00	0.000e+00	6.493e-09	3.33e-07	72.6	152	-72	152	-72	152	-72	-18	29	-18	29	
01.11.2013	17:48:19	2	104		-1.297e-06	1.846e-07	-4.427e-06	0.000e+00	0.000e+00	0.000e+00	7.537e-09	2.98e-07	64.9	171	-74	171	-74	171	-74	-5	30	-5	30	
01.11.2013	17:51:38	5	106		-1.177e-06	2.830e-07	-4.537e-06	0.000e+00	0.000e+00	0.000e+00	7.458e-09	3.03e-07	66.0	166	-76	166	-76	166	-76	-8	27	-8	27	
01.11.2013	17:58:01	7	108		-1.220e-06	5.751e-07	-4.503e-06	0.000e+00	0.000e+00	0.000e+00	3.827e-09	3.03e-07	66.0	154	-74	154	-74	154	-74	-15	27	-15	27	
01.11.2013	18:01:16	2	110		-1.156e-06	2.969e-07	-4.185e-06	0.000e+00	0.000e+00	0.000e+00	5.091e-09	2.81e-07	61.1	165	-75	165	-75	165	-75	-9	28	-9	28	
01.11.2013	18:04:41	5	112		-1.360e-06	3.365e-07	-4.368e-06	0.000e+00	0.000e+00	0.000e+00	8.285e-09	2.96e-07	64.4	166	-73	166	-73	166	-73	-9	31	-9	31	
