tab	MAGIC_Measurements													
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_expedition_name	measurement_chi_volume	measurement_chi_qdr_volume	measurement_temp	measurement_freq	measurement_lab_field_ac	magic_instrument_codes	measurement_date	er_citation_names	magic_method_codes	magic_experiment_name
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	9.32E-06	1.28E-07	29.99965	316.723	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	9.17E-06	9.79E-08	29.99965	997.3405	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.01E-05	6.53E-08	40.00352	1.000576	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.00E-05	7.26E-08	40.00352	3.163809	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	9.96E-06	6.63E-08	40.00352	10.00747	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	9.89E-06	6.30E-08	40.00352	31.62955	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	9.86E-06	7.48E-08	40.00352	100.0534	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	9.80E-06	7.43E-08	40.00352	316.723	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	9.69E-06	1.05E-07	40.00352	997.3405	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.04E-05	9.84E-08	50.00002	1.000576	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.03E-05	1.05E-07	50.00002	3.163809	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.02E-05	9.11E-08	50.00002	10.00747	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.01E-05	8.40E-08	50.00002	31.62955	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.01E-05	7.38E-08	50.00002	100.0534	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.00E-05	7.53E-08	50.00002	316.723	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	9.98E-06	3.20E-08	50.00002	997.3405	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.08E-05	1.65E-07	59.99688	1.000576	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.06E-05	1.59E-07	59.99688	3.163809	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.05E-05	1.33E-07	59.99688	10.00747	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.04E-05	1.26E-07	59.99688	31.62955	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.04E-05	1.04E-07	59.99688	100.0534	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.03E-05	1.02E-07	59.99688	316.723	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.02E-05	6.07E-08	59.99688	997.3405	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.13E-05	2.79E-07	69.99519	1.000576	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.11E-05	2.49E-07	69.99519	3.163809	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.09E-05	2.10E-07	69.99519	10.00747	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.08E-05	1.87E-07	69.99519	31.62955	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.06E-05	1.54E-07	69.99519	100.0534	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
CS914.001	CS914	CS914	"Yucca Mountain, NV, west flank, Topopah Springs SW"	Charley Schlinger Tiva Canyon	1.05E-05	1.27E-07	69.99519	316.723	0.0003	IRM-OldBlue	2006:03:20:08:53:33	This study	LP-X:LP-X-T:LP-X-F:LP-X-H	IRM-OldBlue-1892
