Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Area
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	354.73	83.52	354.73	83.52	354.73	83.52	2.9611E-6	NA	0.00	90.00	0.00	0.00	5.9119E-6	-3.8306E-7	7.3967E-5	6.1591E-6	-5.4041E-7	7.3907E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.16	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	268.12	88.74	268.12	88.74	268.12	88.74	3.1114E-6	NA	0.00	90.00	0.00	0.00	-2.8934E-7	-1.0409E-6	7.8200E-5	-4.1480E-8	-1.2019E-6	7.8139E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.17	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	180.48	85.41	180.48	85.41	180.48	85.41	3.3000E-6	NA	0.00	90.00	0.00	0.00	-5.1398E-6	1.2140E-7	8.2690E-5	-4.8916E-6	-3.9160E-8	8.2629E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.18	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	161.11	82.79	161.11	82.79	161.11	82.79	3.5255E-6	NA	0.00	90.00	0.00	0.00	-8.0036E-6	2.6871E-6	8.7920E-5	-7.7540E-6	2.5255E-6	8.7858E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.19	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	147.17	81.59	147.17	81.59	147.17	81.59	3.7252E-6	NA	0.00	90.00	0.00	0.00	-8.7220E-6	5.3592E-6	9.2634E-5	-8.4725E-6	5.2012E-6	9.2571E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.20	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	134.26	81.21	134.26	81.21	134.26	81.21	3.8857E-6	NA	0.00	90.00	0.00	0.00	-7.9200E-6	7.6447E-6	9.6523E-5	-7.6718E-6	7.4917E-6	9.6462E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.21	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	121.92	81.47	121.92	81.47	121.92	81.47	3.9768E-6	NA	0.00	90.00	0.00	0.00	-6.0211E-6	8.9737E-6	9.8852E-5	-5.7746E-6	8.8227E-6	9.8792E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.22	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	107.78	81.84	107.78	81.84	107.78	81.84	3.9950E-6	NA	0.00	90.00	0.00	0.00	-3.4530E-6	9.6615E-6	9.9395E-5	-3.2069E-6	9.5134E-6	9.9337E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.23	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	90.11	82.10	90.11	82.10	90.11	82.10	3.9532E-6	NA	0.00	90.00	0.00	0.00	-2.6588E-7	9.7241E-6	9.8419E-5	-1.9720E-8	9.5728E-6	9.8363E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.24	NA	NA	NA	4.00
MD06-2987_1	SAMPLE/CONTINUOUS	None	0	0	0	NA	69.47	81.36	69.47	81.36	69.47	81.36	3.8879E-6	NA	0.00	90.00	0.00	0.00	3.5438E-6	9.7882E-6	9.6611E-5	3.7903E-6	9.6316E-6	9.6556E-5	0.0000E+0	0.0000E+0	0.0000E+0	0.25	NA	NA	NA	4.00
