tab	specimens
specimen	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_k	dir_k_ratio	dir_n_comps	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lithologies	description	scientists	int_rel	citations	method_codes	result_quality	result_type	specimen_alternatives	volume	weight
17-1-075	17-1-075															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2859.0	1e-06	0.0017059999999999998
17-1-075	17-1-075					15.5	-53.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002339	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-079	17-1-079															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2860.0	1e-06	0.001547
17-1-079	17-1-079					11.1	-49.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0028420000000000003	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-081	17-1-081															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2861.0	1e-06	0.0016
17-1-081	17-1-081					5.5	-53.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002837	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-085	17-1-085					357.1	-56.1									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002916	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-085	17-1-085															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2862.0	1e-06	0.001332
17-1-087	17-1-087															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2863.0	1e-06	0.001666
17-1-087	17-1-087					3.9	-55.4									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002397	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-091	17-1-091					348.7	-57.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001497	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-091	17-1-091															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2864.0	1e-06	0.001524
17-1-094	17-1-094															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2865.0	1e-06	0.001591
17-1-094	17-1-094					346.9	-47.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001199	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-097	17-1-097					354.8	-53.6									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0011300000000000001	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-097	17-1-097															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2866.0	1e-06	0.0017989999999999996
17-1-100	17-1-100					1.1	-59.2									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001667	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-100	17-1-100															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2867.0	1e-06	0.001674
17-1-103	17-1-103															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2868.0	1e-06	0.0015689999999999999
17-1-103	17-1-103					14.9	-56.1									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0018	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-107	17-1-107															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2869.0	1e-06	0.0017519999999999999
17-1-107	17-1-107					9.2	-53.4									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001598	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-110	17-1-110					8.5	-58.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001749	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-110	17-1-110															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2870.0	1e-06	0.0014269999999999999
17-1-113	17-1-113															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2871.0	1e-06	0.001718
17-1-113	17-1-113					15.7	-46.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001546	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-116	17-1-116															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2872.0	1e-06	0.001527
17-1-116	17-1-116					7.9	-56.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0016579999999999998	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-119	17-1-119															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2873.0	1e-06	0.001468
17-1-119	17-1-119					9.7	-61.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001489	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-123	17-1-123					2.9	-62.4									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001438	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-123	17-1-123															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2874.0	1e-06	0.0014
17-1-125	17-1-125					10.4	-51.6									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002009	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-125	17-1-125															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2875.0	1e-06	0.001158
17-1-128	17-1-128															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2876.0	1e-06	0.001509
17-1-128	17-1-128					25.1	-60.8									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0020039999999999997	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-131	17-1-131															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2877.0	1e-06	0.0013310000000000002
17-1-131	17-1-131					11.5	-60.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002288	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-134	17-1-134					21.3	-62.8									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002588	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-134	17-1-134															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2878.0	1e-06	0.001255
17-1-137	17-1-137															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2879.0	1e-06	0.001538
17-1-137	17-1-137					12.2	-53.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0018620000000000002	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-141	17-1-141															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2880.0	1e-06	0.001484
17-1-141	17-1-141					8.6	-49.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001698	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-144	17-1-144					20.2	-54.4									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002097	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-144	17-1-144															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2881.0	1e-06	0.0015140000000000002
17-1-147	17-1-147															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2882.0	1e-06	0.0016870000000000001
17-1-147	17-1-147					25.6	-49.1									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002216	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-150	17-1-150					31.3	-52.2									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002327	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-1-150	17-1-150															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2883.0	1e-06	0.001721
17-2-004	17-2-004															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2885.0	1e-06	0.001623
17-2-004	17-2-004					18.3	-48.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0010609999999999999	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-008	17-2-008															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2886.0	1e-06	0.001348
17-2-008	17-2-008					12.8	-39.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0016120000000000002	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-011	17-2-011					24.4	-60.1									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0017010000000000007	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-011	17-2-011															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2887.0	1e-06	0.001667
17-2-013	17-2-013					27.6	-54.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001819	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-013	17-2-013															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2888.0	1e-06	0.001463
17-2-017	17-2-017															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2889.0	1e-06	0.001314
17-2-017	17-2-017					2.1	-55.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001583	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-020	17-2-020															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2890.0	1e-06	0.001348
17-2-020	17-2-020					15.6	-51.6									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002196	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-024	17-2-024															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2891.0	1e-06	0.00112
17-2-024	17-2-024					3.9	-53.6									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0019370000000000001	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-027	17-2-027															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2892.0	1e-06	0.0016420000000000002
17-2-027	17-2-027					20.9	-46.4									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001628	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-030	17-2-030															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2893.0	1e-06	0.001756
17-2-030	17-2-030					17.8	-54.4									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.00116	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-033	17-2-033															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2894.0	1e-06	0.001558
17-2-033	17-2-033					115.6	58.1									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.00041769999999999996	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-037	17-2-037					177.7	51.2									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002027	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-037	17-2-037															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2895.0	1e-06	0.00134
17-2-040	17-2-040					185.4	46.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0019579999999999997	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-040	17-2-040															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2896.0	1e-06	0.001734
17-2-043	17-2-043															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2897.0	1e-06	0.001645
17-2-043	17-2-043					192.5	50.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001697	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-046	17-2-046					189.8	37.6									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0016420000000000002	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-046	17-2-046															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2898.0	1e-06	0.001559
17-2-049	17-2-049					184.7	52.6									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.00116	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-049	17-2-049															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2899.0	1e-06	0.0016300000000000002
17-2-052	17-2-052					177.9	36.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0007939	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-052	17-2-052															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2900.0	1e-06	0.0015689999999999999
17-2-056	17-2-056															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2901.0	1e-06	0.0015970000000000001
17-2-056	17-2-056					171.5	62.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0007882999999999999	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-059	17-2-059					185.6	61.4									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0008932	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-059	17-2-059															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2902.0	1e-06	0.001805
17-2-063	17-2-063					184.9	48.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001242	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-063	17-2-063															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2903.0	1e-06	0.000872
17-2-066	17-2-066					185.7	51.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.003085	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-066	17-2-066															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2904.0	1e-06	0.001507
17-2-070	17-2-070					157.7	46.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001192	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-070	17-2-070															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2905.0	1e-06	0.001748
17-2-073	17-2-073					189.9	51.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001713	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-073	17-2-073															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2906.0	1e-06	0.0019039999999999999
17-2-076	17-2-076															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2907.0	1e-06	0.001861
17-2-076	17-2-076					180.0	57.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.00156	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-080	17-2-080															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2908.0	1e-06	0.0016170000000000002
17-2-080	17-2-080					188.1	54.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002079	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-083	17-2-083															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2909.0	1e-06	0.001795
17-2-083	17-2-083					184.3	46.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0016640000000000001	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-086	17-2-086															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2910.0	1e-06	0.001474
17-2-086	17-2-086					180.2	60.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001737	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-090	17-2-090															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2911.0	1e-06	0.001284
17-2-090	17-2-090					170.8	41.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001384	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-094	17-2-094															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2912.0	1e-06	0.00151
17-2-094	17-2-094					174.3	39.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0018149999999999998	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-097	17-2-097					185.5	48.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001668	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-097	17-2-097															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2913.0	1e-06	0.0015400000000000001
17-2-099	17-2-099					179.7	35.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002264	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-099	17-2-099															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2914.0	1e-06	0.001633
17-2-103	17-2-103					182.3	59.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002687	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-103	17-2-103															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2915.0	1e-06	0.001556
17-2-106	17-2-106															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2916.0	1e-06	0.0016129999999999999
17-2-106	17-2-106					175.4	37.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0023989999999999997	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-109	17-2-109					190.1	59.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002719	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-109	17-2-109															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2917.0	1e-06	0.001795
17-2-112	17-2-112					179.7	45.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002796	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-112	17-2-112															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2918.0	1e-06	0.00168
17-2-115	17-2-115					183.7	63.2									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0022890000000000002	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-115	17-2-115															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2919.0	1e-06	0.001663
17-2-118	17-2-118															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2920.0	1e-06	0.0018059999999999999
17-2-118	17-2-118					179.5	59.4									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001441	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-122	17-2-122															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2921.0	1e-06	0.001508
17-2-122	17-2-122					182.9	50.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001123	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-125	17-2-125															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2922.0	1e-06	0.001431
17-2-125	17-2-125					178.0	59.8									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0013460000000000002	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-128	17-2-128					181.0	62.2									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002508	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-128	17-2-128															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2923.0	1e-06	0.001355
17-2-131	17-2-131															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	2924.0	1e-06	0.0015199999999999999
17-2-131	17-2-131					173.1	39.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.00141	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
17-2-134	17-2-134					187.6	41.2									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001726	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
