tab	specimens
specimen	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_k	dir_k_ratio	dir_n_comps	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lithologies	description	scientists	int_rel	citations	method_codes	result_quality	result_type	specimen_alternatives	volume	weight
15-1-063	15-1-063					347.6	-41.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0019920000000000003	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-063	15-1-063															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3125.0	1e-06	0.0015810000000000002
15-1-066	15-1-066					359.7	-51.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002136	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-066	15-1-066															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3126.0	1e-06	0.0016420000000000002
15-1-069	15-1-069					359.1	-52.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001875	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-069	15-1-069															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3127.0	1e-06	0.001718
15-1-072	15-1-072															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3128.0	1e-06	0.001535
15-1-072	15-1-072					347.5	-39.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0018390000000000001	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-075	15-1-075					347.3	-37.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0017519999999999999	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-075	15-1-075															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3129.0	1e-06	0.001585
15-1-079	15-1-079															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3130.0	1e-06	0.001338
15-1-079	15-1-079					359.5	-50.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0016120000000000002	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-082	15-1-082															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3131.0	1e-06	0.001627
15-1-082	15-1-082					13.7	-50.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0016170000000000002	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-085	15-1-085					1.8	-45.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001604	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-085	15-1-085															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3132.0	1e-06	0.0013650000000000001
15-1-088	15-1-088					9.7	-44.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.002096	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-088	15-1-088															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3133.0	1e-06	0.0014759999999999999
15-1-091	15-1-091					4.8	-45.0									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0018239999999999999	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-091	15-1-091															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3134.0	1e-06	0.0017420000000000005
15-1-094	15-1-094					11.9	-48.8									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0018510000000000002	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-094	15-1-094															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3135.0	1e-06	0.00147
15-1-097	15-1-097					357.1	-30.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001716	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-097	15-1-097															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3136.0	1e-06	0.001541
15-1-100	15-1-100					16.4	-47.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0019440000000000002	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-100	15-1-100															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3137.0	1e-06	0.001419
15-1-103	15-1-103					17.6	-32.3									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0013859999999999999	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-103	15-1-103															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3138.0	1e-06	0.001842
15-1-106	15-1-106															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3139.0	1e-06	0.001754
15-1-106	15-1-106					7.6	-10.5									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.000524	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-109	15-1-109															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3140.0	1e-06	0.0019440000000000002
15-1-109	15-1-109					15.7	22.6									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0004396	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-113	15-1-113															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3141.0	1e-06	0.0017170000000000002
15-1-113	15-1-113					56.8	72.8									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0005959	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
