tab	samples
citations	location	sample	site	method_codes	sample_core_depth
This study	DSDP Site 522	19-3-030	19-3-030	FS-C-DRILL-IODP:SP-SS-C:SO-V	75.99
This study	DSDP Site 522	19-3-034	19-3-034	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.04
This study	DSDP Site 522	19-3-038	19-3-038	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.07
This study	DSDP Site 522	19-3-041	19-3-041	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.11
This study	DSDP Site 522	19-3-044	19-3-044	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.14
This study	DSDP Site 522	19-3-046	19-3-046	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.16
This study	DSDP Site 522	19-3-050	19-3-050	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.2
This study	DSDP Site 522	19-3-053	19-3-053	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.23
This study	DSDP Site 522	19-3-058	19-3-058	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.28
This study	DSDP Site 522	19-3-060	19-3-060	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.3
This study	DSDP Site 522	19-3-063	19-3-063	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.33
This study	DSDP Site 522	19-3-066	19-3-066	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.36
This study	DSDP Site 522	19-3-070	19-3-070	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.39
This study	DSDP Site 522	19-3-072	19-3-072	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.42
This study	DSDP Site 522	19-3-076	19-3-076	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.46
This study	DSDP Site 522	19-3-080	19-3-080	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.49
This study	DSDP Site 522	19-3-083	19-3-083	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.53
This study	DSDP Site 522	19-3-086	19-3-086	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.55
This study	DSDP Site 522	19-3-092	19-3-092	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.61
This study	DSDP Site 522	19-3-095	19-3-095	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.64
This study	DSDP Site 522	19-3-098	19-3-098	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.67
This study	DSDP Site 522	19-3-101	19-3-101	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.71
This study	DSDP Site 522	19-3-104	19-3-104	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.74
This study	DSDP Site 522	19-3-108	19-3-108	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.77
This study	DSDP Site 522	19-3-111	19-3-111	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.8
This study	DSDP Site 522	19-3-114	19-3-114	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.83
This study	DSDP Site 522	19-3-117	19-3-117	FS-C-DRILL-IODP:SP-SS-C:SO-V	76.87
This study	DSDP Site 522	20-1-012	20-1-012	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.42
This study	DSDP Site 522	20-1-015	20-1-015	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.45
This study	DSDP Site 522	20-1-017	20-1-017	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.47
This study	DSDP Site 522	20-1-020	20-1-020	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.5
This study	DSDP Site 522	20-1-024	20-1-024	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.53
This study	DSDP Site 522	20-1-028	20-1-028	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.57
This study	DSDP Site 522	20-1-031	20-1-031	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.6
This study	DSDP Site 522	20-1-035	20-1-035	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.64
This study	DSDP Site 522	20-1-039	20-1-039	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.68
This study	DSDP Site 522	20-1-043	20-1-043	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.72
This study	DSDP Site 522	20-1-045	20-1-045	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.74
This study	DSDP Site 522	20-1-049	20-1-049	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.79
This study	DSDP Site 522	20-1-051	20-1-051	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.81
This study	DSDP Site 522	20-1-055	20-1-055	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.85
This study	DSDP Site 522	20-1-059	20-1-059	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.88
This study	DSDP Site 522	20-1-062	20-1-062	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.92
This study	DSDP Site 522	20-1-065	20-1-065	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.94
This study	DSDP Site 522	20-1-068	20-1-068	FS-C-DRILL-IODP:SP-SS-C:SO-V	77.98
This study	DSDP Site 522	20-1-071	20-1-071	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.01
This study	DSDP Site 522	20-1-075	20-1-075	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.04
This study	DSDP Site 522	20-1-080	20-1-080	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.09
This study	DSDP Site 522	20-1-083	20-1-083	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.12
This study	DSDP Site 522	20-1-086	20-1-086	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.15
This study	DSDP Site 522	20-1-089	20-1-089	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.18
This study	DSDP Site 522	20-1-091	20-1-091	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.21
This study	DSDP Site 522	20-1-095	20-1-095	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.24
This study	DSDP Site 522	20-1-098	20-1-098	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.28
This study	DSDP Site 522	20-1-103	20-1-103	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.32
This study	DSDP Site 522	20-1-105	20-1-105	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.35
This study	DSDP Site 522	20-1-109	20-1-109	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.39
This study	DSDP Site 522	20-1-112	20-1-112	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.42
This study	DSDP Site 522	20-1-116	20-1-116	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.45
This study	DSDP Site 522	20-1-119	20-1-119	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.48
This study	DSDP Site 522	20-1-122	20-1-122	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.52
This study	DSDP Site 522	20-1-125	20-1-125	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.54
This study	DSDP Site 522	20-1-129	20-1-129	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.58
This study	DSDP Site 522	20-1-132	20-1-132	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.61
This study	DSDP Site 522	20-1-135	20-1-135	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.64
This study	DSDP Site 522	20-1-138	20-1-138	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.67
This study	DSDP Site 522	20-1-142	20-1-142	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.71
This study	DSDP Site 522	20-1-144	20-1-144	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.74
This study	DSDP Site 522	20-1-150	20-1-150	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.79
This study	DSDP Site 522	20-2-001	20-2-001	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.81
This study	DSDP Site 522	20-2-004	20-2-004	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.84
This study	DSDP Site 522	20-2-007	20-2-007	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.87
This study	DSDP Site 522	20-2-010	20-2-010	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.9
This study	DSDP Site 522	20-2-015	20-2-015	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.94
This study	DSDP Site 522	20-2-018	20-2-018	FS-C-DRILL-IODP:SP-SS-C:SO-V	78.97
This study	DSDP Site 522	20-2-022	20-2-022	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.01
This study	DSDP Site 522	20-2-025	20-2-025	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.04
This study	DSDP Site 522	20-2-028	20-2-028	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.08
This study	DSDP Site 522	20-2-032	20-2-032	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.12
This study	DSDP Site 522	20-2-035	20-2-035	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.15
This study	DSDP Site 522	20-2-040	20-2-040	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.19
This study	DSDP Site 522	20-2-043	20-2-043	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.23
This study	DSDP Site 522	20-2-047	20-2-047	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.27
This study	DSDP Site 522	20-2-054	20-2-054	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.33
This study	DSDP Site 522	20-2-057	20-2-057	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.37
This study	DSDP Site 522	20-2-060	20-2-060	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.39
This study	DSDP Site 522	20-2-064	20-2-064	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.43
This study	DSDP Site 522	20-2-066	20-2-066	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.46
This study	DSDP Site 522	20-2-069	20-2-069	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.49
This study	DSDP Site 522	20-2-073	20-2-073	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.52
This study	DSDP Site 522	20-2-076	20-2-076	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.55
This study	DSDP Site 522	20-2-078	20-2-078	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.58
This study	DSDP Site 522	20-2-084	20-2-084	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.63
This study	DSDP Site 522	20-2-087	20-2-087	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.66
This study	DSDP Site 522	20-2-090	20-2-090	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.69
This study	DSDP Site 522	20-2-092	20-2-092	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.72
This study	DSDP Site 522	20-2-096	20-2-096	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.75
This study	DSDP Site 522	20-2-099	20-2-099	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.78
This study	DSDP Site 522	20-2-102	20-2-102	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.81
This study	DSDP Site 522	20-2-104	20-2-104	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.83
This study	DSDP Site 522	20-2-107	20-2-107	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.86
This study	DSDP Site 522	20-2-110	20-2-110	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.89
This study	DSDP Site 522	20-2-113	20-2-113	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.93
This study	DSDP Site 522	20-2-115	20-2-115	FS-C-DRILL-IODP:SP-SS-C:SO-V	79.95
This study	DSDP Site 522	21-1-025	21-1-025	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.54
This study	DSDP Site 522	21-1-029	21-1-029	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.59
This study	DSDP Site 522	21-1-031	21-1-031	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.61
This study	DSDP Site 522	21-1-035	21-1-035	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.64
This study	DSDP Site 522	21-1-038	21-1-038	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.68
This study	DSDP Site 522	21-1-042	21-1-042	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.71
This study	DSDP Site 522	21-1-045	21-1-045	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.74
This study	DSDP Site 522	21-1-048	21-1-048	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.77
This study	DSDP Site 522	21-1-051	21-1-051	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.81
This study	DSDP Site 522	21-1-054	21-1-054	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.84
This study	DSDP Site 522	21-1-057	21-1-057	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.86
This study	DSDP Site 522	21-1-059	21-1-059	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.89
This study	DSDP Site 522	21-1-063	21-1-063	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.92
This study	DSDP Site 522	21-1-066	21-1-066	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.95
This study	DSDP Site 522	21-1-069	21-1-069	FS-C-DRILL-IODP:SP-SS-C:SO-V	81.98
This study	DSDP Site 522	21-1-071	21-1-071	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.01
This study	DSDP Site 522	21-1-074	21-1-074	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.04
This study	DSDP Site 522	21-1-077	21-1-077	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.07
This study	DSDP Site 522	21-1-081	21-1-081	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.1
This study	DSDP Site 522	21-1-084	21-1-084	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.13
This study	DSDP Site 522	21-1-090	21-1-090	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.2
This study	DSDP Site 522	21-1-094	21-1-094	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.23
This study	DSDP Site 522	21-1-096	21-1-096	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.26
This study	DSDP Site 522	21-1-100	21-1-100	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.3
This study	DSDP Site 522	21-1-103	21-1-103	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.32
This study	DSDP Site 522	21-1-106	21-1-106	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.35
This study	DSDP Site 522	21-1-108	21-1-108	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.38
This study	DSDP Site 522	21-1-113	21-1-113	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.42
This study	DSDP Site 522	21-1-115	21-1-115	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.45
This study	DSDP Site 522	21-1-118	21-1-118	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.47
This study	DSDP Site 522	21-1-122	21-1-122	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.51
This study	DSDP Site 522	21-1-124	21-1-124	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.54
This study	DSDP Site 522	21-1-127	21-1-127	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.56
This study	DSDP Site 522	21-1-131	21-1-131	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.61
This study	DSDP Site 522	21-1-134	21-1-134	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.63
This study	DSDP Site 522	21-1-138	21-1-138	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.68
This study	DSDP Site 522	21-1-142	21-1-142	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.71
This study	DSDP Site 522	21-1-145	21-1-145	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.74
This study	DSDP Site 522	21-1-148	21-1-148	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.77
This study	DSDP Site 522	21-2-001	21-2-001	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.81
This study	DSDP Site 522	21-2-008	21-2-008	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.87
This study	DSDP Site 522	21-2-011	21-2-011	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.91
This study	DSDP Site 522	21-2-014	21-2-014	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.93
This study	DSDP Site 522	21-2-016	21-2-016	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.96
This study	DSDP Site 522	21-2-021	21-2-021	FS-C-DRILL-IODP:SP-SS-C:SO-V	83
This study	DSDP Site 522	21-2-023	21-2-023	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.03
This study	DSDP Site 522	21-2-026	21-2-026	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.06
This study	DSDP Site 522	21-2-029	21-2-029	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.08
This study	DSDP Site 522	21-2-032	21-2-032	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.12
This study	DSDP Site 522	21-2-035	21-2-035	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.15
This study	DSDP Site 522	21-2-040	21-2-040	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.19
This study	DSDP Site 522	21-2-044	21-2-044	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.23
This study	DSDP Site 522	21-2-047	21-2-047	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.26
This study	DSDP Site 522	21-2-051	21-2-051	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.31
This study	DSDP Site 522	21-2-055	21-2-055	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.34
This study	DSDP Site 522	21-2-057	21-2-057	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.37
This study	DSDP Site 522	21-2-061	21-2-061	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.4
This study	DSDP Site 522	21-2-063	21-2-063	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.42
This study	DSDP Site 522	21-2-066	21-2-066	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.46
This study	DSDP Site 522	21-2-069	21-2-069	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.49
This study	DSDP Site 522	21-2-073	21-2-073	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.53
This study	DSDP Site 522	21-2-077	21-2-077	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.56
This study	DSDP Site 522	21-2-080	21-2-080	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.59
This study	DSDP Site 522	21-2-083	21-2-083	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.62
This study	DSDP Site 522	21-2-086	21-2-086	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.66
This study	DSDP Site 522	21-2-089	21-2-089	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.69
This study	DSDP Site 522	21-2-093	21-2-093	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.73
This study	DSDP Site 522	21-2-097	21-2-097	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.76
This study	DSDP Site 522	21-2-100	21-2-100	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.79
This study	DSDP Site 522	21-2-104	21-2-104	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.83
This study	DSDP Site 522	21-2-107	21-2-107	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.87
This study	DSDP Site 522	21-2-111	21-2-111	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.9
This study	DSDP Site 522	21-2-113	21-2-113	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.93
This study	DSDP Site 522	21-2-116	21-2-116	FS-C-DRILL-IODP:SP-SS-C:SO-V	83.96
This study	DSDP Site 522	21-2-123	21-2-123	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.02
This study	DSDP Site 522	21-2-125	21-2-125	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.05
This study	DSDP Site 522	21-2-129	21-2-129	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.08
This study	DSDP Site 522	21-2-133	21-2-133	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.13
This study	DSDP Site 522	21-2-136	21-2-136	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.16
This study	DSDP Site 522	21-2-139	21-2-139	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.19
This study	DSDP Site 522	21-2-143	21-2-143	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.22
This study	DSDP Site 522	21-2-146	21-2-146	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.25
This study	DSDP Site 522	21-2-149	21-2-149	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.29
This study	DSDP Site 522	21-2-150	21-2-150	FS-C-DRILL-IODP:SP-SS-C:SO-V	82.8
This study	DSDP Site 522	21-3-001	21-3-001	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.31
This study	DSDP Site 522	21-3-005	21-3-005	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.35
This study	DSDP Site 522	21-3-008	21-3-008	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.38
This study	DSDP Site 522	21-3-011	21-3-011	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.41
This study	DSDP Site 522	21-3-015	21-3-015	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.44
This study	DSDP Site 522	21-3-018	21-3-018	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.47
This study	DSDP Site 522	21-3-021	21-3-021	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.5
This study	DSDP Site 522	21-3-026	21-3-026	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.55
This study	DSDP Site 522	21-3-029	21-3-029	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.59
This study	DSDP Site 522	21-3-033	21-3-033	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.63
This study	DSDP Site 522	21-3-036	21-3-036	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.65
This study	DSDP Site 522	21-3-038	21-3-038	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.68
This study	DSDP Site 522	21-3-043	21-3-043	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.72
This study	DSDP Site 522	21-3-046	21-3-046	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.75
This study	DSDP Site 522	21-3-048	21-3-048	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.78
This study	DSDP Site 522	21-3-051	21-3-051	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.81
This study	DSDP Site 522	21-3-055	21-3-055	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.84
This study	DSDP Site 522	21-3-058	21-3-058	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.88
This study	DSDP Site 522	21-3-061	21-3-061	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.9
This study	DSDP Site 522	21-3-064	21-3-064	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.93
This study	DSDP Site 522	21-3-067	21-3-067	FS-C-DRILL-IODP:SP-SS-C:SO-V	84.96
This study	DSDP Site 522	21-3-071	21-3-071	FS-C-DRILL-IODP:SP-SS-C:SO-V	85
This study	DSDP Site 522	21-3-074	21-3-074	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.03
This study	DSDP Site 522	21-3-077	21-3-077	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.06
This study	DSDP Site 522	21-3-079	21-3-079	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.08
This study	DSDP Site 522	21-3-083	21-3-083	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.13
This study	DSDP Site 522	21-3-086	21-3-086	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.16
This study	DSDP Site 522	21-3-089	21-3-089	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.19
This study	DSDP Site 522	21-3-092	21-3-092	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.22
This study	DSDP Site 522	21-3-096	21-3-096	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.25
This study	DSDP Site 522	21-3-100	21-3-100	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.29
This study	DSDP Site 522	21-3-103	21-3-103	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.33
This study	DSDP Site 522	21-3-106	21-3-106	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.35
This study	DSDP Site 522	21-3-109	21-3-109	FS-C-DRILL-IODP:SP-SS-C:SO-V	85.39
This study	DSDP Site 522	22-1-045	22-1-045	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.15
This study	DSDP Site 522	22-1-051	22-1-051	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.2
This study	DSDP Site 522	22-1-054	22-1-054	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.23
This study	DSDP Site 522	22-1-061	22-1-061	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.3
This study	DSDP Site 522	22-1-064	22-1-064	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.34
This study	DSDP Site 522	22-1-068	22-1-068	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.38
This study	DSDP Site 522	22-1-071	22-1-071	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.4
This study	DSDP Site 522	22-1-074	22-1-074	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.43
This study	DSDP Site 522	22-1-077	22-1-077	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.47
This study	DSDP Site 522	22-1-081	22-1-081	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.5
This study	DSDP Site 522	22-1-084	22-1-084	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.53
This study	DSDP Site 522	22-1-086	22-1-086	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.56
This study	DSDP Site 522	22-1-090	22-1-090	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.59
This study	DSDP Site 522	22-1-093	22-1-093	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.62
This study	DSDP Site 522	22-1-095	22-1-095	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.65
This study	DSDP Site 522	22-1-100	22-1-100	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.7
This study	DSDP Site 522	22-1-103	22-1-103	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.72
This study	DSDP Site 522	22-1-106	22-1-106	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.76
This study	DSDP Site 522	22-1-109	22-1-109	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.79
This study	DSDP Site 522	22-1-112	22-1-112	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.82
This study	DSDP Site 522	22-1-115	22-1-115	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.85
This study	DSDP Site 522	22-1-118	22-1-118	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.88
This study	DSDP Site 522	22-1-121	22-1-121	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.91
This study	DSDP Site 522	22-1-124	22-1-124	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.94
This study	DSDP Site 522	22-1-127	22-1-127	FS-C-DRILL-IODP:SP-SS-C:SO-V	86.97
This study	DSDP Site 522	22-1-132	22-1-132	FS-C-DRILL-IODP:SP-SS-C:SO-V	87.02
This study	DSDP Site 522	22-1-135	22-1-135	FS-C-DRILL-IODP:SP-SS-C:SO-V	87.04
This study	DSDP Site 522	22-1-137	22-1-137	FS-C-DRILL-IODP:SP-SS-C:SO-V	87.07
This study	DSDP Site 522	22-1-141	22-1-141	FS-C-DRILL-IODP:SP-SS-C:SO-V	87.1
This study	DSDP Site 522	22-1-144	22-1-144	FS-C-DRILL-IODP:SP-SS-C:SO-V	87.13
This study	DSDP Site 522	22-1-147	22-1-147	FS-C-DRILL-IODP:SP-SS-C:SO-V	87.16
This study	DSDP Site 522	22-1-150	22-1-150	FS-C-DRILL-IODP:SP-SS-C:SO-V	87.2
