tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	magic_method_codes	specimen_alteration	specimen_alteration_type	specimen_azimuth	specimen_class	specimen_dip	specimen_lithology	specimen_type
This study	Nading Co	07ND124	Peter C. Lippert	NDC-14	07ND124a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	269.53	Extrusive : Igneous : Subaerial	43	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND125	Peter C. Lippert	NDC-14	07ND125a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	260.63	Extrusive : Igneous : Subaerial	52	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND126	Peter C. Lippert	NDC-14	07ND126a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	268.33	Extrusive : Igneous : Subaerial	40	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND127	Peter C. Lippert	NDC-14	07ND127a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	274.73	Extrusive : Igneous : Subaerial	32	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND128	Peter C. Lippert	NDC-14	07ND128a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	287.53	Extrusive : Igneous : Subaerial	31	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND129	Peter C. Lippert	NDC-15	07ND129a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	315.43	Extrusive : Igneous : Subaerial	45	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND130	Peter C. Lippert	NDC-15	07ND130a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	311.53	Extrusive : Igneous : Subaerial	45	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND131	Peter C. Lippert	NDC-15	07ND131a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	270.63	Extrusive : Igneous : Subaerial	42	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND132	Peter C. Lippert	NDC-15	07ND132a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	310.53	Extrusive : Igneous : Subaerial	33	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND133	Peter C. Lippert	NDC-15	07ND133a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	298.53	Extrusive : Igneous : Subaerial	32	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND134	Peter C. Lippert	NDC-15	07ND134a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	302.53	Extrusive : Igneous : Subaerial	45	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND135	Peter C. Lippert	NDC-15	07ND135a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	300.53	Extrusive : Igneous : Subaerial	39	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND136	Peter C. Lippert	NDC-15	07ND136a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	313.53	Extrusive : Igneous : Subaerial	42	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND136	Peter C. Lippert	NDC-15	07ND136b	LP-DC4:LP-DIR-T	Unaltered	Weathering	313.53	Extrusive : Igneous : Subaerial	42	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND137	Peter C. Lippert	NDC-16	07ND137a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	270.53	Extrusive : Igneous : Subaerial	43	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND138	Peter C. Lippert	NDC-16	07ND138a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	279.53	Extrusive : Igneous : Subaerial	45	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND139	Peter C. Lippert	NDC-16	07ND139a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	282.53	Extrusive : Igneous : Subaerial	58	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND140	Peter C. Lippert	NDC-16	07ND140a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	295.23	Extrusive : Igneous : Subaerial	65	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND141	Peter C. Lippert	NDC-16	07ND141a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	283.53	Extrusive : Igneous : Subaerial	48	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND141	Peter C. Lippert	NDC-16	07ND141b	LP-DC4:LP-DIR-T	Unaltered	Weathering	283.53	Extrusive : Igneous : Subaerial	48	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND142	Peter C. Lippert	NDC-16	07ND142a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	287.13	Extrusive : Igneous : Subaerial	52	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND143	Peter C. Lippert	NDC-16	07ND143a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	285.83	Extrusive : Igneous : Subaerial	43	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND144	Peter C. Lippert	NDC-17	07ND144a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	280.53	Extrusive : Igneous : Subaerial	33	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND145	Peter C. Lippert	NDC-17	07ND145a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	257.53	Extrusive : Igneous : Subaerial	33	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND146	Peter C. Lippert	NDC-17	07ND146a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	263.93	Extrusive : Igneous : Subaerial	35	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND147	Peter C. Lippert	NDC-17	07ND147a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	264.23	Extrusive : Igneous : Subaerial	33	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND148	Peter C. Lippert	NDC-17	07ND148a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	263.53	Extrusive : Igneous : Subaerial	36	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND149	Peter C. Lippert	NDC-17	07ND149a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	258.73	Extrusive : Igneous : Subaerial	61	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND150	Peter C. Lippert	NDC-17	07ND150a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	322.33	Extrusive : Igneous : Subaerial	31	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND151	Peter C. Lippert	NDC-17	07ND151a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	261.23	Extrusive : Igneous : Subaerial	67	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND152	Peter C. Lippert	NDC-18	07ND152a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	321.53	Extrusive : Igneous : Subaerial	52	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND153	Peter C. Lippert	NDC-18	07ND153a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	307.53	Extrusive : Igneous : Subaerial	39	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND155	Peter C. Lippert	NDC-18	07ND155a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	310.23	Extrusive : Igneous : Subaerial	34	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND156	Peter C. Lippert	NDC-18	07ND156a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	304.63	Extrusive : Igneous : Subaerial	44	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND157	Peter C. Lippert	NDC-18	07ND157a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	296.03	Extrusive : Igneous : Subaerial	42	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND158	Peter C. Lippert	NDC-18	07ND158a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	294.23	Extrusive : Igneous : Subaerial	48	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND166	Peter C. Lippert	NDC-20	07ND166a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	290.33	Extrusive : Igneous : Subaerial	44	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND167	Peter C. Lippert	NDC-20	07ND167a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	283.53	Extrusive : Igneous : Subaerial	35	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
