tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_volume	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	timestamp	magn_moment
KO_86.10_LP-DIR-AF1	KO_86.10_LP-DIR-AF	KO_86.10	0.99	147.5502427173221	-38.48765231448524	 5.000e-03	0	0.00	0.00	1	273	0.024944018955105313	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	15	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.6191219902860576e-07
KO_86.10_LP-DIR-AF2	KO_86.10_LP-DIR-AF	KO_86.10	0.99	147.419255682975	-38.58144571828329	 1.000e-02	0	0.00	0.00	2	273	0.024434650686985714	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	16	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.5656383221334996e-07
KO_86.10_LP-DIR-AF3	KO_86.10_LP-DIR-AF	KO_86.10	0.99	147.37084416428445	-37.79071923863179	 1.500e-02	0	0.00	0.00	3	273	0.023468413664099606	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	17	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.4641834347304586e-07
KO_86.10_LP-DIR-AF4	KO_86.10_LP-DIR-AF	KO_86.10	0.99	147.57546549974444	-36.81632635941175	 2.000e-02	0	0.00	0.00	4	273	0.022408898459289117	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	18	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.3529343382253572e-07
KO_86.10_LP-DIR-AF5	KO_86.10_LP-DIR-AF	KO_86.10	0.99	147.58039674335038	-36.21670993177108	 2.500e-02	0	0.00	0.00	5	273	0.021115986786299706	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	19	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.217178612561469e-07
KO_86.10_LP-DIR-AF6	KO_86.10_LP-DIR-AF	KO_86.10	0.99	147.74865157266032	-35.552973453575845	 3.000e-02	0	0.00	0.00	6	273	0.019655112482812664	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	20	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	2.0637868106953297e-07
KO_86.10_LP-DIR-AF7	KO_86.10_LP-DIR-AF	KO_86.10	0.99	148.22128023172195	-34.24553871243731	 4.000e-02	0	0.00	0.00	7	273	0.016670119370256295	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	21	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	1.7503625338769108e-07
KO_86.10_LP-DIR-AF8	KO_86.10_LP-DIR-AF	KO_86.10	0.99	151.54484914532898	-33.381189079076634	 5.000e-02	0	0.00	0.00	8	273	0.01175316042795943	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	22	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	1.23408184493574e-07
KO_86.10_LP-DIR-AF9	KO_86.10_LP-DIR-AF	KO_86.10	0.99	170.05266229798167	-31.986103425276067	 6.000e-02	0	0.00	0.00	9	273	0.006760167449522107	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	23	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	7.098175821998212e-08
KO_86.10_LP-DIR-AF10	KO_86.10_LP-DIR-AF	KO_86.10	0.99	238.023079670605	-12.251157783811928	 7.000e-02	0	0.00	0.00	10	273	0.006238575045160899	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	24	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T04:42:00Z	6.550503797418943e-08
