tab 	specimens
sample	specimen
27-1-129	27-1-129
27-1-133	27-1-133
27-1-139	27-1-139
27-1-141	27-1-141
27-1-144	27-1-144
27-1-149	27-1-149
27-2-006	27-2-006
27-2-010	27-2-010
27-2-012	27-2-012
27-2-015	27-2-015
27-2-021	27-2-021
27-2-024	27-2-024
27-2-027	27-2-027
27-2-030	27-2-030
27-2-033	27-2-033
27-2-036	27-2-036
27-2-042	27-2-042
27-2-045	27-2-045
27-2-048	27-2-048
27-2-051	27-2-051
27-2-055	27-2-055
27-2-059	27-2-059
27-2-065	27-2-065
27-2-068	27-2-068
27-2-071	27-2-071
27-2-074	27-2-074
27-2-078	27-2-078
27-2-082	27-2-082
27-2-085	27-2-085
27-2-089	27-2-089
27-2-094	27-2-094
27-2-100	27-2-100
27-2-103	27-2-103
27-2-106	27-2-106
27-2-109	27-2-109
27-2-112	27-2-112
27-2-115	27-2-115
27-2-118	27-2-118
27-2-122	27-2-122
27-2-125	27-2-125
27-2-128	27-2-128
27-2-132	27-2-132
27-2-135	27-2-135
27-2-139	27-2-139
27-2-142	27-2-142
27-2-145	27-2-145
27-2-149	27-2-149
27-3-017	27-3-017
27-3-024	27-3-024
27-3-026	27-3-026
27-3-031	27-3-031
27-3-034	27-3-034
27-3-038	27-3-038
27-3-042	27-3-042
27-3-046	27-3-046
27-3-050	27-3-050
27-3-053	27-3-053
27-3-056	27-3-056
27-3-059	27-3-059
27-3-062	27-3-062
27-3-065	27-3-065
27-3-068	27-3-068
27-3-072	27-3-072
27-3-075	27-3-075
27-3-081	27-3-081
27-3-084	27-3-084
27-3-087	27-3-087
27-3-090	27-3-090
27-3-094	27-3-094
27-3-097	27-3-097
27-3-100	27-3-100
27-3-103	27-3-103
27-3-106	27-3-106
27-3-109	27-3-109
27-3-112	27-3-112
27-3-115	27-3-115
27-3-118	27-3-118
27-3-121	27-3-121
27-3-125	27-3-125
27-3-128	27-3-128
27-3-131	27-3-131
27-3-134	27-3-134
27-3-139	27-3-139
28-1-025	28-1-025
28-1-030	28-1-030
28-1-033	28-1-033
28-1-038	28-1-038
28-1-042	28-1-042
28-1-045	28-1-045
28-1-051	28-1-051
28-1-054	28-1-054
28-1-060	28-1-060
28-1-063	28-1-063
28-1-066	28-1-066
28-1-069	28-1-069
28-1-072	28-1-072
28-1-075	28-1-075
28-1-078	28-1-078
28-1-081	28-1-081
28-1-084	28-1-084
28-1-087	28-1-087
28-1-090	28-1-090
28-1-094	28-1-094
28-1-097	28-1-097
28-1-100	28-1-100
28-1-103	28-1-103
28-1-106	28-1-106
28-1-109	28-1-109
28-1-112	28-1-112
28-1-115	28-1-115
28-1-118	28-1-118
28-1-122	28-1-122
28-1-125	28-1-125
28-1-128	28-1-128
28-1-131	28-1-131
28-1-134	28-1-134
28-1-137	28-1-137
28-1-141	28-1-141
28-1-144	28-1-144
28-1-147	28-1-147
28-2-004	28-2-004
28-2-011	28-2-011
28-2-014	28-2-014
28-2-017	28-2-017
28-2-020	28-2-020
28-2-024	28-2-024
28-2-027	28-2-027
28-2-030	28-2-030
28-2-033	28-2-033
28-2-036	28-2-036
28-2-040	28-2-040
28-2-045	28-2-045
28-2-048	28-2-048
28-2-051	28-2-051
28-2-055	28-2-055
28-2-058	28-2-058
28-2-061	28-2-061
28-2-064	28-2-064
28-2-067	28-2-067
28-2-071	28-2-071
28-2-075	28-2-075
28-2-077	28-2-077
28-2-080	28-2-080
28-2-083	28-2-083
28-2-089	28-2-089
28-2-093	28-2-093
28-2-096	28-2-096
28-2-099	28-2-099
28-2-103	28-2-103
28-2-106	28-2-106
28-2-109	28-2-109
28-2-111	28-2-111
28-2-114	28-2-114
28-2-118	28-2-118
28-2-122	28-2-122
28-2-125	28-2-125
28-2-128	28-2-128
28-2-132	28-2-132
28-2-135	28-2-135
28-2-138	28-2-138
28-2-141	28-2-141
28-2-145	28-2-145
28-2-148	28-2-148
28-3-012	28-3-012
28-3-015	28-3-015
28-3-018	28-3-018
28-3-022	28-3-022
28-3-025	28-3-025
28-3-028	28-3-028
28-3-031	28-3-031
28-3-034	28-3-034
28-3-037	28-3-037
28-3-039	28-3-039
28-3-042	28-3-042
28-3-045	28-3-045
28-3-048	28-3-048
28-3-054	28-3-054
28-3-057	28-3-057
28-3-063	28-3-063
28-3-066	28-3-066
28-3-069	28-3-069
28-3-073	28-3-073
28-3-076	28-3-076
28-3-079	28-3-079
28-3-082	28-3-082
28-3-085	28-3-085
28-3-088	28-3-088
28-3-091	28-3-091
28-3-094	28-3-094
28-3-097	28-3-097
28-3-100	28-3-100
28-3-103	28-3-103
28-3-106	28-3-106
28-3-112	28-3-112
28-3-114	28-3-114
29-1-004	29-1-004
29-1-008	29-1-008
29-1-011	29-1-011
29-1-017	29-1-017
29-1-027	29-1-027
29-1-030	29-1-030
29-1-033	29-1-033
29-1-037	29-1-037
29-1-040	29-1-040
29-1-043	29-1-043
29-1-047	29-1-047
29-1-051	29-1-051
29-1-054	29-1-054
29-1-057	29-1-057
29-1-061	29-1-061
29-1-068	29-1-068
29-1-070	29-1-070
29-1-073	29-1-073
29-1-078	29-1-078
29-1-083	29-1-083
29-1-086	29-1-086
29-1-094	29-1-094
29-1-097	29-1-097
29-1-100	29-1-100
29-1-103	29-1-103
29-1-106	29-1-106
29-1-109	29-1-109
29-1-112	29-1-112
29-1-115	29-1-115
29-1-118	29-1-118
29-1-123	29-1-123
29-1-126	29-1-126
29-1-131	29-1-131
29-1-134	29-1-134
29-1-137	29-1-137
29-1-140	29-1-140
29-1-144	29-1-144
29-2-004	29-2-004
29-2-007	29-2-007
29-2-010	29-2-010
29-2-014	29-2-014
29-2-017	29-2-017
29-2-020	29-2-020
29-2-023	29-2-023
29-2-026	29-2-026
29-2-029	29-2-029
29-2-032	29-2-032
29-2-036	29-2-036
29-2-039	29-2-039
29-2-042	29-2-042
29-2-045	29-2-045
29-2-048	29-2-048
29-2-051	29-2-051
29-2-054	29-2-054
29-2-057	29-2-057
29-2-061	29-2-061
29-2-064	29-2-064
29-2-068	29-2-068
29-2-071	29-2-071
29-2-075	29-2-075
29-2-078	29-2-078
29-2-081	29-2-081
29-2-084	29-2-084
29-2-087	29-2-087
29-2-090	29-2-090
29-2-094	29-2-094
29-2-098	29-2-098
29-2-104	29-2-104
29-2-110	29-2-110
29-2-114	29-2-114
29-2-117	29-2-117
29-2-120	29-2-120
29-2-124	29-2-124
29-2-126	29-2-126
29-2-130	29-2-130
29-2-133	29-2-133
29-2-139	29-2-139
29-2-142	29-2-142
29-2-145	29-2-145
29-2-148	29-2-148
29-3-003	29-3-003
29-3-006	29-3-006
29-3-009	29-3-009
29-3-013	29-3-013
29-3-016	29-3-016
29-3-020	29-3-020
29-3-023	29-3-023
29-3-030	29-3-030
29-3-033	29-3-033
29-3-038	29-3-038
29-3-041	29-3-041
29-3-044	29-3-044
29-3-047	29-3-047
29-3-050	29-3-050
29-3-053	29-3-053
29-3-056	29-3-056
29-3-059	29-3-059
29-3-061	29-3-061
29-3-065	29-3-065
29-3-068	29-3-068
29-3-071	29-3-071
29-3-075	29-3-075
29-3-077	29-3-077
29-3-080	29-3-080
29-3-083	29-3-083
29-3-086	29-3-086
29-3-089	29-3-089
29-3-092	29-3-092
29-3-095	29-3-095
29-3-098	29-3-098
29-3-102	29-3-102
29-3-104	29-3-104
29-3-109	29-3-109
29-3-112	29-3-112
30-1-010	30-1-010
30-1-013	30-1-013
30-1-016	30-1-016
30-1-019	30-1-019
30-1-022	30-1-022
30-1-025	30-1-025
30-1-029	30-1-029
30-1-032	30-1-032
30-1-035	30-1-035
30-1-038	30-1-038
30-1-041	30-1-041
30-1-044	30-1-044
30-1-047	30-1-047
30-1-051	30-1-051
30-1-054	30-1-054
30-1-057	30-1-057
30-1-060	30-1-060
30-1-063	30-1-063
30-1-066	30-1-066
30-1-069	30-1-069
30-1-072	30-1-072
30-1-075	30-1-075
30-1-078	30-1-078
30-1-081	30-1-081
30-1-087	30-1-087
30-1-090	30-1-090
30-1-093	30-1-093
30-1-096	30-1-096
30-1-099	30-1-099
30-1-102	30-1-102
30-1-105	30-1-105
30-1-108	30-1-108
30-1-111	30-1-111
30-1-114	30-1-114
30-1-118	30-1-118
30-1-125	30-1-125
30-1-128	30-1-128
30-1-131	30-1-131
30-1-133	30-1-133
30-1-136	30-1-136
30-1-140	30-1-140
30-1-143	30-1-143
30-1-146	30-1-146
30-1-149	30-1-149
30-2-005	30-2-005
30-2-008	30-2-008
30-2-011	30-2-011
30-2-014	30-2-014
30-2-017	30-2-017
30-2-020	30-2-020
30-2-024	30-2-024
30-2-028	30-2-028
30-2-030	30-2-030
30-2-034	30-2-034
30-2-037	30-2-037
30-2-039	30-2-039
30-2-043	30-2-043
30-2-046	30-2-046
30-2-049	30-2-049
30-2-053	30-2-053
30-2-056	30-2-056
30-2-059	30-2-059
30-2-062	30-2-062
30-2-069	30-2-069
30-2-072	30-2-072
30-2-075	30-2-075
30-2-078	30-2-078
30-2-082	30-2-082
30-2-085	30-2-085
30-2-088	30-2-088
30-2-091	30-2-091
30-2-097	30-2-097
30-2-101	30-2-101
30-2-104	30-2-104
30-2-107	30-2-107
30-2-110	30-2-110
30-2-113	30-2-113
30-2-116	30-2-116
30-2-119	30-2-119
30-2-124	30-2-124
30-2-127	30-2-127
30-2-130	30-2-130
30-2-134	30-2-134
30-2-137	30-2-137
30-2-140	30-2-140
30-2-143	30-2-143
30-2-146	30-2-146
30-2-149	30-2-149
30-3-003	30-3-003
30-3-006	30-3-006
30-3-009	30-3-009
30-3-012	30-3-012
30-3-015	30-3-015
30-3-018	30-3-018
30-3-021	30-3-021
30-3-024	30-3-024
30-3-027	30-3-027
30-3-030	30-3-030
30-3-033	30-3-033
30-3-036	30-3-036
30-3-039	30-3-039
30-3-043	30-3-043
30-3-046	30-3-046
30-3-049	30-3-049
30-3-052	30-3-052
30-3-056	30-3-056
30-3-058	30-3-058
30-3-061	30-3-061
30-3-065	30-3-065
30-3-068	30-3-068
30-3-071	30-3-071
30-3-074	30-3-074
30-3-077	30-3-077
30-3-080	30-3-080
30-3-083	30-3-083
30-3-086	30-3-086
30-3-089	30-3-089
30-3-092	30-3-092
30-3-096	30-3-096
30-3-099	30-3-099
30-3-102	30-3-102
30-3-106	30-3-106
30-3-108	30-3-108
30-3-111	30-3-111
30-3-115	30-3-115
30-3-118	30-3-118
31-1-014	31-1-014
31-1-017	31-1-017
31-1-020	31-1-020
31-1-023	31-1-023
31-1-028	31-1-028
31-1-031	31-1-031
31-1-034	31-1-034
31-1-037	31-1-037
31-1-040	31-1-040
31-1-043	31-1-043
31-1-050	31-1-050
31-1-053	31-1-053
31-1-056	31-1-056
31-1-059	31-1-059
31-1-064	31-1-064
31-1-067	31-1-067
31-1-070	31-1-070
31-1-073	31-1-073
31-1-076	31-1-076
31-1-082	31-1-082
31-1-085	31-1-085
31-1-090	31-1-090
31-1-091	31-1-091
31-1-093	31-1-093
31-1-099	31-1-099
31-1-104	31-1-104
31-1-109	31-1-109
31-1-112	31-1-112
31-1-115	31-1-115
31-1-118	31-1-118
31-1-121	31-1-121
31-1-125	31-1-125
31-1-128	31-1-128
31-1-131	31-1-131
31-1-134	31-1-134
31-1-137	31-1-137
31-1-140	31-1-140
31-1-144	31-1-144
31-1-147	31-1-147
31-1-150	31-1-150
31-2-003	31-2-003
31-2-006	31-2-006
31-2-010	31-2-010
31-2-013	31-2-013
31-2-016	31-2-016
31-2-020	31-2-020
31-2-025	31-2-025
31-2-031	31-2-031
31-2-034	31-2-034
31-2-038	31-2-038
31-2-041	31-2-041
31-2-045	31-2-045
31-2-048	31-2-048
31-2-053	31-2-053
31-2-056	31-2-056
31-2-059	31-2-059
31-2-062	31-2-062
31-2-066	31-2-066
31-2-069	31-2-069
31-2-072	31-2-072
31-2-076	31-2-076
31-2-079	31-2-079
31-2-081	31-2-081
31-2-084	31-2-084
31-2-087	31-2-087
31-2-092	31-2-092
31-2-096	31-2-096
31-2-099	31-2-099
31-2-102	31-2-102
31-2-108	31-2-108
31-2-112	31-2-112
31-2-115	31-2-115
31-2-118	31-2-118
31-2-122	31-2-122
31-2-125	31-2-125
31-2-132	31-2-132
31-2-136	31-2-136
31-2-139	31-2-139
31-3-003	31-3-003
31-3-006	31-3-006
31-3-009	31-3-009
31-3-012	31-3-012
31-3-015	31-3-015
31-3-017	31-3-017
31-3-021	31-3-021
31-3-023	31-3-023
31-3-027	31-3-027
31-3-029	31-3-029
31-3-033	31-3-033
31-3-037	31-3-037
31-3-040	31-3-040
31-3-042	31-3-042
31-3-045	31-3-045
31-3-049	31-3-049
31-3-052	31-3-052
31-3-055	31-3-055
31-3-058	31-3-058
31-3-063	31-3-063
31-3-066	31-3-066
31-3-073	31-3-073
31-3-076	31-3-076
31-3-079	31-3-079
31-3-082	31-3-082
31-3-085	31-3-085
31-3-087	31-3-087
31-3-091	31-3-091
31-3-094	31-3-094
31-3-097	31-3-097
31-3-101	31-3-101
31-3-105	31-3-105
31-3-108	31-3-108
31-3-112	31-3-112
31-3-115	31-3-115
31-3-118	31-3-118
31-3-121	31-3-121
31-3-124	31-3-124
32-1-022	32-1-022
32-1-025	32-1-025
32-1-031	32-1-031
32-1-034	32-1-034
32-1-037	32-1-037
32-1-042	32-1-042
32-1-045	32-1-045
32-1-048	32-1-048
32-1-052	32-1-052
32-1-054	32-1-054
32-1-057	32-1-057
32-1-063	32-1-063
32-1-066	32-1-066
32-1-069	32-1-069
32-1-073	32-1-073
32-1-076	32-1-076
32-1-079	32-1-079
32-1-082	32-1-082
32-1-085	32-1-085
32-1-087	32-1-087
32-1-090	32-1-090
32-1-094	32-1-094
32-1-097	32-1-097
32-1-103	32-1-103
32-1-106	32-1-106
32-1-109	32-1-109
32-1-113	32-1-113
32-1-116	32-1-116
32-1-119	32-1-119
32-1-122	32-1-122
32-1-125	32-1-125
32-1-128	32-1-128
32-1-131	32-1-131
32-1-135	32-1-135
32-1-138	32-1-138
32-1-143	32-1-143
32-1-146	32-1-146
32-1-149	32-1-149
32-2-007	32-2-007
32-2-010	32-2-010
32-2-013	32-2-013
32-2-016	32-2-016
32-2-018	32-2-018
32-2-022	32-2-022
32-2-025	32-2-025
32-2-028	32-2-028
32-2-032	32-2-032
32-2-036	32-2-036
32-2-039	32-2-039
32-2-042	32-2-042
32-2-046	32-2-046
32-2-049	32-2-049
32-2-053	32-2-053
32-2-056	32-2-056
32-2-059	32-2-059
32-2-063	32-2-063
32-2-067	32-2-067
32-2-070	32-2-070
32-2-073	32-2-073
32-2-076	32-2-076
32-2-080	32-2-080
32-2-082	32-2-082
32-2-086	32-2-086
32-2-090	32-2-090
32-2-093	32-2-093
32-2-096	32-2-096
32-2-099	32-2-099
32-2-103	32-2-103
32-2-107	32-2-107
32-2-113	32-2-113
32-2-116	32-2-116
32-2-119	32-2-119
32-2-123	32-2-123
32-2-126	32-2-126
32-2-130	32-2-130
32-2-134	32-2-134
32-2-137	32-2-137
32-2-141	32-2-141
32-2-144	32-2-144
32-2-147	32-2-147
32-2-150	32-2-150
32-3-004	32-3-004
32-3-006	32-3-006
32-3-009	32-3-009
32-3-013	32-3-013
32-3-016	32-3-016
32-3-020	32-3-020
32-3-023	32-3-023
32-3-026	32-3-026
32-3-029	32-3-029
32-3-033	32-3-033
32-3-036	32-3-036
32-3-039	32-3-039
32-3-043	32-3-043
32-3-049	32-3-049
32-3-052	32-3-052
32-3-055	32-3-055
32-3-058	32-3-058
32-3-063	32-3-063
32-3-067	32-3-067
32-3-070	32-3-070
32-3-074	32-3-074
32-3-078	32-3-078
32-3-081	32-3-081
32-3-084	32-3-084
32-3-087	32-3-087
32-3-090	32-3-090
32-3-093	32-3-093
32-3-096	32-3-096
32-3-099	32-3-099
32-3-103	32-3-103
32-3-106	32-3-106
32-3-109	32-3-109
32-3-112	32-3-112
32-3-115	32-3-115
32-3-118	32-3-118
32-3-122	32-3-122
32-3-124	32-3-124
32-3-128	32-3-128
32-3-131	32-3-131
32-3-134	32-3-134
33-1-012	33-1-012
33-1-015	33-1-015
33-1-021	33-1-021
33-1-027	33-1-027
33-1-030	33-1-030
33-1-033	33-1-033
33-1-038	33-1-038
33-1-042	33-1-042
33-1-044	33-1-044
33-1-047	33-1-047
33-1-050	33-1-050
33-1-053	33-1-053
33-1-057	33-1-057
33-1-062	33-1-062
33-1-068	33-1-068
33-1-071	33-1-071
33-1-074	33-1-074
33-1-078	33-1-078
33-1-083	33-1-083
33-1-088	33-1-088
33-1-091	33-1-091
33-1-094	33-1-094
33-1-099	33-1-099
33-1-103	33-1-103
33-1-109	33-1-109
33-1-112	33-1-112
33-1-115	33-1-115
33-1-119	33-1-119
33-1-122	33-1-122
33-1-125	33-1-125
33-1-130	33-1-130
33-1-134	33-1-134
33-1-138	33-1-138
33-1-141	33-1-141
33-1-145	33-1-145
33-1-149	33-1-149
33-2-002	33-2-002
33-2-005	33-2-005
33-2-009	33-2-009
33-2-013	33-2-013
33-2-017	33-2-017
33-2-023	33-2-023
33-2-026	33-2-026
33-2-031	33-2-031
33-2-036	33-2-036
33-2-038	33-2-038
33-2-045	33-2-045
33-2-050	33-2-050
33-2-054	33-2-054
33-2-057	33-2-057
33-2-059	33-2-059
33-2-064	33-2-064
33-2-067	33-2-067
33-2-071	33-2-071
33-2-077	33-2-077
33-2-082	33-2-082
33-2-086	33-2-086
33-2-091	33-2-091
33-2-094	33-2-094
33-2-104	33-2-104
33-2-108	33-2-108
33-2-112	33-2-112
33-2-117	33-2-117
33-2-120	33-2-120
33-2-124	33-2-124
33-2-128	33-2-128
33-2-131	33-2-131
33-2-136	33-2-136
33-2-141	33-2-141
33-2-145	33-2-145
33-2-149	33-2-149
33-3-002	33-3-002
33-3-005	33-3-005
33-3-011	33-3-011
33-3-015	33-3-015
34-1-034	34-1-034
34-1-037	34-1-037
34-1-041	34-1-041
34-1-044	34-1-044
34-1-049	34-1-049
34-1-052	34-1-052
34-1-055	34-1-055
34-1-059	34-1-059
34-1-064	34-1-064
34-1-068	34-1-068
34-1-078	34-1-078
34-1-082	34-1-082
34-1-085	34-1-085
34-1-088	34-1-088
34-1-091	34-1-091
34-1-094	34-1-094
34-1-101	34-1-101
34-1-104	34-1-104
34-1-107	34-1-107
34-1-115	34-1-115
34-1-118	34-1-118
34-1-121	34-1-121
34-1-125	34-1-125
34-1-128	34-1-128
34-1-131	34-1-131
34-1-136	34-1-136
34-1-139	34-1-139
34-1-141	34-1-141
34-1-145	34-1-145
34-1-148	34-1-148
34-2-009	34-2-009
34-2-012	34-2-012
34-2-014	34-2-014
34-2-019	34-2-019
34-2-023	34-2-023
34-2-026	34-2-026
34-2-029	34-2-029
34-2-033	34-2-033
34-2-037	34-2-037
34-2-039	34-2-039
34-2-041	34-2-041
34-2-044	34-2-044
34-2-047	34-2-047
34-2-051	34-2-051
34-2-054	34-2-054
34-2-058	34-2-058
34-2-061	34-2-061
34-2-064	34-2-064
34-2-068	34-2-068
34-2-072	34-2-072
34-2-081	34-2-081
34-2-084	34-2-084
34-2-087	34-2-087
34-2-090	34-2-090
34-2-093	34-2-093
34-2-096	34-2-096
34-2-099	34-2-099
34-2-102	34-2-102
34-2-105	34-2-105
34-2-108	34-2-108
34-2-111	34-2-111
34-2-114	34-2-114
34-2-117	34-2-117
34-2-120	34-2-120
34-2-123	34-2-123
34-2-126	34-2-126
34-2-129	34-2-129
34-2-132	34-2-132
34-2-135	34-2-135
34-2-138	34-2-138
34-2-142	34-2-142
34-2-145	34-2-145
34-2-149	34-2-149
34-3-006	34-3-006
34-3-009	34-3-009
34-3-012	34-3-012
34-3-015	34-3-015
34-3-018	34-3-018
34-3-022	34-3-022
34-3-025	34-3-025
34-3-028	34-3-028
34-3-032	34-3-032
34-3-035	34-3-035
34-3-038	34-3-038
34-3-040	34-3-040
34-3-044	34-3-044
34-3-047	34-3-047
34-3-051	34-3-051
34-3-053	34-3-053
34-3-056	34-3-056
34-3-059	34-3-059
34-3-062	34-3-062
34-3-065	34-3-065
34-3-068	34-3-068
34-3-071	34-3-071
34-3-077	34-3-077
34-3-084	34-3-084
34-3-087	34-3-087
34-3-090	34-3-090
34-3-095	34-3-095
35-1-035	35-1-035
35-1-038	35-1-038
35-1-043	35-1-043
35-1-047	35-1-047
35-1-050	35-1-050
35-1-053	35-1-053
35-1-056	35-1-056
35-1-060	35-1-060
35-1-063	35-1-063
35-1-066	35-1-066
35-1-069	35-1-069
35-1-073	35-1-073
35-1-077	35-1-077
35-1-079	35-1-079
35-1-082	35-1-082
35-1-086	35-1-086
35-1-089	35-1-089
35-1-092	35-1-092
35-1-095	35-1-095
35-1-099	35-1-099
35-1-103	35-1-103
35-1-106	35-1-106
35-1-109	35-1-109
35-1-112	35-1-112
35-1-116	35-1-116
35-1-119	35-1-119
35-1-123	35-1-123
35-1-127	35-1-127
35-1-130	35-1-130
35-1-133	35-1-133
35-1-136	35-1-136
35-1-139	35-1-139
35-1-142	35-1-142
35-1-145	35-1-145
35-1-148	35-1-148
35-2-005	35-2-005
35-2-009	35-2-009
35-2-013	35-2-013
35-2-015	35-2-015
35-2-018	35-2-018
35-2-023	35-2-023
35-2-026	35-2-026
35-2-031	35-2-031
35-2-035	35-2-035
35-2-038	35-2-038
35-2-041	35-2-041
35-2-044	35-2-044
35-2-048	35-2-048
35-2-051	35-2-051
35-2-054	35-2-054
35-2-057	35-2-057
35-2-060	35-2-060
35-2-063	35-2-063
35-2-066	35-2-066
35-2-069	35-2-069
35-2-073	35-2-073
35-2-077	35-2-077
35-2-080	35-2-080
35-2-083	35-2-083
35-2-086	35-2-086
35-2-089	35-2-089
35-2-092	35-2-092
35-2-095	35-2-095
35-2-099	35-2-099
35-2-102	35-2-102
36-1-022	36-1-022
36-1-025	36-1-025
36-1-028	36-1-028
36-1-031	36-1-031
36-1-034	36-1-034
36-1-038	36-1-038
36-1-041	36-1-041
36-1-044	36-1-044
36-1-047	36-1-047
36-1-050	36-1-050
36-1-053	36-1-053
36-1-056	36-1-056
36-1-058	36-1-058
36-1-062	36-1-062
36-1-065	36-1-065
36-1-068	36-1-068
36-1-072	36-1-072
36-1-075	36-1-075
36-1-078	36-1-078
36-1-081	36-1-081
36-1-084	36-1-084
36-1-087	36-1-087
36-1-093	36-1-093
36-1-096	36-1-096
36-1-100	36-1-100
36-1-103	36-1-103
36-1-106	36-1-106
36-1-109	36-1-109
36-1-112	36-1-112
36-1-115	36-1-115
36-1-118	36-1-118
36-1-121	36-1-121
36-1-124	36-1-124
36-1-127	36-1-127
36-1-131	36-1-131
36-1-134	36-1-134
36-1-137	36-1-137
36-1-140	36-1-140
36-1-143	36-1-143
36-1-146	36-1-146
36-1-149	36-1-149
36-2-008	36-2-008
36-2-010	36-2-010
36-2-013	36-2-013
36-2-016	36-2-016
36-2-020	36-2-020
36-2-023	36-2-023
36-2-025	36-2-025
36-2-028	36-2-028
36-2-031	36-2-031
36-2-034	36-2-034
36-2-038	36-2-038
36-2-041	36-2-041
36-2-046	36-2-046
36-2-049	36-2-049
36-2-053	36-2-053
36-2-056	36-2-056
36-2-060	36-2-060
36-2-063	36-2-063
36-2-067	36-2-067
36-2-070	36-2-070
36-2-073	36-2-073
36-2-076	36-2-076
36-2-079	36-2-079
36-2-082	36-2-082
36-2-086	36-2-086
36-2-088	36-2-088
36-2-092	36-2-092
36-2-095	36-2-095
36-2-099	36-2-099
36-2-103	36-2-103
36-2-106	36-2-106
36-2-109	36-2-109
36-2-112	36-2-112
36-2-115	36-2-115
36-2-118	36-2-118
36-2-121	36-2-121
36-2-124	36-2-124
36-2-127	36-2-127
36-2-136	36-2-136
36-2-139	36-2-139
36-2-142	36-2-142
36-2-145	36-2-145
36-2-148	36-2-148
36-3-002	36-3-002
36-3-005	36-3-005
36-3-009	36-3-009
36-3-013	36-3-013
36-3-017	36-3-017
36-3-021	36-3-021
36-3-024	36-3-024
36-3-027	36-3-027
36-3-032	36-3-032
36-3-035	36-3-035
36-3-039	36-3-039
36-3-041	36-3-041
36-3-046	36-3-046
37-1-100	37-1-100
37-1-104	37-1-104
37-1-106	37-1-106
37-1-110	37-1-110
37-1-112	37-1-112
37-1-115	37-1-115
37-1-118	37-1-118
37-1-120	37-1-120
37-1-124	37-1-124
37-1-131	37-1-131
37-1-133	37-1-133
37-1-136	37-1-136
37-1-140	37-1-140
37-1-147	37-1-147
37-1-149	37-1-149
37-2-018	37-2-018
37-2-022	37-2-022
37-2-025	37-2-025
37-2-028	37-2-028
37-2-032	37-2-032
37-2-035	37-2-035
37-2-038	37-2-038
37-2-041	37-2-041
37-2-043	37-2-043
37-2-045	37-2-045
37-2-048	37-2-048
37-2-051	37-2-051
37-2-056	37-2-056
37-2-059	37-2-059
37-2-064	37-2-064
37-2-067	37-2-067
37-2-070	37-2-070
37-2-073	37-2-073
37-2-076	37-2-076
37-2-085	37-2-085
37-2-089	37-2-089
37-2-093	37-2-093
37-2-096	37-2-096
37-2-099	37-2-099
37-2-103	37-2-103
37-2-106	37-2-106
37-2-109	37-2-109
37-2-112	37-2-112
37-2-115	37-2-115
37-2-119	37-2-119
37-2-122	37-2-122
37-2-125	37-2-125
37-2-128	37-2-128
37-2-133	37-2-133
37-2-135	37-2-135
37-2-138	37-2-138
37-2-142	37-2-142
37-2-144	37-2-144
37-2-148	37-2-148
37-3-005	37-3-005
37-3-008	37-3-008
37-3-012	37-3-012
37-3-015	37-3-015
37-3-022	37-3-022
37-3-025	37-3-025
37-3-029	37-3-029
37-3-032	37-3-032
37-3-035	37-3-035
37-3-040	37-3-040
37-3-042	37-3-042
37-3-046	37-3-046
37-3-049	37-3-049
37-3-052	37-3-052
37-3-059	37-3-059
37-3-062	37-3-062
37-3-065	37-3-065
37-3-067	37-3-067
37-3-068	37-3-068
37-3-070	37-3-070
37-3-072	37-3-072
37-3-073	37-3-073
37-3-076	37-3-076
37-3-078	37-3-078
37-3-081	37-3-081
37-3-084	37-3-084
37-3-088	37-3-088
37-3-093	37-3-093
37-3-097	37-3-097
38-1-026	38-1-026
38-1-032	38-1-032
38-1-037	38-1-037
38-1-040	38-1-040
38-1-045	38-1-045
38-1-048	38-1-048
38-1-051	38-1-051
38-1-055	38-1-055
38-1-058	38-1-058
38-1-061	38-1-061
38-1-064	38-1-064
38-1-067	38-1-067
38-1-070	38-1-070
38-1-074	38-1-074
38-1-077	38-1-077
38-1-080	38-1-080
38-1-083	38-1-083
38-1-086	38-1-086
38-1-087	38-1-087
38-1-090	38-1-090
38-1-093	38-1-093
38-1-096	38-1-096
38-1-099	38-1-099
38-1-102	38-1-102
38-1-105	38-1-105
38-1-109	38-1-109
38-1-115	38-1-115
38-1-119	38-1-119
38-1-122	38-1-122
38-1-125	38-1-125
38-1-128	38-1-128
38-1-132	38-1-132
38-1-135	38-1-135
38-1-138	38-1-138
38-1-142	38-1-142
38-1-145	38-1-145
38-1-149	38-1-149
38-2-013	38-2-013
38-2-016	38-2-016
38-2-020	38-2-020
38-2-031	38-2-031
38-2-039	38-2-039
38-2-041	38-2-041
38-2-043	38-2-043
38-2-047	38-2-047
38-2-053	38-2-053
38-2-055	38-2-055
38-2-057	38-2-057
38-2-060	38-2-060
38-2-063	38-2-063
38-2-067	38-2-067
38-2-070	38-2-070
38-2-072	38-2-072
38-2-075	38-2-075
38-2-079	38-2-079
38-2-082	38-2-082
38-2-085	38-2-085
38-2-088	38-2-088
38-2-092	38-2-092
38-2-096	38-2-096
38-2-099	38-2-099
38-2-102	38-2-102
38-2-106	38-2-106
38-2-109	38-2-109
38-2-113	38-2-113
38-2-116	38-2-116
38-2-119	38-2-119
38-2-122	38-2-122
38-2-126	38-2-126
38-2-129	38-2-129
38-2-135	38-2-135
38-2-146	38-2-146
38-2-148	38-2-148
