Slecetion criteria:
specimen_int_mad	specimen_drats	specimen_b_beta	specimen_g	specimen_f	specimen_int_ptrm_n	specimen_dang	specimen_n	specimen_q	specimen_gap_max	specimen_frac	specimen_scat	specimen_fvds	specimen_md
15.000000	30.000000	0.100000	0.000000	0.000000	2.000000	15.000000	3.000000	0.000000	0.500000	0.000000	0.000000	0.200000	100000.000000
---------------------------------
er_sample_name	sample_int_n	sample_int_uT	sample_int_sigma_uT	sample_int_sigma_perc	sample_int_interval_uT	sample_int_interval_perc	Warning
0563x242107	2	18.24	0.03	0.158	4.33	23.76	 2 specimens with no anisotropy correction; 
0564x012117	2	11.97	0.79	6.635	4.85	40.49	 2 specimens with no anisotropy correction; 
0564x022092	3	14.35	0.02	0.108	6.92	48.24	 3 specimens with no anisotropy correction; 
0564x043075	7	12.77	1.99	15.573	5.71	44.69	 7 specimens with no anisotropy correction; 
0564x061142	2	15.40	1.30	8.469	5.40	35.04	 2 specimens with no anisotropy correction; 
0564x071076	2	10.94	0.00	0.002	8.25	75.35	 2 specimens with no anisotropy correction; 
0564x081101	2	14.03	0.00	0.000	5.32	37.93	 2 specimens with no anisotropy correction; 
0564x093p02	2	15.44	0.00	0.002	4.57	29.59	 2 specimens with no anisotropy correction; 
0706c021071	2	7.71	0.01	0.168	3.47	44.94	 2 specimens with no anisotropy correction; 
0706c021093	3	7.35	0.01	0.142	2.97	40.42	 3 specimens with no anisotropy correction; 
0706c022039	2	10.26	1.04	10.170	5.31	51.76	 2 specimens with no anisotropy correction; 
0706c022095	4	6.33	0.07	1.082	3.69	58.28	 4 specimens with no anisotropy correction; 
0706c052074	2	10.46	0.00	0.005	8.19	78.33	 2 specimens with no anisotropy correction; 
0706c052103	3	6.42	0.01	0.169	5.88	91.53	 3 specimens with no anisotropy correction; 
0706c053044	2	6.37	0.18	2.826	6.20	97.23	 2 specimens with no anisotropy correction; 
0706c077010	4	6.21	0.01	0.117	4.60	74.08	 4 specimens with no anisotropy correction; 
0758a702003	2	29.49	0.00	0.002	23.66	80.24	 2 specimens with no anisotropy correction; 
0758a702052	2	26.30	0.00	0.000	5.57	21.20	 2 specimens with no anisotropy correction; 
0758a712037	2	52.50	4.10	7.810	7.30	13.91	 2 specimens with no anisotropy correction; 
0758a713045	4	29.15	0.32	1.113	10.19	34.95	 4 specimens with no anisotropy correction; 
0758a714093	3	32.50	0.02	0.070	10.98	33.79	 3 specimens with no anisotropy correction; 
0765c631004	3	3.80	0.00	0.086	2.53	66.53	 3 specimens with no anisotropy correction; 
0765c631051	2	4.54	0.00	0.087	0.90	19.78	 2 specimens with no anisotropy correction; 
0765c631088	3	7.10	2.52	35.508	2.76	38.87	 3 specimens with no anisotropy correction; 
0765c631127	3	6.46	1.59	24.522	2.33	36.07	 3 specimens with no anisotropy correction; 
0765d054033	2	3.64	0.83	22.746	0.00	0.00	 2 specimens with no anisotropy correction; 
0765d054055	2	5.04	3.43	68.187	1.34	26.55	 2 specimens with no anisotropy correction; 
0765d131096	2	31.93	0.06	0.180	14.18	44.42	 2 specimens with no anisotropy correction; 
0765d131101	3	19.02	4.44	23.365	0.00	0.00	 3 specimens with no anisotropy correction; 
0770b173147	5	13.01	0.30	2.290	4.82	37.09	 5 specimens with no anisotropy correction; 
0770b182035	2	14.46	0.21	1.474	0.28	1.96	 2 specimens with no anisotropy correction; 
0770b183005	6	14.96	1.10	7.382	6.28	41.96	 6 specimens with no anisotropy correction; 
0770b183031	2	25.77	0.07	0.259	7.31	28.38	 2 specimens with no anisotropy correction; 
0770c023008	2	15.25	0.00	0.008	9.65	63.28	 2 specimens with no anisotropy correction; 
0770c023009	2	16.99	0.00	0.013	7.34	43.18	 2 specimens with no anisotropy correction; 
0770c023019	2	15.59	0.00	0.000	8.09	51.89	 2 specimens with no anisotropy correction; 
0770c023020	2	18.55	0.00	0.013	7.43	40.04	 2 specimens with no anisotropy correction; 
0770c032050	2	11.39	0.22	1.937	1.03	9.08	 2 specimens with no anisotropy correction; 
0770c041016	2	11.06	0.00	0.010	2.79	25.27	 2 specimens with no anisotropy correction; 
0770c04x014	3	7.24	0.72	10.001	1.67	23.12	 3 specimens with no anisotropy correction; 
0770c091081	2	31.94	0.01	0.023	20.91	65.46	 2 specimens with no anisotropy correction; 
0770c091084	2	19.43	0.22	1.124	7.04	36.20	 2 specimens with no anisotropy correction; 
0802a582101	4	21.38	1.50	7.024	7.55	35.34	 4 specimens with no anisotropy correction; 
0803d702120	2	8.80	0.01	0.082	5.20	59.08	 2 specimens with no anisotropy correction; 
0807c742027	3	41.49	2.77	6.673	8.64	20.83	 3 specimens with no anisotropy correction; 
0807c742091	2	33.82	0.16	0.464	21.21	62.73	 2 specimens with no anisotropy correction; 
0807c742097	2	8.27	0.05	0.550	1.66	20.10	 2 specimens with no anisotropy correction; 
0807c751027	2	38.18	1.45	3.803	8.67	22.71	 2 specimens with no anisotropy correction; 
0807c752004	3	34.83	0.29	0.837	4.67	13.41	 3 specimens with no anisotropy correction; 
0807c752032	2	20.46	0.00	0.003	11.05	53.98	 2 specimens with no anisotropy correction; 
0807c772034	2	29.28	4.35	14.874	1.21	4.13	 2 specimens with no anisotropy correction; 
0807c772114	3	22.43	1.95	8.703	5.92	26.41	 3 specimens with no anisotropy correction; 
0807c781034	3	38.11	0.28	0.741	19.50	51.17	 3 specimens with no anisotropy correction; 
0807c791058	2	43.80	0.00	0.004	28.96	66.12	 2 specimens with no anisotropy correction; 
0807c825015	2	35.71	0.03	0.096	16.01	44.82	 2 specimens with no anisotropy correction; 
0807c861105	3	18.55	0.34	1.830	3.12	16.82	 3 specimens with no anisotropy correction; 
0807c862006	2	14.32	4.04	28.184	1.19	8.29	 2 specimens with no anisotropy correction; 
0807c871048	3	12.80	2.07	16.161	4.52	35.29	 3 specimens with no anisotropy correction; 
0807c872091	2	11.69	0.12	1.013	2.56	21.90	 2 specimens with no anisotropy correction; 
0807c881057	2	17.98	2.62	14.575	4.02	22.35	 2 specimens with no anisotropy correction; 
0807c903094	2	10.78	0.00	0.011	8.19	76.00	 2 specimens with no anisotropy correction; 
0834b141032	4	13.67	0.46	3.348	3.99	29.18	 4 specimens with no anisotropy correction; 
0834b152056	5	9.02	0.30	3.375	3.76	41.73	 5 specimens with no anisotropy correction; 
0834b161047	2	8.13	0.01	0.114	3.41	41.95	 2 specimens with no anisotropy correction; 
0834b162022	4	6.43	0.00	0.076	3.95	61.38	 4 specimens with no anisotropy correction; 
0834b181020	2	6.07	1.20	19.751	1.10	18.19	 2 specimens with no anisotropy correction; 
0834b201041	4	10.23	0.67	6.500	1.72	16.85	 4 specimens with no anisotropy correction; 
0834b261036	2	12.67	0.00	0.001	6.02	47.53	 2 specimens with no anisotropy correction; 
0834b312047	5	11.72	0.15	1.264	3.16	26.98	 5 specimens with no anisotropy correction; 
0834b331003	2	11.81	0.00	0.001	2.17	18.41	 2 specimens with no anisotropy correction; 
0834b351003	2	11.79	1.99	16.907	1.18	9.97	 2 specimens with no anisotropy correction; 
