tab	er_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
0238x601104	0238x6011041	9.93	400	475	50	1.00	-	4.00	8.00	0.30	0.22	0.24	0.43	0.09	14.24	1.61	12.26	-1.00
0238x601104	0238x6011044	9.78	400	525	40	1.00	-	6.00	8.00	0.57	0.51	0.50	0.47	0.08	1.92	2.23	0.98	-1.00
0238x602131	0238x6021311	9.28	325	450	50	1.00	-	6.00	8.00	0.43	0.23	0.27	0.26	0.04	11.24	2.58	10.49	-1.00
0238x602131	0238x6021312	9.27	250	550	50	1.00	-	12.00	7.00	1.00	0.56	0.66	0.13	0.08	1.88	9.25	6.92	-1.00
0238x604057	0238x6040573	8.57	250	400	40	1.00	-	7.00	6.00	0.42	0.32	0.37	0.39	0.10	14.87	2.36	5.90	-1.00
0238x604057	0238x6040575	8.61	325	500	40	1.00	-	8.00	8.00	0.58	0.51	0.63	0.24	0.09	7.05	9.25	5.77	-1.00
0238x604057	0238x6040574	8.59	100	500	40	1.00	-	15.00	8.00	0.88	0.66	0.82	0.15	0.02	12.10	12.86	6.25	-1.00
0322x12c000	0322x12c0002	24.72	150	475	30	1.00	-	11.00	6.00	0.76	0.67	0.71	0.20	0.03	3.32	8.16	3.58	-1.00
0322x12c000	0322x12c0001	24.72	0	400	30	1.00	-	10.00	5.00	0.80	0.75	0.82	0.23	0.02	2.94	8.82	3.28	-1.00
0322x13c000	0322x13c0001	26.82	250	525	30	1.00	-	11.00	6.00	0.55	0.36	0.43	0.40	0.06	10.70	11.47	6.86	-1.00
0322x13c000	0322x13c0002	26.86	0	400	30	1.00	-	10.00	4.00	0.77	0.65	0.82	0.25	0.04	7.83	27.92	7.81	-1.00
0332a181000	0332a1810003	19.42	0	325	30	1.00	-	7.00	3.00	0.51	0.38	0.54	0.31	0.09	11.36	26.38	13.41	-1.00
0332a181000	0332a1810002	10.78	200	500	30	1.00	-	11.00	6.00	0.76	0.42	0.50	0.12	0.08	2.23	6.78	13.65	-1.00
0335x052129	0335x0521291	32.84	200	470	50	1.00	-	11.00	5.00	0.93	0.80	0.85	0.17	0.07	1.28	11.05	5.33	-1.00
0335x052129	0335x0521293	32.91	370	470	50	1.00	-	4.00	5.00	0.42	0.23	0.25	0.44	0.07	11.43	22.25	8.56	-1.00
0335x063021	0335x0630212	20.28	325	425	50	1.00	-	5.00	5.00	0.27	0.22	0.24	0.37	0.08	6.19	26.23	10.93	-1.00
0335x063021	0335x0630214	21.15	0	350	40	1.00	-	10.00	6.00	0.44	0.28	0.39	0.24	0.10	5.33	6.65	10.36	-1.00
0335x063060	0335x0630601	6.69	250	470	50	1.00	-	9.00	5.00	0.63	0.38	0.41	0.18	0.10	3.71	8.87	6.18	-1.00
0335x063060	0335x0630602	6.87	125	425	50	1.00	-	12.00	5.00	0.90	0.77	0.88	0.17	0.09	0.71	26.46	3.08	-1.00
0335x064091	0335x0640915	18.83	300	550	40	1.00	-	10.00	9.00	0.71	0.62	0.73	0.21	0.10	4.32	28.48	7.90	-1.00
0335x064091	0335x0640914	19.17	350	525	40	1.00	-	7.00	9.00	0.59	0.37	0.62	0.29	0.06	4.22	27.66	13.40	-1.00
0335x064091	0335x0640911	19.49	275	470	50	1.00	-	8.00	5.00	0.41	0.40	0.43	0.25	0.10	2.53	3.09	3.95	-1.00
0335x072002	0335x0720023	6.01	350	470	50	1.00	-	5.00	4.00	0.51	0.29	0.36	0.22	0.06	5.68	4.82	11.88	-1.00
0335x072002	0335x0720021	7.13	250	450	50	1.00	-	8.00	4.00	0.75	0.34	0.51	0.23	0.10	1.54	16.65	14.80	-1.00
0335x091058	0335x0910582	28.38	125	470	50	1.00	-	12.00	4.00	0.78	0.56	0.86	0.28	0.07	5.69	9.17	13.18	-1.00
0335x091058	0335x0910583	16.15	275	470	50	1.00	-	7.00	4.00	0.63	0.51	0.53	0.23	0.09	0.81	0.91	4.95	-1.00
0335x091058	0335x0910584	21.91	325	450	40	1.00	-	6.00	8.00	0.45	0.38	0.51	0.37	0.04	2.07	23.41	10.30	-1.00
0335x091058	0335x0910585	20.71	300	500	40	1.00	-	8.00	9.00	0.80	0.38	0.63	0.27	0.08	3.41	19.75	14.38	-1.00
0335x094127	0335x0941271	17.74	150	425	40	1.00	-	11.00	7.00	0.39	0.28	0.50	0.14	0.05	4.60	10.90	12.52	-1.00
0335x094127	0335x0941272	17.95	150	550	40	1.00	-	15.00	9.00	1.01	0.69	0.92	0.24	0.05	2.15	12.31	3.30	-1.00
0335x094127	0335x0941273	17.47	375	450	40	1.00	-	4.00	8.00	0.36	0.25	0.30	0.42	0.08	13.83	20.32	14.19	-1.00
0335x101145	0335x1011453	22.49	200	400	50	1.00	-	8.00	4.00	0.27	0.21	0.32	0.33	0.10	13.27	6.45	14.59	-1.00
0335x101145	0335x1011452	22.18	125	425	50	1.00	-	11.00	4.00	0.50	0.43	0.56	0.18	0.04	12.52	20.08	13.22	-1.00
0335x103141	0335x1031411	19.98	300	470	50	1.00	-	6.00	3.00	0.59	0.50	0.54	0.39	0.06	3.69	2.29	4.89	-1.00
0335x103141	0335x1031412	19.95	250	470	50	1.00	-	8.00	3.00	0.67	0.57	0.60	0.39	0.05	3.00	0.30	5.10	-1.00
0335x133006	0335x1330062	18.82	150	375	40	1.00	-	9.00	6.00	0.26	0.22	0.32	0.17	0.06	10.28	10.92	10.21	-1.00
0335x133006	0335x1330063	18.74	400	525	40	1.00	-	5.00	9.00	0.41	0.24	0.32	0.36	0.10	11.78	20.76	9.65	-1.00
0335x133006	0335x1330061	17.69	125	470	50	1.00	-	13.00	5.00	0.87	0.69	0.83	0.17	0.06	3.76	20.32	8.72	-1.00
0335x133006	0335x1330064	17.68	300	550	40	1.00	-	10.00	9.00	0.84	0.47	0.73	0.24	0.08	4.90	29.67	9.91	-1.00
0395a542p08	0395a542p081	23.31	325	500	30	1.00	-	7.00	4.00	0.32	0.25	0.28	0.21	0.06	2.40	8.86	3.69	-1.00
0395a542p08	0395a542p082	32.54	150	550	30	1.00	-	14.00	7.00	0.61	0.31	0.37	0.19	0.09	5.75	3.40	11.39	-1.00
0396b141028	0396b1410282	13.12	200	350	40	1.00	-	7.00	6.00	0.53	0.45	0.53	0.20	0.09	11.53	14.46	6.22	-1.00
0396b141028	0396b1410283	13.20	250	450	40	1.00	-	9.00	8.00	0.63	0.48	0.59	0.31	0.09	5.34	29.36	7.18	-1.00
0396b141028	0396b1410281	13.15	250	400	50	1.00	-	7.00	6.00	0.46	0.29	0.36	0.27	0.03	4.43	0.07	13.46	-1.00
0396b141028	0396b1410284	13.10	150	325	40	1.00	-	7.00	5.00	0.66	0.50	0.50	0.23	0.08	6.91	12.90	4.15	-1.00
0396b143031	0396b1430314	15.49	150	450	40	1.00	-	12.00	7.00	0.80	0.62	0.72	0.22	0.04	6.22	19.47	4.51	-1.00
0396b143031	0396b1430315	15.49	0	450	40	1.00	-	14.00	7.00	0.93	0.72	0.92	0.18	0.03	3.13	10.26	6.22	-1.00
0396b143031	0396b1430313	15.49	200	275	40	1.00	-	4.00	3.00	0.25	0.23	0.24	0.44	0.10	2.02	16.25	4.14	-1.00
0396b151039	0396b1510393	12.46	0	300	40	1.00	-	8.00	5.00	0.45	0.32	0.39	0.19	0.07	4.00	14.50	12.09	-1.00
0396b151039	0396b1510392	12.44	0	350	40	1.00	-	10.00	6.00	0.76	0.54	0.62	0.25	0.03	8.31	14.82	6.51	-1.00
0396b151039	0396b1510391	12.46	175	275	50	1.00	-	5.00	4.00	0.35	0.28	0.29	0.33	0.09	5.53	5.66	5.02	-1.00
0407x462021	0407x4620213	22.33	350	425	40	1.00	-	4.00	6.00	0.27	0.30	0.34	0.39	0.04	9.20	16.83	12.44	-1.00
0407x462021	0407x4620211	22.16	250	500	40	1.00	-	9.00	6.00	0.79	0.53	0.67	0.24	0.09	1.68	8.45	11.67	-1.00
0407x463051	0407x4630511	25.67	150	350	40	1.00	-	7.00	5.00	0.42	0.28	0.33	0.32	0.10	7.42	11.21	12.54	-1.00
0407x463051	0407x4630513	25.70	200	350	40	1.00	-	6.00	5.00	0.36	0.29	0.35	0.32	0.08	14.11	1.73	10.79	-1.00
0407x464057	0407x4640571	29.32	150	350	40	1.00	-	7.00	5.00	0.45	0.38	0.43	0.28	0.07	14.44	2.92	14.14	-1.00
0407x464057	0407x4640573	29.38	200	350	40	1.00	-	6.00	5.00	0.37	0.34	0.35	0.36	0.09	8.66	7.54	6.77	-1.00
0407x464057	0407x4640575	29.48	100	350	40	1.00	-	9.00	6.00	0.57	0.61	0.63	0.17	0.07	5.56	29.10	4.03	-1.00
0410a017004	0410a0170041	6.81	150	500	40	1.00	-	13.00	6.00	0.81	0.71	0.86	0.30	0.09	3.10	18.03	4.58	-1.00
0410a017004	0410a0170042	6.76	100	450	40	1.00	-	12.00	6.00	0.94	0.73	0.89	0.28	0.06	7.36	4.85	12.93	-1.00
0410a043026	0410a0430263	10.56	150	325	40	1.00	-	7.00	5.00	0.53	0.28	0.35	0.33	0.09	14.88	17.93	8.32	-1.00
0410a043026	0410a0430262	9.70	250	425	40	1.00	-	7.00	6.00	0.46	0.29	0.32	0.44	0.09	2.59	1.85	8.96	-1.00
0410a043026	0410a0430261	9.63	225	425	40	1.00	-	8.00	6.00	0.40	0.29	0.39	0.33	0.09	4.85	2.42	12.75	-1.00
0417d022p2a	0417d022p2a1	9.23	200	501	40	1.00	-	13.00	4.00	0.85	0.37	0.46	0.28	0.05	8.27	0.26	9.09	-1.00
0417d022p2a	0417d022p2a4	9.23	351	525	40	1.00	-	8.00	4.00	0.63	0.37	0.41	0.50	0.03	0.55	2.49	2.74	-1.00
0417d022p2b	0417d022p2b1	11.22	252	376	40	1.00	-	6.00	4.00	0.30	0.21	0.21	0.26	0.04	4.39	5.95	3.50	-1.00
0417d022p2b	0417d022p2b4	10.07	280	450	40	1.00	-	8.00	4.00	0.39	0.26	0.28	0.24	0.04	4.23	5.69	6.22	-1.00
0417d022p2d	0417d022p2d2	10.22	175	376	40	1.00	-	9.00	4.00	0.34	0.26	0.27	0.21	0.04	4.31	10.83	5.31	-1.00
0417d022p2d	0417d022p2d4	10.22	135	488	40	1.00	-	15.00	4.00	0.81	0.63	0.74	0.30	0.04	2.31	3.28	3.66	-1.00
0417d022p2e	0417d022p2e1	18.51	325	501	40	1.00	-	8.00	4.00	0.68	0.55	0.59	0.44	0.01	1.40	1.03	1.88	-1.00
0417d022p2e	0417d022p2e3	18.51	225	351	40	1.00	-	6.00	4.00	0.23	0.20	0.22	0.24	0.04	4.87	7.13	5.93	-1.00
0417d022p4a	0417d022p4a3	5.89	252	501	40	1.00	-	11.00	4.00	0.86	0.34	0.35	0.25	0.09	4.68	4.31	5.20	-1.00
0417d022p4a	0417d022p4a1	5.89	300	488	40	1.00	-	8.00	4.00	0.61	0.25	0.28	0.45	0.07	0.96	1.71	1.88	-1.00
0417d022p4c	0417d022p4c3	8.93	200	525	40	1.00	-	14.00	4.00	0.93	0.65	0.72	0.28	0.02	1.63	2.24	3.59	-1.00
0417d022p4c	0417d022p4c4	8.93	150	525	40	1.00	-	16.00	4.00	0.96	0.70	0.79	0.23	0.03	1.12	0.97	2.89	-1.00
0418a035p2a	0418a035p2a5	35.47	100	353	40	1.00	-	10.00	3.00	0.66	0.59	0.60	0.30	0.07	2.91	0.82	2.92	-1.00
0418a035p2a	0418a035p2a4	35.44	0	353	40	1.00	-	11.00	3.00	0.77	0.66	0.75	0.28	0.07	4.57	2.86	8.79	-1.00
0418a035p2b	0418a035p2b4	20.28	275	450	40	1.00	-	7.00	5.00	0.48	0.25	0.30	0.21	0.08	3.37	16.96	11.20	-1.00
0418a035p2b	0418a035p2b5	13.53	177	300	40	1.00	-	6.00	3.00	0.44	0.23	0.26	0.30	0.04	12.91	4.35	11.91	-1.00
0418a035p2d	0418a035p2d3	6.52	100	575	40	1.00	-	18.00	6.00	1.17	0.54	0.78	0.10	0.10	8.64	28.15	13.93	-1.00
0418a035p2d	0418a035p2d4	11.95	151	575	40	1.00	-	16.00	6.00	1.12	0.46	0.74	0.11	0.10	8.62	20.54	12.96	-1.00
0418a066001	0418a0660014	12.58	450	550	40	1.00	-	5.00	6.00	0.68	0.42	0.43	0.42	0.04	2.61	4.36	2.03	-1.00
0418a066001	0418a0660013	10.69	200	475	40	1.00	-	12.00	6.00	0.41	0.25	0.30	0.32	0.03	11.32	12.16	8.63	-1.00
0418a066004	0418a0660042	25.32	325	550	40	1.00	-	10.00	6.00	0.50	0.29	0.31	0.20	0.07	1.08	9.41	6.59	-1.00
0418a066004	0418a0660043	25.32	226	425	40	1.00	-	9.00	6.00	0.52	0.32	0.34	0.17	0.04	1.45	18.20	4.60	-1.00
0418a067003	0418a0670034	10.58	174	525	40	1.00	-	15.00	6.00	0.95	0.68	0.73	0.28	0.02	1.72	9.83	3.35	-1.00
0418a067003	0418a0670033	10.58	400	525	40	1.00	-	6.00	6.00	0.82	0.60	0.59	0.37	0.05	1.53	9.30	1.28	-1.00
