tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	magic_software_packages	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_dip
This study	Northern Iceland	is006d	is006	FS-FD:SO-POM	pmagpy-2.129	5.0	5.0	59.0	57.0
This study	Northern Iceland	is006e	is006	FS-FD:SO-POM	pmagpy-2.129	333.0	5.0	59.0	56.0
This study	Northern Iceland	is006f	is006	FS-FD:SO-POM	pmagpy-2.129	280.0	5.0	59.0	77.0
This study	Northern Iceland	is006g	is006	FS-FD:SO-POM	pmagpy-2.129	234.0	5.0	59.0	52.0
This study	Northern Iceland	is006h	is006	FS-FD:SO-POM	pmagpy-2.129	279.0	5.0	59.0	63.0
This study	Northern Iceland	is006i	is006	FS-FD:SO-POM	pmagpy-2.129	202.0	5.0	59.0	54.0
This study	Northern Iceland	is006j	is006	FS-FD:SO-POM	pmagpy-2.129	207.0	5.0	59.0	3.0
This study	Northern Iceland	is006k	is006	FS-FD:SO-POM	pmagpy-2.129	267.0	5.0	59.0	71.0
This study	Northern Iceland	is006l	is006	FS-FD:SO-POM	pmagpy-2.129	272.0	5.0	59.0	80.0
This study	Northern Iceland	is007a	is007	FS-FD:SO-POM	pmagpy-2.129	248.0	5.0	59.0	34.0
This study	Northern Iceland	is007b	is007	FS-FD:SO-POM	pmagpy-2.129	268.0	5.0	59.0	70.0
This study	Northern Iceland	is007c	is007	FS-FD:SO-POM	pmagpy-2.129	322.0	5.0	59.0	69.0
This study	Northern Iceland	is007d	is007	FS-FD:SO-POM	pmagpy-2.129	261.0	5.0	59.0	38.0
This study	Northern Iceland	is007e	is007	FS-FD:SO-POM	pmagpy-2.129	279.0	5.0	59.0	54.0
This study	Northern Iceland	is007f	is007	FS-FD:SO-POM	pmagpy-2.129	263.0	5.0	59.0	56.0
This study	Northern Iceland	is007g	is007	FS-FD:SO-POM	pmagpy-2.129	240.0	5.0	59.0	47.0
This study	Northern Iceland	is007h	is007	FS-FD:SO-POM	pmagpy-2.129	260.0	5.0	59.0	76.0
This study	Northern Iceland	is007i	is007	FS-FD:SO-POM	pmagpy-2.129	220.0	5.0	59.0	78.0
This study	Northern Iceland	is007j	is007	FS-FD:SO-POM	pmagpy-2.129	233.0	5.0	59.0	41.0
This study	Northern Iceland	is007k	is007	FS-FD:SO-POM	pmagpy-2.129	213.0	5.0	59.0	44.0
