tab 	er_sites
er_citation_names	er_expedition_name	er_location_name	er_site_name	site_class	site_definition	site_lat	site_lithology	site_lon	site_type
This study	318	U1359D	318-U1359D-003R_1A-0.6	Sedimentary	s	-64.9043	Not Specified	143.984	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-0.85	Sedimentary	s	-64.9043	Not Specified	143.9841	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-0.9	Sedimentary	s	-64.9043	Not Specified	143.9842	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-0.95	Sedimentary	s	-64.9043	Not Specified	143.9843	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-1.1	Sedimentary	s	-64.9043	Not Specified	143.9844	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-1.15	Sedimentary	s	-64.9043	Not Specified	143.9845	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-1.2	Sedimentary	s	-64.9043	Not Specified	143.9846	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-1.25	Sedimentary	s	-64.9043	Not Specified	143.9847	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-1.3	Sedimentary	s	-64.9043	Not Specified	143.9848	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-1.35	Sedimentary	s	-64.9043	Not Specified	143.9849	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-1.4	Sedimentary	s	-64.9043	Not Specified	143.985	Sediment Layer
This study	318	U1359D	318-U1359D-003R_1A-1.45	Sedimentary	s	-64.9043	Not Specified	143.9851	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.1	Sedimentary	s	-64.9043	Not Specified	143.9852	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.25	Sedimentary	s	-64.9043	Not Specified	143.9853	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.3	Sedimentary	s	-64.9043	Not Specified	143.9854	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.35	Sedimentary	s	-64.9043	Not Specified	143.9855	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.4	Sedimentary	s	-64.9043	Not Specified	143.9856	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.45	Sedimentary	s	-64.9043	Not Specified	143.9857	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.5	Sedimentary	s	-64.9043	Not Specified	143.9858	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.65	Sedimentary	s	-64.9043	Not Specified	143.9859	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.7	Sedimentary	s	-64.9043	Not Specified	143.986	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.75	Sedimentary	s	-64.9043	Not Specified	143.9861	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.85	Sedimentary	s	-64.9043	Not Specified	143.9862	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.9	Sedimentary	s	-64.9043	Not Specified	143.9863	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-0.95	Sedimentary	s	-64.9043	Not Specified	143.9864	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-1.35	Sedimentary	s	-64.9043	Not Specified	143.9865	Sediment Layer
This study	318	U1359D	318-U1359D-003R_2A-1.4	Sedimentary	s	-64.9043	Not Specified	143.9866	Sediment Layer
This study	318	U1359D	318-U1359D-003R_3A-0.65	Sedimentary	s	-64.9043	Not Specified	143.9867	Sediment Layer
This study	318	U1359D	318-U1359D-003R_3A-0.7	Sedimentary	s	-64.9043	Not Specified	143.9868	Sediment Layer
This study	318	U1359D	318-U1359D-003R_3A-0.75	Sedimentary	s	-64.9043	Not Specified	143.9869	Sediment Layer
This study	318	U1359D	318-U1359D-003R_3A-0.8	Sedimentary	s	-64.9043	Not Specified	143.987	Sediment Layer
This study	318	U1359D	318-U1359D-003R_3A-0.85	Sedimentary	s	-64.9043	Not Specified	143.9871	Sediment Layer
This study	318	U1359D	318-U1359D-003R_3A-0.9	Sedimentary	s	-64.9043	Not Specified	143.9872	Sediment Layer
This study	318	U1359D	318-U1359D-003R_3A-1.35	Sedimentary	s	-64.9043	Not Specified	143.9873	Sediment Layer
This study	318	U1359D	318-U1359D-003R_3A-1.4	Sedimentary	s	-64.9043	Not Specified	143.9874	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.35	Sedimentary	s	-64.9043	Not Specified	143.9875	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.4	Sedimentary	s	-64.9043	Not Specified	143.9876	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.45	Sedimentary	s	-64.9043	Not Specified	143.9877	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.5	Sedimentary	s	-64.9043	Not Specified	143.9878	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.6	Sedimentary	s	-64.9043	Not Specified	143.9879	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.65	Sedimentary	s	-64.9043	Not Specified	143.988	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.7	Sedimentary	s	-64.9043	Not Specified	143.9881	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.75	Sedimentary	s	-64.9043	Not Specified	143.9882	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.8	Sedimentary	s	-64.9043	Not Specified	143.9883	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.85	Sedimentary	s	-64.9043	Not Specified	143.9884	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-0.9	Sedimentary	s	-64.9043	Not Specified	143.9885	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-1.1	Sedimentary	s	-64.9043	Not Specified	143.9886	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-1.15	Sedimentary	s	-64.9043	Not Specified	143.9887	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-1.2	Sedimentary	s	-64.9043	Not Specified	143.9888	Sediment Layer
This study	318	U1359D	318-U1359D-003R_4A-1.25	Sedimentary	s	-64.9043	Not Specified	143.9889	Sediment Layer
This study	318	U1359D	318-U1359D-003R_5A-0.5	Sedimentary	s	-64.9043	Not Specified	143.989	Sediment Layer
This study	318	U1359D	318-U1359D-003R_5A-0.55	Sedimentary	s	-64.9043	Not Specified	143.9891	Sediment Layer
This study	318	U1359D	318-U1359D-003R_5A-0.6	Sedimentary	s	-64.9043	Not Specified	143.9892	Sediment Layer
This study	318	U1359D	318-U1359D-003R_5A-0.65	Sedimentary	s	-64.9043	Not Specified	143.9893	Sediment Layer
This study	318	U1359D	318-U1359D-003R_5A-0.7	Sedimentary	s	-64.9043	Not Specified	143.9894	Sediment Layer
This study	318	U1359D	318-U1359D-003R_5A-1.15	Sedimentary	s	-64.9043	Not Specified	143.9895	Sediment Layer
This study	318	U1359D	318-U1359D-003R_5A-1.4	Sedimentary	s	-64.9043	Not Specified	143.9896	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.1	Sedimentary	s	-64.9043	Not Specified	143.9897	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.15	Sedimentary	s	-64.9043	Not Specified	143.9898	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.2	Sedimentary	s	-64.9043	Not Specified	143.9899	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.25	Sedimentary	s	-64.9043	Not Specified	143.99	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.3	Sedimentary	s	-64.9043	Not Specified	143.9901	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.35	Sedimentary	s	-64.9043	Not Specified	143.9902	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.45	Sedimentary	s	-64.9043	Not Specified	143.9903	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.5	Sedimentary	s	-64.9043	Not Specified	143.9904	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.55	Sedimentary	s	-64.9043	Not Specified	143.9905	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.6	Sedimentary	s	-64.9043	Not Specified	143.9906	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.65	Sedimentary	s	-64.9043	Not Specified	143.9907	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.7	Sedimentary	s	-64.9043	Not Specified	143.9908	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.75	Sedimentary	s	-64.9043	Not Specified	143.9909	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.8	Sedimentary	s	-64.9043	Not Specified	143.991	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.85	Sedimentary	s	-64.9043	Not Specified	143.9911	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.9	Sedimentary	s	-64.9043	Not Specified	143.9912	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-0.95	Sedimentary	s	-64.9043	Not Specified	143.9913	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-1	Sedimentary	s	-64.9043	Not Specified	143.9914	Sediment Layer
This study	318	U1359D	318-U1359D-003R_6A-1.05	Sedimentary	s	-64.9043	Not Specified	143.9915	Sediment Layer
This study	318	U1359D	318-U1359D-003R_7A-0.1	Sedimentary	s	-64.9043	Not Specified	143.9916	Sediment Layer
This study	318	U1359D	318-U1359D-003R_7A-0.15	Sedimentary	s	-64.9043	Not Specified	143.9917	Sediment Layer
This study	318	U1359D	318-U1359D-003R-1-W-62	Sedimentary	s	-64.9043	Not Specified	143.9594	Sediment Layer
This study	318	U1359D	318-U1359D-003R-2-W-108	Sedimentary	s	-64.9043	Not Specified	143.9595	Sediment Layer
This study	318	U1359D	318-U1359D-003R-3-W-36	Sedimentary	s	-64.9043	Not Specified	143.9596	Sediment Layer
This study	318	U1359D	318-U1359D-003R-4-W-48	Sedimentary	s	-64.9043	Not Specified	143.9597	Sediment Layer
This study	318	U1359D	318-U1359D-003R-5-W-4	Sedimentary	s	-64.9043	Not Specified	143.9598	Sediment Layer
This study	318	U1359D	318-U1359D-003R-6-W-54	Sedimentary	s	-64.9043	Not Specified	143.9599	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-0.1	Sedimentary	s	-64.9043	Not Specified	143.9918	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-0.15	Sedimentary	s	-64.9043	Not Specified	143.9919	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-0.2	Sedimentary	s	-64.9043	Not Specified	143.992	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-0.25	Sedimentary	s	-64.9043	Not Specified	143.9921	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-0.3	Sedimentary	s	-64.9043	Not Specified	143.9922	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-0.35	Sedimentary	s	-64.9043	Not Specified	143.9923	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-1.25	Sedimentary	s	-64.9043	Not Specified	143.9924	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-1.3	Sedimentary	s	-64.9043	Not Specified	143.9925	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-1.35	Sedimentary	s	-64.9043	Not Specified	143.9926	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-1.4	Sedimentary	s	-64.9043	Not Specified	143.9927	Sediment Layer
This study	318	U1359D	318-U1359D-004R_1A-1.45	Sedimentary	s	-64.9043	Not Specified	143.9928	Sediment Layer
This study	318	U1359D	318-U1359D-004R_2A-0.95	Sedimentary	s	-64.9043	Not Specified	143.9929	Sediment Layer
This study	318	U1359D	318-U1359D-004R_2A-1	Sedimentary	s	-64.9043	Not Specified	143.993	Sediment Layer
This study	318	U1359D	318-U1359D-004R_2A-1.05	Sedimentary	s	-64.9043	Not Specified	143.9931	Sediment Layer
