tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_lithology	site_type
This study	DSDP Site 522	15-2-098	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-101	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-104	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-107	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-109	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-113	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-116	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-119	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-123	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-126	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-128	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-132	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-135	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-138	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-141	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-143	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-147	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-2-150	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-001	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-004	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-007	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-010	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-013	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-015	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-019	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-022	sedimentary	s	nannofossil ooze	sedimentary layer
This study	DSDP Site 522	15-3-025	sedimentary	s	nannofossil ooze	sedimentary layer
