tab 	sites																															
age	age_high	age_low	age_unit	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
-740	-732	-800	Years Cal AD (+/-)	This study		Tel Hazor startum 5											Archeologic	Mixed Archeological Objects	33.0168	Not Specified	Tel Hazor	35.568		i	hz05							
-740	-732	-800	Years Cal AD (+/-)	This study		Tel Hazor startum 6											Archeologic	Mixed Archeological Objects	33.0168	Not Specified	Tel Hazor	35.568		i	hz06							
-850	-800	-900	Years Cal AD (+/-)	This study		Tel Hazor startum 7											Archeologic	Mixed Archeological Objects	33.0168	Not Specified	Tel Hazor	35.568		i	hz07							
-950	-900	-1000	Years Cal AD (+/-)	This study		Tel Hazor startum 9											Archeologic	Mixed Archeological Objects	33.0168	Not Specified	Tel Hazor	35.568		i	hz09							
-950	-900	-1000	Years Cal AD (+/-)	This study		Tel Hazor startum 10											Archeologic	Mixed Archeological Objects	33.0168	Not Specified	Tel Hazor	35.568		i	hz10							
-1050	-1000	-1100	Years Cal AD (+/-)	This study		Tel Hazor startum 11											Archeologic	Mixed Archeological Objects	33.0168	Not Specified	Tel Hazor	35.568		i	hz11							
-1250	-1250	-1350	Years Cal AD (+/-)	This study		Tel Hazor startum 13											Archeologic	Mixed Archeological Objects	33.0168	Not Specified	Tel Hazor	35.568		i	hz13							
-1550	-1450	-1650	Years Cal AD (+/-)	This study		Tel Hazor startum 15											Archeologic	Mixed Archeological Objects	33.0168	Not Specified	Tel Hazor	35.568		i	hz15							
-2150	-2000	-2300	Years Cal AD (+/-)	This study		Tel Hazor startum 18											Archeologic	Mixed Archeological Objects	33.0168	Not Specified	Tel Hazor	35.568		i	hz18							
-2700	-2500	-2800	Years Cal AD (+/-)	This study		Tel Hazor startum 20											Archeologic	Mixed Archeological Objects	33.0168	Not Specified	Tel Hazor	35.568		i	hz20							
-1450	-1400	-1500	Years Cal AD (+/-)	This study		Tel Megiddo stratum F-10											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgf10							
-1800	-1700	-1900	Years Cal AD (+/-)	This study		Tel Megiddo stratum  F-13											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgf13							
-740	-732	-800	Years Cal AD (+/-)	This study		Tel Megiddo stratum  H-3											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgh03							
-900			Years Cal AD (+/-)	This study		Tel Megiddo stratum  H-5											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgh05							
-900	-850	-950	Years Cal AD (+/-)	This study		Tel Megiddo stratum  H-7											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgh07							
-1000	-950	-1050	Years Cal AD (+/-)	This study		Tel Megiddo stratum  H-9											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgh09							
-1125	-1100	-1150	Years Cal AD (+/-)	This study		Tel Megiddo stratum  H-12											Archeologic	Mixed Archeological Objects	32.585	Not Specified	Tel Megiddo	35.185		i	mgh12							
-1125			Years Cal AD (+/-)	This study		Oven in stratum H-12											Archeologic	Oven	32.585	Not Specified	Tel Megiddo	35.185		i	mgh12t1							
-1125			Years Cal AD (+/-)	This study	ACCEPT	Site direction included in results table	4.2	Fit 1	4.8	56.9	131	10	10	0	9.9313	0	Archeologic		32.585	Not Specified	Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgh12t1	pmagpy-3.3.2	mgh12t101:mgh12t102:mgh12t1a1:mgh12t1c1:mgh12t1d1:mgh12t1e1:mgh12t1f1:mgh12t1g1:mgh12t1h1:mgh12t1i2					
