tab	samples
azimuth	citations	cooling_rate	criteria	description	dip	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	result_type	sample	site	software_packages	specimens	location
	This study			paleointensity mean				6.48e-05	1.94e-06	2.82	4	33.0168		35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	hz10c	hz10c	pmagpy-3.4.1: thellier_gui.v.3.0	hz10c1:hz10c2:hz10c5:hz10c6	
	This study			paleointensity mean				6.59e-05	8.50e-07	1.21	3	33.0168		35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	hz10d	hz10d	pmagpy-3.4.1: thellier_gui.v.3.0	hz10d1:hz10d2:hz10d3	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.84e-05	8.51e-08	0.12	3	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz11a	hz11a	pmagpy-3.4.1: thellier_gui.v.3.0	hz11a1:hz11a2:hz11a3	
	This study			paleointensity mean				6.11e-05	7.61e-07	1.16	3	33.0168		35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	hz11b	hz11b	pmagpy-3.4.1: thellier_gui.v.3.0	hz11b1:hz11b2:hz11b3	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.94e-05	2.94e-06	4.83	4	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz11c	hz11c	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c1:hz11c2:hz11c4:hz11c5	
	This study			paleointensity mean				6.02e-05	1.81e-06	2.86	7	33.0168		35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	hz13a	hz13a	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a1:hz13a2:hz13a3:hz13a4:hz13a5:hz13a6:hz13a7	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.51e-05	9.28e-07	1.70	5	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz13b	hz13b	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b1:hz13b2:hz13b3:hz13b4:hz13b5	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	6.00e-05	3.22e-07	0.51	6	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:LP-AN-ARM:IE-TT		hz13e	hz13e	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e1:hz13e2:hz13e3:hz13e4:hz13e5:hz13e6	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.67e-05	7.82e-07	1.34	3	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz13f	hz13f	pmagpy-3.4.1: thellier_gui.v.3.0	hz13f1:hz13f2:hz13f3	
	This study			paleointensity mean				5.01e-05	2.23e-07	0.42	3	33.0168		35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	hz15a	hz15a	pmagpy-3.4.1: thellier_gui.v.3.0	hz15a1:hz15a2:hz15a3	
	This study			paleointensity mean				4.88e-05	8.00e-07	1.48	3	33.0168		35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	hz15b	hz15b	pmagpy-3.4.1: thellier_gui.v.3.0	hz15b1:hz15b2:hz15b3	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.00e-05	1.22e-06	2.32	3	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz15c	hz15c	pmagpy-3.4.1: thellier_gui.v.3.0	hz15c1:hz15c2:hz15c3	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.50e-05	2.30e-06	4.77	4	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz18a	hz18a	pmagpy-3.4.1: thellier_gui.v.3.0	hz18a1:hz18a3:hz18a4:hz18a5	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.78e-05	5.57e-07	1.09	4	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz18d	hz18d	pmagpy-3.4.1: thellier_gui.v.3.0	hz18d2:hz18d3:hz18d4:hz18d5	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.63e-05	5.89e-07	1.20	3	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz18e	hz18e	pmagpy-3.4.1: thellier_gui.v.3.0	hz18e1:hz18e2:hz18e3	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.20e-05	1.40e-06	3.15	4	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz20b	hz20b	pmagpy-3.4.1: thellier_gui.v.3.0	hz20b2:hz20b3:hz20b4:hz20b6	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.25e-05	8.82e-07	1.98	6	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz20c	hz20c	pmagpy-3.4.1: thellier_gui.v.3.0	hz20c1:hz20c2:hz20c3:hz20c4:hz20c5:hz20c6	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	3.14e-05	1.18e-06	3.49	3	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz20e	hz20e	pmagpy-3.4.1: thellier_gui.v.3.0	hz20e1:hz20e2:hz20e3	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	3.63e-05	7.25e-07	1.90	3	33.017	Not Specified	35.568	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		hz20f	hz20f	pmagpy-3.4.1: thellier_gui.v.3.0	hz20f1:hz20f2:hz20f3	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	4.97e-05	9.65e-07	1.80	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgf10a	mgf10a	pmagpy-3.4.1: thellier_gui.v.3.0	mgf10a01:mgf10a02:mgf10a03:mgf10a05	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.00e-05	3.17e-06	5.71	5	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgf10b	mgf10b	pmagpy-3.4.1: thellier_gui.v.3.0	mgf10b01:mgf10b03:mgf10b05:mgf10b06:mgf10b08	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	5.22e-05	2.47e-06	4.36	4	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT	i	mgf10d	mgf10d	pmagpy-3.4.1: thellier_gui.v.3.0	mgf10d01:mgf10d03:mgf10d04:mgf10d05	
	This study	4.38E+11		paleointensity mean		Archeologic	Mixed Archeological Objects	3.84e-05	1.69e-06	3.95	7	32.585	Not Specified	35.185	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgf13b	mgf13b	pmagpy-3.4.1: thellier_gui.v.3.0	mgf13b01:mgf13b02:mgf13b03:mgf13b10:mgf13b11:mgf13b13:mgf13b14	
