Specimen	|B_Lab| (muT)	B_Lab_x	B_Lab_y	B_Lab_z
187A	50.0	0	0	-1
283A	50.0	0	0	-1
A-3-3	30.0	0	0	-1
AL2770-3b	25.0	0	0	1
BR06-4F	50.25	1	0	0
C-4-4L	30.0	0	0	-1
HEL2-2d	50.25	1	0	0
KF-3-1	60.0	0	0	1
LV6C3A	30.0	0	0	-1
m428b1	25.0	0	0	1
MCT	100.0	0	0	1
MSH6E13	30.0	0	0	-1
P1MY	50.3	0	0	1
RD2358-4f	40.0	0	0	1
RS25b	40.0	0	0	-1
RS26a	40.0	0	0	-1
RS26e	40.0	0	0	-1
TS01-20A-2	45.0	0	0	0
VM1F	50.3	0	0	1
W3	60.0	0	0	-1
