tab 	locations
age_high	age_low	age_unit	citations	conglomerate_test	contact_test	continent_ocean	country	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_k_ratio	dir_n_samples	dir_n_sites	dir_polarity	dir_tilt_correction	external_database_ids	fold_test	fold_test_significance	geologic_classes	geological_province_sections	lat_n	lat_s	lithologies	location	location_alternatives	location_type	lon_e	lon_w	method_codes	pole_antipodal_angle	pole_comp_name	pole_dm	pole_dp	pole_lat	pole_lon	pole_reversed_perc	region	result_name	result_type	reversal_test	rock_magnetic_test	terranes	village_city
100	65	Ma	10.1016/0012-821X(76)90126-6	ND	ND	Europe	Italy	AF to 50mT, minimum dispersion.	17.4	74.8	28.7	29		33	4		100		ND		Extrusive		38	38	Extrusives	Sicily Cretaceous Volcanics		Outcrop	13	13	DE-DI:LT-AF-Z:LP-DC2			19.1	10.6	21.2	100	0	Sicily	2394	i	ND	ND	Sicily	
133	100	Ma	10.1130/0016-7606(2000)112<1430:ECMSIT>2.0.CO;2	ND	ND	Europe	Italy	Upper Hauterivian to Albian. Extent Thickness 117m. Thermal to 575C, AF to 100mT, characteristic component.	2.3	317	31.6	11.8		343	343		100		ND		Sedimentary	Cismon Section	46	46	shales:Limestone	Cismon Section		Outcrop	11.8	11.8	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.9		2.9	1.6	44.2	257.3	36	Southern Alps	8559	i	Ra	ND		
133	100	Ma	10.1130/0016-7606(2000)112<1430:ECMSIT>2.0.CO;2	ND	ND	Europe	Italy	Upper Hauterivian to Albian. Extent Thickness 117m. Thermal to 575C, AF to 100mT, characteristic component.	2.5	304.3	54.9	10.6			343		0		ND		Sedimentary	Cismon Section	46	46	shales:Limestone	Cismon Section		Outcrop	11.8	11.8	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.9		2.9	1.6	44.2	257.3	36	Southern Alps	8559	i	Ra	ND		
133	100	Ma	10.1130/0016-7606(2000)112<1430:ECMSIT>2.0.CO;2	ND	ND	Europe	Italy	Upper Hauterivian to Albian. Extent Thickness 117m. Thermal to 575C, AF to 100mT, characteristic component.	2.7	316.7	32.7	13.3			219	n	100		ND		Sedimentary	Cismon Section	46	46	shales:Limestone	Cismon Section		Outcrop	11.8	11.8	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.9		2.9	1.6	44.2	257.3	36	Southern Alps	8559	i	Ra	ND		
133	100	Ma	10.1130/0016-7606(2000)112<1430:ECMSIT>2.0.CO;2	ND	ND	Europe	Italy	Upper Hauterivian to Albian. Extent Thickness 117m. Thermal to 575C, AF to 100mT, characteristic component.	4.3	137.6	-29.7	9.7			124	r	100		ND		Sedimentary	Cismon Section	46	46	shales:Limestone	Cismon Section		Outcrop	11.8	11.8	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4	176.9		2.9	1.6	44.2	257.3	36	Southern Alps	8559	i	Ra	ND		
60	20	Ma	10.1016/0040-1951(90)90149-3	ND	ND	Europe	Italy	Neocomian to Aptian age?. AF to 100mT, thermal to 300C, characteristic component. Secondary magnetization mid-Tertiary?.	4.9	132	-61.4	50.2		36	18		100		ND		Sedimentary	Monte Raparo	40.2	40.2	Limestone	Monte Raparo Limestones		Outcrop	16	16	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4			7.5	5.8	54	306	100	Southern Apennines	6478	i	ND	ND		
60	20	Ma	10.1016/0040-1951(90)90149-3	ND	ND	Europe	Italy	Neocomian to Aptian age?. AF to 100mT, thermal to 300C, characteristic component. Secondary magnetization mid-Tertiary?.	5.5	77.5	-85.3	41			18		0		ND		Sedimentary	Monte Raparo	40.2	40.2	Limestone	Monte Raparo Limestones		Outcrop	16	16	DE-DI:LT-AF-Z:LT-T-Z:LP-DC4			7.5	5.8	54	306	100	Southern Apennines	6478	i	ND	ND		
80	60	Ma	10.1016/0012-821X(89)90024-1	ND	ND	Europe	Portugal	Oxfordian to Valanginian. Thermal component 250-400C, AF 30-80mT. IRM (sat. 0. 3T). Probably remagnetized at time of Lisbon Volcanics.	8	352	30	91		45	5		100		Fo	25	Sedimentary		38.8	38.8	Limestone	Lisbon Area Oxfordian-Valanginian Sediments		Outcrop	350.6	350.6	DE-DI:LT-AF-Z:LT-T-Z:LP-DC3			8.9	4.9	66.2	190	0	Portugal	6204	i	ND	M	Iberia	Lisbon Area
80	60	Ma	10.1016/0012-821X(89)90024-1	ND	ND	Europe	Portugal	Oxfordian to Valanginian. Thermal component 250-400C, AF 30-80mT. IRM (sat. 0. 3T). Probably remagnetized at time of Lisbon Volcanics.	10	296	80	59	0.66		5		0		Fo	25	Sedimentary		38.8	38.8	Limestone	Lisbon Area Oxfordian-Valanginian Sediments		Outcrop	350.6	350.6	DE-DI:LT-AF-Z:LT-T-Z:LP-DC3			8.9	4.9	66.2	190	0	Portugal	6204	i	ND	M	Iberia	Lisbon Area
80	60	Ma	10.1016/0012-821X(89)90024-1	ND	ND	Europe	Portugal	Oxfordian to Valanginian. Thermal component 250-400C, AF 30-80mT. IRM (sat. 0. 3T). Probably remagnetized at time of Lisbon Volcanics.	8	352	30	91			5		0		Fo	25	Sedimentary		38.8	38.8	Limestone	Lisbon Area Oxfordian-Valanginian Sediments		Outcrop	350.6	350.6	DE-DI:LT-AF-Z:LT-T-Z:LP-DC3			8.9	4.9	66.2	190	0	Portugal	6204	i	ND	M	Iberia	Lisbon Area
