tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	171.6	g	28	3.900e-05	6	273.		4.000e-05	0.00	90.00	373.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	170.9	g	29.7	3.930e-05	7	273.		4.000e-05	0.00	90.00	473.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	170.6	g	26.9	3.800e-05	8	273.		0	0	0	523.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	172.3	g	30.6	3.880e-05	9	273.		4.000e-05	0.00	90.00	523.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	170.5	g	27.4	3.630e-05	10	273.		0	0	0	573.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	171.5	g	29.8	3.710e-05	11	273.		4.000e-05	0.00	90.00	473.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	171	g	32.2	3.750e-05	12	273.		4.000e-05	0.00	90.00	573.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	172.1	g	27.5	3.400e-05	13	273.		0	0	0	623.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	170.7	g	35.1	3.600e-05	14	273.		4.000e-05	0.00	90.00	623.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	171.4	g	27.7	2.880e-05	15	273.		0	0	0	673.00
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	178.1	g	34.1	3.110e-05	16	273.		4.000e-05	0.00	90.00	573.00
