tab	specimens
specimen	sample	citations	method_codes	result_quality	result_type
sr01e2	sr01e	a different study		g	i
sr01g2	sr01g	This study		g	i
sr01a1	sr01a	This study		g	i
sr01a2	sr01a	This study		g	i
sr01c2	sr01c	This study		g	i
sr01d1	sr01d	This study		g	i
sr01i1	sr01i	This study		g	i
sr01f2	sr01f	This study		g	i
