tab	er_ages
er_citation_names	er_location_name	er_site_name	er_sample_name	age	age_range_low	age_range_high	age_unit	age_description
This study	Mitsero Kokkinoyia	mk104101	mk104101	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk104301	mk104301	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk104701	mk104701	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk104801	mk104801	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk105101	mk105101	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk105201	mk105201	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk105202	mk105202	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk105301	mk105301	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk105601	mk105601	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk105701	mk105701	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk105702	mk105702	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk105703	mk105703	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk105901	mk105901	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk106101	mk106101	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk106102	mk106102	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Mitsero Kokkinoyia	mk106103	mk106103	-600	-800	-400	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
