tab	er_ages
er_citation_names	er_location_name	er_site_name	er_sample_name	age	age_range_low	age_range_high	age_unit	age_description
This study	Skouriotissa Vouppes	su100601	su100601	442	437	447	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su100901	su100901	441	436	446	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su100902	su100902	441	436	446	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su101001	su101001	442	437	447	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su101201	su101201	440	435	445	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su101501	su101501	374	369	379	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su101701	su101701	374	369	379	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su101801	su101801	374	369	379	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su102201	su102201	379	374	384	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su102301	su102301	378	373	383	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su102401	su102401	379	374	384	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su102501	su102501	379	374	384	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su102801	su102801	382	377	387	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su102901	su102901	383	378	388	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su102902	su102902	383	378	388	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su103201	su103201	362	357	367	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su103502	su103502	368	363	373	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su103503	su103503	368	363	373	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su104101	su104101	370	365	375	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su104701	su104701	374	369	379	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su105001	su105001	382	377	387	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su105101	su105101	384	379	389	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su105301	su105301	384	379	389	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su105501	su105501	389	384	394	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su106801	su106801	350	345	355	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su106802	su106802	350	345	355	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su106901	su106901	435	430	440	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su107101	su107101	433	428	438	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su107103	su107103	433	428	438	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su107201	su107201	432	427	437	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su107202	su107202	432	427	437	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su107501	su107501	429	424	434	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su107502	su107502	429	424	434	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su107601	su107601	430	425	435	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su107602	su107602	430	425	435	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su108402	su108402	342	337	347	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su108801	su108801	340	335	345	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su108901	su108901	349	344	354	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109001	su109001	350	345	355	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109101	su109101	426	421	431	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109102	su109102	426	421	431	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109201	su109201	425	420	430	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109301	su109301	422	417	427	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109302	su109302	422	417	427	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109401	su109401	421	416	426	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109501	su109501	419	414	424	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109701	su109701	418	413	423	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109702	su109702	418	413	423	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su109801	su109801	410	405	415	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110001	su110001	407	402	412	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110002	su110002	407	402	412	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110101	su110101	406	401	411	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110201	su110201	410	405	415	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110301	su110301	413	408	418	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110401	su110401	412	407	417	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110402	su110402	412	407	417	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110501	su110501	400	395	405	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110502	su110502	400	395	405	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110701	su110701	398	393	403	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su110801	su110801	396	391	401	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su111401	su111401	389	384	394	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su111501	su111501	388	383	393	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su111601	su111601	388	383	393	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su111702	su111702	387	382	392	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
This study	Skouriotissa Vouppes	su111801	su111801	386	381	391	Years Cal AD (+/-)	68% interval of 14C Bayesian model. See Shaar et al. (2012) for details
