tab 	specimens
dir_dec	dir_inc	dir_tilt_correction	method_code	specimen
195.413563558	-51.3094179116	g	SO-CMD-NORTH	sr28c1
199.585923241	-46.148380666	g	SO-CMD-NORTH	sr28e1
199.585923241	-46.148380666	g	SO-CMD-NORTH	sr28e1
194.610088523	-47.2972338724	g	SO-CMD-NORTH	sr28f1
194.610088523	-47.2972338724	g	SO-CMD-NORTH	sr28f1
196.502337127	-48.0265682017	g	SO-CMD-NORTH	sr28h1
196.502337127	-48.0265682017	g	SO-CMD-NORTH	sr28h1
4.10327123244	60.4731408911	g	SO-CMD-NORTH	sr29a1
4.10327123244	60.4731408911	g	SO-CMD-NORTH	sr29a1
3.92627524876	62.3924428295	g	SO-CMD-NORTH	sr29a2
3.92627524876	62.3924428295	g	SO-CMD-NORTH	sr29a2
4.71452300412	62.2296998716	g	SO-CMD-NORTH	sr29b1
4.71452300412	62.2296998716	g	SO-CMD-NORTH	sr29b1
11.2047295362	59.1231134333	g	SO-CMD-NORTH	sr29c1
11.2047295362	59.1231134333	g	SO-CMD-NORTH	sr29c1
9.86726408627	61.8461542713	g	SO-CMD-NORTH	sr29g1
9.86726408627	61.8461542713	g	SO-CMD-NORTH	sr29g1
10.6712137598	62.9677071264	g	SO-CMD-NORTH	sr29h1
10.6712137598	62.9677071264	g	SO-CMD-NORTH	sr29h1
15.3210329614	63.7002149613	g	SO-SUN	sr30a1
15.3210329614	63.7002149613	g	SO-SUN	sr30a1
10.5339170725	61.394892243	g	SO-SUN	sr30a2
10.5339170725	61.394892243	g	SO-SUN	sr30a2
3.43678407794	66.9802920779	g	SO-SUN	sr30c1
3.43678407794	66.9802920779	g	SO-SUN	sr30c1
354.482402704	68.9402328362	g	SO-SUN	sr30e1
354.482402704	68.9402328362	g	SO-SUN	sr30e1
6.99349431498	65.2806365001	g	SO-SUN	sr30i1
6.99349431498	65.2806365001	g	SO-SUN	sr30i1
23.5769317923	54.8239969556	g	SO-SUN	sr31a1
23.5769317923	54.8239969556	g	SO-SUN	sr31a1
23.3421732629	55.3569188776	g	SO-SUN	sr31a2
23.3421732629	55.3569188776	g	SO-SUN	sr31a2
19.6537184119	53.8172255223	g	SO-SUN	sr31b3
19.6537184119	53.8172255223	g	SO-SUN	sr31b3
23.8218337416	55.2488439815	g	SO-SUN	sr31c1
23.8218337416	55.2488439815	g	SO-SUN	sr31c1
21.2311286483	55.7604660525	g	SO-SUN	sr31d1
21.2311286483	55.7604660525	g	SO-SUN	sr31d1
40.0287038274	45.8728075096	g	SO-SUN	sr31f1
40.0287038274	45.8728075096	g	SO-SUN	sr31f1
197.952337347	-44.3069292252	g	SO-SUN	sr34b1
197.952337347	-44.3069292252	g	SO-SUN	sr34b1
198.944542749	-52.9820007653	g	SO-SUN	sr34c1
198.944542749	-52.9820007653	g	SO-SUN	sr34c1
269.240587038	-42.4870586592	g	SO-SUN	sr34f3
269.240587038	-42.4870586592	g	SO-SUN	sr34f3
205.974032229	-51.9926774649	g	SO-SUN	sr34j1
205.974032229	-51.9926774649	g	SO-SUN	sr34j1
209.320193034	-48.7989587299	g	SO-SUN	sr34k1
209.320193034	-48.7989587299	g	SO-SUN	sr34k1
176.076895684	-49.1880420212	g	SO-SUN	sr37a2
176.076895684	-49.1880420212	g	SO-SUN	sr37a2
177.271842879	-56.4734198117	g	SO-SUN	sr37b1
177.271842879	-56.4734198117	g	SO-SUN	sr37b1
181.610247313	-40.6601558501	g	SO-CMD-NORTH	sr37e1
153.249813097	-65.6042257902	g	SO-SUN	sr37h1
169.408397516	-55.1676792868	g	SO-SUN	sr37j1
169.408397516	-55.1676792868	g	SO-SUN	sr37j1
192.175437619	-45.0106478063	g	SO-CMD-NORTH	sr39a1
192.175437619	-45.0106478063	g	SO-CMD-NORTH	sr39a1
193.972087599	-37.3975387964	g	SO-CMD-NORTH	sr39b1
193.972087599	-37.3975387964	g	SO-CMD-NORTH	sr39b1
194.585977178	-43.3707341445	g	SO-CMD-NORTH	sr39c1
194.585977178	-43.3707341445	g	SO-CMD-NORTH	sr39c1
199.879389078	-43.9657383846	g	SO-CMD-NORTH	sr39i1
199.879389078	-43.9657383846	g	SO-CMD-NORTH	sr39i1
185.327928724	-62.0875036238	g	SO-SUN	sr40a1
185.327928724	-62.0875036238	g	SO-SUN	sr40a1
188.997173032	-61.4983027287	g	SO-SUN	sr40c2
188.997173032	-61.4983027287	g	SO-SUN	sr40c2
192.562210752	-62.1827857121	g	SO-SUN	sr40d1
192.562210752	-62.1827857121	g	SO-SUN	sr40d1
192.391986864	-51.1083079293	g	SO-SUN	sr40g1
192.391986864	-51.1083079293	g	SO-SUN	sr40g1
326.18543882	64.9776958117	g	SO-SUN	sr01f2
147.239097351	-60.9094112116	g	SO-CMD-NORTH	sr03g1
9.712348208	58.0292399548	g	SO-CMD-NORTH	sr04d2
6.68311798599	54.3152936896	g	SO-CMD-NORTH	sr04g1
9.18188827945	50.6775188507	g	SO-SUN	sr04h3
14.0025701038	74.7023611989	g	SO-SUN	sr09c3
9.82617369335	79.2139749928	g	SO-SUN	sr09g1
13.8917707178	78.7650139102	g	SO-SUN	sr09i1
230.242202781	25.8980567524	g	SO-CMD-NORTH	sr11f1
15.9536199841	47.3956123995	g	SO-CMD-NORTH	sr12a3
15.5165428673	45.5305983775	g	SO-CMD-NORTH	sr12b1
17.0096936303	48.6584541544	g	SO-CMD-NORTH	sr12e1
338.284602705	59.853605048	g	SO-SUN	sr16a1
359.810559482	66.5287985267	g	SO-SUN	sr16b1
336.272650572	65.1837397879	g	SO-SUN	sr16c1
353.105756548	67.6036326057	g	SO-SUN	sr16d1
329.949153986	62.5454188834	g	SO-SUN	sr16f1
189.475808359	-33.4525208129	g	SO-SUN	sr19e2
200.898734924	-49.4296614538	g	SO-SUN	sr19i1
345.08410055	56.6257003966	g	SO-SUN	sr20c1
347.440561297	56.1170102513	g	SO-SUN	sr20f1
342.156355315	61.3094725083	g	SO-SUN	sr20g1
332.279634645	31.2871996221	g	SO-SUN	sr20i2
331.470784094	57.4140582705	g	SO-SUN	sr20j2
170.771850769	-65.300891252	g	SO-SUN	sr21b2
164.900428554	-67.9393714694	g	SO-SUN	sr21g2
175.258802562	-67.2321695854	g	SO-SUN	sr21j2
145.521782735	25.665823601	g	SO-SUN	sr22a1
4.90266012679	32.7475886002	g	SO-CMD-NORTH	sr22g1
0.0742956690289	36.3535396356	g	SO-CMD-NORTH	sr22i2
261.813904203	65.442639159	g	SO-CMD-NORTH	sr23c2
313.549489542	45.0417513597	g	SO-CMD-NORTH	sr23e1
118.812755621	-8.90836629114	g	SO-CMD-NORTH	sr23f1
173.68840777	-35.480853323	g	SO-SUN	sr24i2
326.126729036	51.0334792488	g	SO-CMD-NORTH	sr25c2
343.669659912	42.8130953912	g	SO-SUN	sr26b2
282.996681703	50.2815597452	g	SO-SUN	sr26e2
320.40350322	48.1766383699	g	SO-SUN	sr26g1
233.523003626	69.6096656838	g	SO-CMD-NORTH	sr27c2
214.760153291	69.183180912	g	SO-CMD-NORTH	sr27d1
198.680666675	-51.3986288242	g	SO-CMD-NORTH	sr28c2
16.862370502	65.1196697679	g	SO-CMD-NORTH	sr29e3
11.2171898892	70.6116978182	g	SO-SUN	sr30d2
21.2367351495	54.2008914612	g	SO-SUN	sr31b1
210.008951528	-44.2780110895	g	SO-SUN	sr34a1
31.2583931499	-40.0418472045	g	SO-SUN	sr36d2
165.043367212	-54.0655078663	g	SO-SUN	sr37i2
185.259011741	-42.9520948518	g	SO-SUN	sr39j2
188.800571082	-60.9475392478	g	SO-SUN	sr40e1
13.7009836487	48.9666891294	g	SO-CMD-NORTH	sr42b1
