tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_flag	specimen_inc	specimen_inferred_age	specimen_inferred_age_sigma	specimen_inferred_age_unit	specimen_mad	specimen_n	specimen_nrm	specimen_tilt_correction
Peter C. Lippert	This study	Ejumaima	07EJ001	EJU-1	07EJ001a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	180	60	mT	u	107.3		p	g	-40.6	34.2	1.3	Ma	0.6	7	l	100
Peter C. Lippert	This study	Ejumaima	07EJ001	EJU-1	07EJ001b	IPGP-2GH	DE-BFL:LP-DIR-T	600	500	°C	u	105.5	Specimen not used to calculate site mean direction.	p	g	-41.3	34.2	1.3	Ma	0.5	6	l	100
Peter C. Lippert	This study	Ejumaima	07EJ002	EJU-1	07EJ002a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	180	60	mT	u	114.4		p	g	-42.1	34.2	1.3	Ma	0.9	7	l	100
Peter C. Lippert	This study	Ejumaima	07EJ003	EJU-1	07EJ003a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	160	60	mT	u	113.8		p	g	-52.9	34.2	1.3	Ma	0.8	6	l	100
Peter C. Lippert	This study	Ejumaima	07EJ004	EJU-1	07EJ004a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	60	mT	u	119.1		p	g	-53.6	34.2	1.3	Ma	0.5	5	l	100
Peter C. Lippert	This study	Ejumaima	07EJ005	EJU-1	07EJ005a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	80	mT	u	122.4		p	g	-41.3	34.2	1.3	Ma	1	4	l	100
Peter C. Lippert	This study	Ejumaima	07EJ006	EJU-1	07EJ006a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	80	mT	u	115.8		p	g	-43.8	34.2	1.3	Ma	0.4	4	l	100
Peter C. Lippert	This study	Ejumaima	07EJ007	EJU-1	07EJ007a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	60	mT	u	115.4		p	g	-41.3	34.2	1.3	Ma	0.5	5	l	100
Peter C. Lippert	This study	Ejumaima	07EJ008	EJU-1	07EJ008a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	60	mT	u	118.2		p	g	-46.6	34.2	1.3	Ma	0.4	5	l	100
Peter C. Lippert	This study	Ejumaima	07EJ009	EJU-2	07EJ009a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	160	60	mT	u	114		p	g	-45.5	34.2	1.3	Ma	0.7	6	l	100
Peter C. Lippert	This study	Ejumaima	07EJ009	EJU-2	07EJ009b	IPGP-2GH	DE-BFL:LP-DIR-T	600	500	°C	u	110.4	Specimen not used to calculate site mean direction.	p	g	-47.7	34.2	1.3	Ma	0.6	6	l	100
Peter C. Lippert	This study	Ejumaima	07EJ010	EJU-2	07EJ010a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	125	50	mT	u	122.5		p	g	-58	34.2	1.3	Ma	1.3	5	l	100
