tab 	pmag_sites
er_citation_names	er_location_name	er_sample_names	er_site_name	er_specimen_names	magic_method_codes	pmag_criteria_codes	site_alpha95	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
This study	Snake River		sr29	sr29a1 : sr29a2 : sr29b1 : sr29c1 : sr29e3 : sr29g1 : sr29g2 : sr29h1	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	1.6	9.5	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	62.8	1	1	Ma					1253.3	8	8	0	n	7.9944	0
This study	Snake River		sr30	sr30a1 : sr30a2 : sr30b2 : sr30c1 : sr30d2 : sr30e1 : sr30i1	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	2.7	7.5	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	66.7	5.75	0.125	Ma					488.7	7	7	0	n	6.9877	0
This study	Snake River		sr31	sr31a1 : sr31a2 : sr31b1 : sr31b3 : sr31c1 : sr31d1 : sr31f1 : sr31h2	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	1.3	23.2	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	54	0.184	0.014	Ma					1820.7	8	8	0	n	7.9962	0
This study	Snake River		sr34	sr34a1 : sr34c1 : sr34f2 : sr34f3 : sr34i3 : sr34j1 : sr34k1	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	2.4	205.8	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	-49.4	0.191	0.008	Ma					642.1	7	6	1	r	6.9914	0
This study	Snake River		sr36	sr36a2 : sr36b1 : sr36c1 : sr36d1 : sr36e1 : sr36i2	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	5.7	197.6	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	-65.5	0.124	0.039	Ma					138.9	6	6	0	r	5.964	0
This study	Snake River		sr37	sr37a2 : sr37i2 : sr37j1 : sr37j2	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	4.8	171.8	Recalculated from original measurements; supercedes published results.	-54.1	0.945	0.03	Ma					416.3	4	3	1	r	3.994	0
This study	Snake River		sr39	sr39a1 : sr39b1 : sr39g3 : sr39h3 : sr39i1 : sr39j2	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	5.2	188.1	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	-47.2	1	1	Ma					168.2	6	6	0	r	5.9703	0
This study	Snake River		sr40	sr40a1 : sr40c2 : sr40e1 : sr40f3 : sr40g1	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	4.2	192.9	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	-60.7	1	1	Ma					335	5	5	0	r	4.9881	0
This study	Snake River		sr42	sr42b1 : sr42c3 : sr42f2 : sr42h2 : sr42j2	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	DE-SPEC	36.5	21.6	Recalculated from original measurements; supercedes published results.	52.7	1	1	Ma					5.4	5	5	0	n	4.2528	0
This study	Snake River	sr01a : sr01d	sr01	sr01a2 : sr01d1	LP-PI-ALT-PTRM:LP-PI-TRM-ZI	IE-SPEC			Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.		3.4	0.03	Ma	3.833e-05	2	1.499e-06	3.911							
This study	Snake River	sr30a	sr30	sr30a2	LP-PI-ALT-PTRM:LP-PI-TRM-ZI	IE-SPEC			Recalculated from original measurements; supercedes published results.		5.75	0.125	Ma	4.845e-05	1	0	0							
This study	Snake River	sr34k	sr34	sr34k1	LP-PI-ALT-PTRM:LP-PI-TRM-ZI	IE-SPEC			Recalculated from original measurements; supercedes published results.		0.191	0.008	Ma	8.51e-05	1	0	0							
This study	Snake River		sr39		LP-PI-ALT-PTRM:LP-PI-TRM-ZI	IE-SPEC			Recalculated from original measurements; supercedes published results.		0.945	0.03	Ma	3.957e-05	1	0	0							
