tab 	sites
age	age_unit	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	magic_method_codes	method_codes	result_type	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
		This study		Tel Hazor startum 5											Archeologic	Mixed Archeological Objects		Not Specified	Tel Hazor					hz05							
																								hz05							
		This study		Tel Hazor startum 6											Archeologic	Mixed Archeological Objects		Not Specified	Tel Hazor					hz06							
																								hz06							
		This study		Tel Hazor startum 7											Archeologic	Mixed Archeological Objects		Not Specified	Tel Hazor					hz07							
																								hz07							
		This study		Tel Hazor startum 9											Archeologic	Mixed Archeological Objects		Not Specified	Tel Hazor					hz09							
																								hz09							
		This study		Tel Hazor startum 10											Archeologic	Mixed Archeological Objects		Not Specified	Tel Hazor					hz10							
																								hz10							
		This study		Tel Hazor startum 11											Archeologic	Mixed Archeological Objects		Not Specified	Tel Hazor					hz11							
																								hz11							
		This study		Tel Hazor startum 13											Archeologic	Mixed Archeological Objects		Not Specified	Tel Hazor					hz13							
																								hz13							
		This study		Tel Hazor startum 15											Archeologic	Mixed Archeological Objects		Not Specified	Tel Hazor					hz15							
																								hz15							
		This study		Tel Hazor startum 18											Archeologic	Mixed Archeological Objects		Not Specified	Tel Hazor					hz18							
																								hz18							
		This study		Tel Hazor startum 20											Archeologic	Mixed Archeological Objects		Not Specified	Tel Hazor					hz20							
																								hz20							
		This study		Tel Megiddo stratum F-10											Archeologic	Mixed Archeological Objects		Not Specified	Tel Megiddo					mgf10							
																								mgf10							
		This study		Tel Megiddo stratum  F-13											Archeologic	Mixed Archeological Objects		Not Specified	Tel Megiddo					mgf13							
																								mgf13							
		This study		Tel Megiddo stratum  H-3											Archeologic	Mixed Archeological Objects		Not Specified	Tel Megiddo					mgh03							
																								mgh03							
		This study		Tel Megiddo stratum  H-5											Archeologic	Mixed Archeological Objects		Not Specified	Tel Megiddo					mgh05							
																								mgh05							
		This study		Tel Megiddo stratum  H-7											Archeologic	Mixed Archeological Objects		Not Specified	Tel Megiddo					mgh07							
																								mgh07							
		This study		Tel Megiddo stratum  H-9											Archeologic	Mixed Archeological Objects		Not Specified	Tel Megiddo					mgh09							
																								mgh09							
		This study		Tel Megiddo stratum  H-12											Archeologic	Mixed Archeological Objects		Not Specified	Tel Megiddo					mgh12							
																								mgh12							
		This study		Oven in stratum H-12											Archeologic	Oven		Not Specified	Tel Megiddo					mgh12t1							
-1125	Years Cal AD (+/-)	This study	ACCEPT	Site direction included in results table	4.2	Fit 1	4.8	56.9	131	10	10	0	9.9313	0					Tel Megiddo		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF		mgh12t1	pmagpy-3.3.2	mgh12t101:mgh12t102:mgh12t1a1:mgh12t1c1:mgh12t1d1:mgh12t1e1:mgh12t1f1:mgh12t1g1:mgh12t1h1:mgh12t1i2					
