tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_flag	specimen_inc	specimen_inferred_age	specimen_inferred_age_sigma	specimen_inferred_age_unit	specimen_mad	specimen_n	specimen_nrm	specimen_tilt_correction
Peter C. Lippert	This study	Nading Co	07ND123	NDC-14	07ND123a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	15.5		p	g	44.2	35.4	2.4	Ma	5.2	4	l	100
Peter C. Lippert	This study	Nading Co	07ND124	NDC-14	07ND124a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	27.1		p	g	47.4	35.4	2.4	Ma	3.1	5	l	100
Peter C. Lippert	This study	Nading Co	07ND125	NDC-14	07ND125a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	40	mT	u	23.4		p	g	45.1	35.4	2.4	Ma	2.2	4	l	100
Peter C. Lippert	This study	Nading Co	07ND126	NDC-14	07ND126a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	41.1	Specimen not used to calculate site mean direction.	p	g	64.8	35.4	2.4	Ma	4.1	5	l	100
Peter C. Lippert	This study	Nading Co	07ND127	NDC-14	07ND127a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	13.4		p	g	42.9	35.4	2.4	Ma	4.2	4	l	100
Peter C. Lippert	This study	Nading Co	07ND128	NDC-14	07ND128a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	34.2	Specimen not used to calculate site mean direction.	p	g	60.8	35.4	2.4	Ma	4.9	5	l	100
Peter C. Lippert	This study	Nading Co	07ND129	NDC-15	07ND129a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	30.1		p	g	32.3	35.4	2.4	Ma	1.3	4	l	100
Peter C. Lippert	This study	Nading Co	07ND130	NDC-15	07ND130a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	27.8		p	g	23.9	35.4	2.4	Ma	1.4	4	l	100
Peter C. Lippert	This study	Nading Co	07ND131	NDC-15	07ND131a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	25.2		p	g	32.6	35.4	2.4	Ma	0.9	4	l	100
Peter C. Lippert	This study	Nading Co	07ND132	NDC-15	07ND132a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	29.7		p	g	23.1	35.4	2.4	Ma	2.5	5	l	100
Peter C. Lippert	This study	Nading Co	07ND133	NDC-15	07ND133a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	22.3		p	g	37.4	35.4	2.4	Ma	1.4	4	l	100
Peter C. Lippert	This study	Nading Co	07ND134	NDC-15	07ND134a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	50	mT	u	25.9		p	g	49.4	35.4	2.4	Ma	1.2	6	l	100
Peter C. Lippert	This study	Nading Co	07ND135	NDC-15	07ND135a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	22.9		p	g	40.2	35.4	2.4	Ma	1.1	5	l	100
Peter C. Lippert	This study	Nading Co	07ND136	NDC-15	07ND136a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	14.4		p	g	35.3	35.4	2.4	Ma	1.9	5	l	100
Peter C. Lippert	This study	Nading Co	07ND136	NDC-15	07ND136b	IPGP-2GH	DE-BFL:LP-DIR-T	685	500	°C	u	8.9	Specimen not used to calculate site mean direction.	p	g	33	35.4	2.4	Ma	0.8	4	l	100
Peter C. Lippert	This study	Nading Co	07ND137	NDC-16	07ND137a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	10.9		p	g	30.5	35.4	2.4	Ma	1.5	5	l	100
Peter C. Lippert	This study	Nading Co	07ND138	NDC-16	07ND138a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	23.9		p	g	43.6	35.4	2.4	Ma	2.3	5	l	100
Peter C. Lippert	This study	Nading Co	07ND139	NDC-16	07ND139a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	17.8		p	g	38.7	35.4	2.4	Ma	2.1	5	l	100
Peter C. Lippert	This study	Nading Co	07ND140	NDC-16	07ND140a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	24.8		p	g	44.7	35.4	2.4	Ma	0.9	5	l	100
Peter C. Lippert	This study	Nading Co	07ND141	NDC-16	07ND141a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	18.9		p	g	40.2	35.4	2.4	Ma	1.9	5	l	100
Peter C. Lippert	This study	Nading Co	07ND141	NDC-16	07ND141b	IPGP-2GH	DE-BFL:LP-DIR-T	685	450	°C	u	16		p	g	35.7	35.4	2.4	Ma	0.8	5	l	100
Peter C. Lippert	This study	Nading Co	07ND142	NDC-16	07ND142a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	110	60	mT	u	12.6		p	g	36	35.4	2.4	Ma	4	5	l	100
Peter C. Lippert	This study	Nading Co	07ND143	NDC-16	07ND143a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	60	mT	u	16.7		p	g	34.8	35.4	2.4	Ma	2.9	6	l	100
Peter C. Lippert	This study	Nading Co	07ND144	NDC-17	07ND144a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	60	mT	u	21.3		p	g	44.5	35.4	2.4	Ma	6.2	6	l	100
Peter C. Lippert	This study	Nading Co	07ND145	NDC-17	07ND145a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	60	mT	u	13.9		p	g	49.9	35.4	2.4	Ma	2.2	7	l	100
Peter C. Lippert	This study	Nading Co	07ND146	NDC-17	07ND146a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	60	mT	u	4.4		p	g	41.4	35.4	2.4	Ma	1.7	6	l	100
Peter C. Lippert	This study	Nading Co	07ND147	NDC-17	07ND147a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	60	mT	u	15.4		p	g	43.9	35.4	2.4	Ma	3.3	6	l	100
Peter C. Lippert	This study	Nading Co	07ND148	NDC-17	07ND148a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	50	mT	u	14.8		p	g	46.7	35.4	2.4	Ma	2.4	7	l	100
Peter C. Lippert	This study	Nading Co	07ND149	NDC-17	07ND149a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	60	mT	u	105.8	Specimen not used to calculate site mean direction.	p	g	54.3	35.4	2.4	Ma	5.1	6	l	100
Peter C. Lippert	This study	Nading Co	07ND150	NDC-17	07ND150a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	110	50	mT	u	15.6		p	g	40.5	35.4	2.4	Ma	3.9	6	l	100
Peter C. Lippert	This study	Nading Co	07ND151	NDC-17	07ND151a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	60	mT	u	18.6		p	g	48.6	35.4	2.4	Ma	4.4	6	l	100
Peter C. Lippert	This study	Nading Co	07ND152	NDC-18	07ND152a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	110	60	mT	u	349.9		p	g	37.5	35.4	2.4	Ma	1.5	5	l	100
Peter C. Lippert	This study	Nading Co	07ND153	NDC-18	07ND153a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	60	mT	u	347.6		p	g	44	35.4	2.4	Ma	1.6	6	l	100
Peter C. Lippert	This study	Nading Co	07ND155	NDC-18	07ND155a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	80	mT	u	349.1		p	g	41.3	35.4	2.4	Ma	2.3	5	l	100
Peter C. Lippert	This study	Nading Co	07ND156	NDC-18	07ND156a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	80	mT	u	351		p	g	34.6	35.4	2.4	Ma	3.3	5	l	100
Peter C. Lippert	This study	Nading Co	07ND157	NDC-18	07ND157a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	80	mT	u	348.6		p	g	38.8	35.4	2.4	Ma	2.5	5	l	100
Peter C. Lippert	This study	Nading Co	07ND158	NDC-18	07ND158a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	80	mT	u	345		p	g	53.7	35.4	2.4	Ma	6.6	5	l	100
Peter C. Lippert	This study	Nading Co	07ND166	NDC-20	07ND166a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	15.5		p	g	29.5	35.4	2.4	Ma	2.9	4	l	100
Peter C. Lippert	This study	Nading Co	07ND167	NDC-20	07ND167a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	80	mT	u	24.6		p	g	34.2	35.4	2.4	Ma	11	5	l	100
Peter C. Lippert	This study	Nading Co	07ND168	NDC-20	07ND168a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	60	mT	u	22.2		p	g	31.6	35.4	2.4	Ma	4.8	4	l	100
Peter C. Lippert	This study	Nading Co	07ND169	NDC-20	07ND169a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	110	60	mT	u	26.7		p	g	36.5	35.4	2.4	Ma	6.5	5	l	100
Peter C. Lippert	This study	Nading Co	07ND170	NDC-20	07ND170a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	60	mT	u	22.3		p	g	36.5	35.4	2.4	Ma	5.9	6	l	100
Peter C. Lippert	This study	Nading Co	07ND171	NDC-20	07ND171a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	60	mT	u	24.3		p	g	33.9	35.4	2.4	Ma	3.7	4	l	100
Peter C. Lippert	This study	Nading Co	07ND172	NDC-20	07ND172a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	100	50	mT	u	20.4		p	g	23.2	35.4	2.4	Ma	2.7	4	l	100
Peter C. Lippert	This study	Nading Co	07ND173	NDC-21	07ND173a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	90	40	mT	u	35.5		p	g	23.4	35.4	2.4	Ma	5.5	5	l	100
Peter C. Lippert	This study	Nading Co	07ND174	NDC-21	07ND174a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	150	50	mT	u	18.5		p	g	28.3	35.4	2.4	Ma	3.6	6	l	100
Peter C. Lippert	This study	Nading Co	07ND175	NDC-21	07ND175a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	120	60	mT	u	20.5		p	g	31.3	35.4	2.4	Ma	2.7	6	l	100
Peter C. Lippert	This study	Nading Co	07ND176	NDC-21	07ND176a	IPGP-2GH : SIO-SUZY	DE-BFL:LP-DIR-AF	110	60	mT	u	16.5		p	g	32.5	35.4	2.4	Ma	12.9	5	l	100
