tab 	er_ages
age	age_description	age_sigma	age_unit	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	timescale_eon	timescale_epoch	timescale_era	timescale_period
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND100	NDC-11	07ND100a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND101	NDC-11	07ND101a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND102	NDC-11	07ND102a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND104	NDC-11	07ND104a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND104	NDC-11	07ND104b	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND105	NDC-11	07ND105a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND106	NDC-11	07ND106a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND107	NDC-12	07ND107a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND107	NDC-12	07ND107b	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND108	NDC-12	07ND108a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND109	NDC-12	07ND109a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND110	NDC-12	07ND110a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND111	NDC-12	07ND111a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND112	NDC-12	07ND112a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND113	NDC-12	07ND113a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND114	NDC-13	07ND114a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND114	NDC-13	07ND114b	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND115	NDC-13	07ND115a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND116	NDC-13	07ND116a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND117	NDC-13	07ND117a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND118	NDC-13	07ND118a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND119	NDC-13	07ND119a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND120	NDC-13	07ND120a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND121	NDC-14	07ND121a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND122	NDC-14	07ND122a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND123	NDC-14	07ND123a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND124	NDC-14	07ND124a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
35.4		2.4	Ma	Ding et al. 2007	Nading Co	07ND125	NDC-14	07ND125a	Gradstein 2004	GM-ARAR-II	Phanerozoic	Eocene : Oligocene	Cenozoic	Paleogene
