tab 	er_images
er_citation_names	er_image_name	er_location_name	er_photographer_mail_names	er_site_name	image_date	image_keywords	image_title	image_type
This study	DSC_0009A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 detail of samples	Outcrop
This study	DSC_0009C.JPG	McMurdo	Hubert Staudigel	mc217	2006:12:16:00:00:00.00	Three sisters : paleomagnetic sampling : McMurdo Volcanics	MC217 outcrop overview	Outcrop
This study	DSC_0010.JPG	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	Tryggve Point : paleomagnetic sampling : McMurdo Volcanics	MC205 detail of samples	Outcrop
This study	DSC_0010A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 detail of samples	Outcrop
This study	DSC_0010C.JPG	McMurdo	Hubert Staudigel	mc217	2006:12:16:00:00:00.00	Three sisters : paleomagnetic sampling : McMurdo Volcanics	MC217 sample detail	Outcrop
This study	DSC_0011.JPG	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	Tryggve Point : paleomagnetic sampling : McMurdo Volcanics	MC205 detail of samples	Outcrop
This study	DSC_0011A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 outcrop overview	Outcrop
This study	DSC_0011C.JPG	McMurdo	Hubert Staudigel	mc217	2006:12:16:00:00:00.00	Three sisters : paleomagnetic sampling : McMurdo Volcanics	MC217 sample detail	Outcrop
This study	DSC_0012.JPG	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	Tryggve Point : paleomagnetic sampling : McMurdo Volcanics	MC205 detail of samples	Outcrop
This study	DSC_0012A.JPG	McMurdo	Hubert Staudigel	mc210	2006:12:05:00:00:00.00	Tent Island : paleomagnetic sampling : McMurdo Volcanics	MC210 outcrop overview	Outcrop
This study	DSC_0012C.JPG	McMurdo	Hubert Staudigel	mc217	2006:12:16:00:00:00.00	Three sisters : paleomagnetic sampling : McMurdo Volcanics	MC217 sample detail	Outcrop
This study	DSC_0013.JPG	McMurdo	Hubert Staudigel	mc205	2006:12:02:00:00:00.00	Tryggve Point : paleomagnetic sampling : McMurdo Volcanics	MC205 detail of samples	Outcrop
