tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_class	sample_declination_correction	sample_description	sample_dip	sample_lat	sample_lithology	sample_lon	sample_orientation_flag	sample_type
This study	McMurdo	mc101b	mc101	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	129.4	Igneous : Extrusive	0		-49.5	-78.306	Basalt	162.928	g	Lava Flow
This study	McMurdo	mc101c	mc101	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	129	Igneous : Extrusive	0		-50.5	-78.306	Basalt	162.928	g	Lava Flow
This study	McMurdo	mc101d	mc101	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	141.8	Igneous : Extrusive	0		-68	-78.306	Basalt	162.928	g	Lava Flow
This study	McMurdo	mc101f	mc101	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	139.2	Igneous : Extrusive	0		-73.5	-78.306	Basalt	162.928	g	Lava Flow
This study	McMurdo	mc101h	mc101	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	131.9	Igneous : Extrusive	0		-65	-78.306	Basalt	162.928	g	Lava Flow
This study	McMurdo	mc102a	mc102	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	241.4	Igneous : Extrusive	0		-79.5	-78.235	Basalt	163.352	g	Lava Flow
This study	McMurdo	mc102b	mc102	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	222.8	Igneous : Extrusive	0		-82.5	-78.235	Basalt	163.352	g	Lava Flow
This study	McMurdo	mc102e	mc102	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	302.1	Igneous : Extrusive	0		-56	-78.235	Basalt	163.352	g	Lava Flow
This study	McMurdo	mc102f	mc102	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	240.5	Igneous : Extrusive	0		-84	-78.235	Basalt	163.352	g	Lava Flow
This study	McMurdo	mc102g	mc102	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	244.2	Igneous : Extrusive	0		-72	-78.235	Basalt	163.352	g	Lava Flow
This study	McMurdo	mc103a	mc103	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	147.8	Igneous : Extrusive	0		-37	-78.235	Basalt	163.36	g	Lava Flow
This study	McMurdo	mc103b	mc103	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	141.2	Igneous : Extrusive	0		-45	-78.235	Basalt	163.36	g	Lava Flow
This study	McMurdo	mc103c	mc103	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	151.2	Igneous : Extrusive	0		-59.5	-78.235	Basalt	163.36	g	Lava Flow
This study	McMurdo	mc103d	mc103	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	152.5	Igneous : Extrusive	0		-71	-78.235	Basalt	163.36	g	Lava Flow
This study	McMurdo	mc103e	mc103	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	159.7	Igneous : Extrusive	0		-57	-78.235	Basalt	163.36	g	Lava Flow
This study	McMurdo	mc104a	mc104	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	37.5	Igneous : Extrusive	0		-70	-78.238	Basalt	163.401	g	Lava Flow
This study	McMurdo	mc104b	mc104	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	32.8	Igneous : Extrusive	0		-85	-78.238	Basalt	163.401	g	Lava Flow
This study	McMurdo	mc104c	mc104	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	66.1	Igneous : Extrusive	0		-82	-78.238	Basalt	163.401	g	Lava Flow
This study	McMurdo	mc104d	mc104	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	66.8	Igneous : Extrusive	0		-94	-78.238	Basalt	163.401	g	Lava Flow
This study	McMurdo	mc104f	mc104	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	13.8	Igneous : Extrusive	0		-59	-78.238	Basalt	163.401	g	Lava Flow
This study	McMurdo	mc105a	mc105	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	161.3	Igneous : Extrusive	0		-38.5	-78.245	Basalt	163.231	g	Lava Flow
This study	McMurdo	mc105c	mc105	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	266.7	Igneous : Extrusive	0		-27.5	-78.245	Basalt	163.231	g	Lava Flow
This study	McMurdo	mc105d	mc105	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	170.7	Igneous : Extrusive	0		-27	-78.245	Basalt	163.231	g	Lava Flow
This study	McMurdo	mc105f	mc105	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	171	Igneous : Extrusive	0		-50	-78.245	Basalt	163.231	g	Lava Flow
This study	McMurdo	mc105g	mc105	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	139.2	Igneous : Extrusive	0		-51.5	-78.245	Basalt	163.231	g	Lava Flow
This study	McMurdo	mc105h	mc105	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	149.2	Igneous : Extrusive	0		-46	-78.245	Basalt	163.231	g	Lava Flow
This study	McMurdo	mc105j	mc105	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	164	Igneous : Extrusive	0		-67.5	-78.245	Basalt	163.231	g	Lava Flow
This study	McMurdo	mc106a	mc106	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	262.9	Igneous : Extrusive	0		-29	-78.21	Basalt	163.308	g	Lava Flow
This study	McMurdo	mc106b	mc106	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	218.6	Igneous : Extrusive	0		-34.5	-78.21	Basalt	163.308	g	Lava Flow
This study	McMurdo	mc106c	mc106	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	177.6	Igneous : Extrusive	0		-78.5	-78.21	Basalt	163.308	g	Lava Flow
This study	McMurdo	mc106d	mc106	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	178.9	Igneous : Extrusive	0		-65.5	-78.21	Basalt	163.308	g	Lava Flow
This study	McMurdo	mc106e	mc106	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	198.7	Igneous : Extrusive	0		-52	-78.21	Basalt	163.308	g	Lava Flow
This study	McMurdo	mc107c	mc107	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	168.7	Igneous : Extrusive	0		-34	-78.204	Basalt	163.347	g	Lava Flow
This study	McMurdo	mc107d	mc107	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	175.2	Igneous : Extrusive	0		-34.5	-78.204	Basalt	163.347	g	Lava Flow
This study	McMurdo	mc107e	mc107	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	181.1	Igneous : Extrusive	0		-37	-78.204	Basalt	163.347	g	Lava Flow
This study	McMurdo	mc107h	mc107	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	173.3	Igneous : Extrusive	0		-53	-78.204	Basalt	163.347	g	Lava Flow
This study	McMurdo	mc107k	mc107	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	139.3	Igneous : Extrusive	0		-30	-78.204	Basalt	163.347	g	Lava Flow
This study	McMurdo	mc107l	mc107	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	151.1	Igneous : Extrusive	0		-30	-78.204	Basalt	163.347	g	Lava Flow
This study	McMurdo	mc108a	mc108	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	347.3	Igneous : Extrusive	0		-63	-78.247	Basalt	163.323	g	Lava Flow
This study	McMurdo	mc108b	mc108	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	352.8	Igneous : Extrusive	0		-61	-78.247	Basalt	163.323	g	Lava Flow
This study	McMurdo	mc108d	mc108	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	354.8	Igneous : Extrusive	0		-66	-78.247	Basalt	163.323	g	Lava Flow
This study	McMurdo	mc108g	mc108	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	35.1	Igneous : Extrusive	0		-28	-78.247	Basalt	163.323	g	Lava Flow
This study	McMurdo	mc108k	mc108	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	333.8	Igneous : Extrusive	0		-43.5	-78.247	Basalt	163.323	g	Lava Flow
This study	McMurdo	mc109a	mc109	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	356.3	Igneous : Extrusive	0		-23	-78.282	Basalt	163.544	g	Lava Flow
This study	McMurdo	mc109c	mc109	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	91.4	Igneous : Extrusive	0		-51	-78.282	Basalt	163.544	g	Lava Flow
This study	McMurdo	mc109d	mc109	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	61.9	Igneous : Extrusive	0		-46	-78.282	Basalt	163.544	g	Lava Flow
This study	McMurdo	mc109e	mc109	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	71.3	Igneous : Extrusive	0		-37.5	-78.282	Basalt	163.544	g	Lava Flow
This study	McMurdo	mc109i	mc109	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	122.4	Igneous : Extrusive	0		-46	-78.282	Basalt	163.544	g	Lava Flow
This study	McMurdo	mc10a	mc10	FS-FD:SO-SIGHT	200	Igneous : Extrusive	0	Archived samples from 1965, 66 expeditions.	-73	-77.57	Basalt	166.23	g	Lava Flow
This study	McMurdo	mc10b	mc10	FS-FD:SO-SIGHT	224	Igneous : Extrusive	0	Archived samples from 1965, 66 expeditions.	-70	-77.57	Basalt	166.23	g	Lava Flow
This study	McMurdo	mc10c	mc10	FS-FD:SO-SIGHT	279	Igneous : Extrusive	0	Archived samples from 1965, 66 expeditions.	-52	-77.57	Basalt	166.23	g	Lava Flow
This study	McMurdo	mc10d	mc10	FS-FD:SO-SIGHT	155	Igneous : Extrusive	0	Archived samples from 1965, 66 expeditions.	-37	-77.57	Basalt	166.23	g	Lava Flow
This study	McMurdo	mc10e	mc10	FS-FD:SO-SIGHT	174	Igneous : Extrusive	0	Archived samples from 1965, 66 expeditions.	-70	-77.57	Basalt	166.23	g	Lava Flow
This study	McMurdo	mc10f	mc10	FS-FD:SO-SIGHT	254	Igneous : Extrusive	0	Archived samples from 1965, 66 expeditions.	-73	-77.57	Basalt	166.23	g	Lava Flow
This study	McMurdo	mc10g	mc10	FS-FD:SO-SIGHT	271	Igneous : Extrusive	0	Archived samples from 1965, 66 expeditions.	-31	-77.57	Basalt	166.23	g	Lava Flow
This study	McMurdo	mc10h	mc10	FS-FD:SO-SIGHT	289	Igneous : Extrusive	0	Archived samples from 1965, 66 expeditions.	-70	-77.57	Basalt	166.23	g	Lava Flow
This study	McMurdo	mc110a	mc110	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	325.6	Igneous : Extrusive	0		-49	-78.238	Basalt	163.443	g	Lava Flow
This study	McMurdo	mc110b	mc110	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	331.6	Igneous : Extrusive	0		-47	-78.238	Basalt	163.443	g	Lava Flow
This study	McMurdo	mc110d	mc110	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	337.1	Igneous : Extrusive	0		-40	-78.238	Basalt	163.443	g	Lava Flow
This study	McMurdo	mc110g	mc110	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	18.1	Igneous : Extrusive	0		-80	-78.238	Basalt	163.443	g	Lava Flow
This study	McMurdo	mc110i	mc110	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	31.1	Igneous : Extrusive	0		-84	-78.238	Basalt	163.443	g	Lava Flow
This study	McMurdo	mc111a	mc111	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	176.5	Igneous : Extrusive	0		-51	-78.224	Basalt	162.787	g	Lava Flow
This study	McMurdo	mc111b	mc111	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	173	Igneous : Extrusive	0		-45	-78.224	Basalt	162.787	g	Lava Flow
This study	McMurdo	mc111d	mc111	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	164.2	Igneous : Extrusive	0		-55	-78.224	Basalt	162.787	g	Lava Flow
This study	McMurdo	mc111e	mc111	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	174	Igneous : Extrusive	0		-54	-78.224	Basalt	162.787	g	Lava Flow
This study	McMurdo	mc111f	mc111	FS-FD:FS-LOC-GPS:SO-POM:SO-SUN	81.7	Igneous : Extrusive	0		-91	-78.224	Basalt	162.787	g	Lava Flow
This study	McMurdo	mc112a	mc112	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	260	Igneous : Extrusive	0		-71	-78.238	Basalt	163.441	g	Lava Flow
This study	McMurdo	mc112d	mc112	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	4	Igneous : Extrusive	0		-74	-78.238	Basalt	163.441	g	Lava Flow
This study	McMurdo	mc112g	mc112	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	315.5	Igneous : Extrusive	0		-51	-78.238	Basalt	163.441	g	Lava Flow
This study	McMurdo	mc112h	mc112	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	316.5	Igneous : Extrusive	0		-54	-78.238	Basalt	163.441	g	Lava Flow
This study	McMurdo	mc112j	mc112	FS-FD:FS-LOC-GPS:SO-POM:SO-GPS-DIFF	294	Igneous : Extrusive	0		-63	-78.238	Basalt	163.441	g	Lava Flow
