tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
This study	Snake River	sr20e	sr20	sr20e1	sr20e1 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.16	0.01	T				u		332	Recalculated from original measurements; supercedes published results.	l				55.3						1		10			0
This study	Snake River	sr20i	sr20	sr20i1	sr20i1 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		330.4	Recalculated from original measurements; supercedes published results.	l				31.9						0.6		11			0
This study	Snake River	sr21d	sr21	sr21d1	sr21d1 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		176.1	Recalculated from original measurements; supercedes published results.	l				-69.2						1.3		11			0
This study	Snake River	sr22b	sr22	sr22b2	sr22b2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		12.7	Recalculated from original measurements; supercedes published results.	l				29.9						1.4		9			0
This study	Snake River	sr22d	sr22	sr22d3	sr22d3 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		5.4	Recalculated from original measurements; supercedes published results.	l				35.7						2.2		8			0
This study	Snake River	sr22e	sr22	sr22e1	sr22e1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.02	T				u		1.8	Recalculated from original measurements; supercedes published results.	l				28.4						1.2		10			0
This study	Snake River	sr22f	sr22	sr22f1	sr22f1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		5.9	Recalculated from original measurements; supercedes published results.	l				30.1						1.9		9			0
This study	Snake River	sr23a	sr23	sr23a1	sr23a1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		12.8	Recalculated from original measurements; supercedes published results.	l				45.8						1.6		11			0
This study	Snake River	sr23b	sr23	sr23b2	sr23b2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		17.7	Recalculated from original measurements; supercedes published results.	l				43.7						0.5		9			0
This study	Snake River	sr23d	sr23	sr23d3	sr23d3 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.02	T				u		12.9	Recalculated from original measurements; supercedes published results.	l				48.4						1		10			0
This study	Snake River	sr23g	sr23	sr23g1	sr23g1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.12	0.06	T				u		14.1	Recalculated from original measurements; supercedes published results.	l				45.9						3		4			0
This study	Snake River	sr24a	sr24	sr24a1	sr24a1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.08	T				u		158.7	Recalculated from original measurements; supercedes published results.	l				-60.5						1.2		6			0
This study	Snake River	sr24b	sr24	sr24b3	sr24b3 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		159.9	Recalculated from original measurements; supercedes published results.	l				-61						0.9		9			0
This study	Snake River	sr24c	sr24	sr24c2	sr24c2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		156.9	Recalculated from original measurements; supercedes published results.	l				-62.4						1.5		9			0
This study	Snake River	sr24d	sr24	sr24d1	sr24d1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		167.3	Recalculated from original measurements; supercedes published results.	l				-66.9						1.2		11			0
This study	Snake River	sr24j	sr24	sr24j2	sr24j2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.14	0.01	T				u		196.7	Recalculated from original measurements; supercedes published results.	l				-61.4						7.4		9			0
This study	Snake River	sr25b	sr25	sr25b2	sr25b2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.04	T				u		1.5	Recalculated from original measurements; supercedes published results.	l				59.6						1.3		8			0
