tab	er_specimens							
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_citation_names	specimen_class	specimen_lithology	specimen_type	specimen_elevation
sml0109b1	sml0109	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	10
sml0109b2	sml0109	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	15
sml0109b3	sml0109	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0109b4	sml0109	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0110a1	sml0110	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0110a2	sml0110	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0202a1	sml0202	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0202a2	sml0202	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0202a3	sml0202	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0202a4	sml0202	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0204b1	sml0204	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0204b2	sml0204	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0303c1	sml0303	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0303c2	sml0303	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0304a1	sml0304	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0304a2	sml0304	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0304a3	sml0304	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0304a4	sml0304	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	23
sml0508a1	sml0508	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0508a2	sml0508	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0510b1	sml0510	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0510b2	sml0510	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0511b1	sml0511	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0511b2	sml0511	Feteiras	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0702a1	sml0702	Carvao	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0702a2	sml0702	Carvao	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0703b1	sml0703	Carvao	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0703b2	sml0703	Carvao	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0703b3	sml0703	Carvao	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0703b4	sml0703	Carvao	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0801b1	sml0801	Fogo 1X	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0801b2	sml0801	Fogo 1X	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0802a1	sml0802	Fogo 1X	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0802a2	sml0802	Fogo 1X	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0805b1	sml0805	Fogo 1X	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0805b2	sml0805	Fogo 1X	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0805b3	sml0805	Fogo 1X	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml0805b4	sml0805	Fogo 1X	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1006b1	sml1006	Fogo 1	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1006b2	sml1006	Fogo 1	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1104a1	sml1104	Cruz S	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1104a2	sml1104	Cruz S	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1307a1	sml1307	Mos	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1307a2	sml1307	Mos	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1307a3	sml1307	Mos	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1307a4	sml1307	Mos	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1308b1	sml1308	Mos	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1308b2	sml1308	Mos	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1410b1	sml1410	Lagoa	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1410b2	sml1410	Lagoa	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1410b3	sml1410	Lagoa	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
sml1410b4	sml1410	Lagoa	Azores	This study	Igneous : Extrusive	Basalt	Lava Flow	
