M5-113D	14Y-68445	9/7/14	14:08	A	40	343.8	40.2	11.8	40.2	11.8	40.2	8.15E-07
M5-113D	14Y-68446	9/7/14	14:10	A	50	308	17.2	336	17.2	336	17.2	1.13E-06
M5-113D	14Y-68447	9/7/14	14:13	A	65	305.7	34.5	333.7	34.5	333.7	34.5	1.00E-06
M5-113D	14Y-68448	9/7/14	14:15	A	80	294	-11	322	-11	322	-11	5.33E-07
M5-113D	14Y-68449	9/7/14	14:18	A	100	350.8	-15.8	18.8	-15.8	18.8	-15.8	4.18E-07
M5-114D	14Y-68450	9/7/14	14:21	N	0	322.8	26.8	355.8	26.8	355.8	26.8	8.46E-06
M5-114D	14Y-68451	9/7/14	14:22	A	5	316.1	31.5	349.1	31.5	349.1	31.5	5.89E-06
M5-114D	14Y-68452	9/7/14	14:24	A	10	318.6	35.3	351.6	35.3	351.6	35.3	3.38E-06
M5-114D	14Y-68453	9/7/14	14:26	A	15	317.7	35.4	350.7	35.4	350.7	35.4	2.24E-06
M5-114D	14Y-68454	9/7/14	14:27	A	20	323.9	32.3	356.9	32.3	356.9	32.3	1.46E-06
M5-114D	14Y-68455	9/7/14	14:29	A	30	340.2	19.1	13.2	19.1	13.2	19.1	1.04E-06
M5-114D	14Y-68456	9/7/14	14:31	A	40	314.1	63.5	347.1	63.5	347.1	63.5	4.76E-07
M5-114D	14Y-68457	9/7/14	14:34	A	50	351.9	5.9	24.9	5.9	24.9	5.9	3.71E-07
M5-114D	14Y-68458	9/7/14	14:36	A	65	61.9	22.1	94.9	22.1	94.9	22.1	3.99E-07
M5-114D	14Y-68459	9/7/14	14:39	A	80	11.7	26.1	44.7	26.1	44.7	26.1	3.66E-07
M5-114D	14Y-68460	9/7/14	14:42	A	100	14.6	-5.6	47.6	-5.6	47.6	-5.6	3.32E-07
M5-115D	14Y-68462	9/8/14	10:51	N	0	314.7	48.3	346.7	48.3	346.7	48.3	1.05E-05
M5-115D	14Y-68463	9/8/14	10:53	A	5	315.8	46	347.8	46	347.8	46	8.80E-06
