tab 	specimens
aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
0.3331316:0.3331367:0.3337316:0.0003982:-0.0000358:0.0002492	192	0.0001335	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-005H-2-W-48		318-U1361A-005H-2-W-48
0.3361116:0.3353611:0.3285273:-0.0000394:0.0000566:-0.0006483	192	0.0001215	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-005H-3-W-78		318-U1361A-005H-3-W-78
0.3338174:0.3348019:0.3313807:-0.0003343:-0.0004081:0.0016614	192	0.0002012	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-005H-4-W-55		318-U1361A-005H-4-W-55
0.3346732:0.332268:0.3330588:-0.00082:0.0003171:-0.0009889	192	0.0001939	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-005H-5-W-47		318-U1361A-005H-5-W-47
0.3359715:0.3352544:0.3287741:-0.000795:0.0003372:0.0004501	192	0.0003598	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-005H-6-W-48		318-U1361A-005H-6-W-48
0.3351787:0.3357355:0.3290858:-0.0005568:-0.000548:0.0003496	192	0.000141	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-005H-7-W-38		318-U1361A-005H-7-W-38
0.3377088:0.3373364:0.3249547:-0.000125:0.0000441:-0.0000793	192	0.0001302	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-006H-1-W-55		318-U1361A-006H-1-W-55
0.3334428:0.333957:0.3326003:0.0002024:0.0002752:0.0004315	192	0.0001347	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-006H-2-W-55		318-U1361A-006H-2-W-55
0.3371247:0.3346729:0.3282024:0.0003217:-0.0000221:-0.0004838	192	0.0001036	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-006H-3-W-54		318-U1361A-006H-3-W-54
0.3348885:0.333299:0.3318125:0.0017125:0.000634:0.0002119	192	0.0002674	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-006H-4-W-55		318-U1361A-006H-4-W-55
0.335368:0.334431:0.3302009:0.0001781:-0.0000822:-0.0000429	192	8.47e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-006H-5-W-55		318-U1361A-006H-5-W-55
0.3369922:0.3364629:0.326545:0.000427:0.0026415:0.0003726	192	0.0002416	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-006H-6-W-55		318-U1361A-006H-6-W-55
0.3414331:0.3418382:0.3167287:0.0000464:0.0009222:0.0037881	192	0.0001261	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-006H-7-W-98		318-U1361A-006H-7-W-98
0.3339678:0.3338792:0.332153:-0.0001784:-0.0000695:0.000228	192	0.0001066	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-007H-1-W-100		318-U1361A-007H-1-W-100
0.33373:0.3335668:0.3327032:0.0001152:-0.0003065:0.0001168	192	0.0001217	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-007H-2-W-110		318-U1361A-007H-2-W-110
0.3418637:0.3413951:0.3167411:0.0004522:0.0002204:0.0016823	192	0.0002585	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-007H-3-W-135		318-U1361A-007H-3-W-135
0.3362659:0.3354967:0.3282375:-0.0000749:0.0008207:0.0020542	192	0.0003626	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-007H-4-W-42		318-U1361A-007H-4-W-42
0.3344426:0.3359459:0.3296115:-0.0011979:0.0005796:-0.0004463	192	0.0001067	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-007H-5-W-110		318-U1361A-007H-5-W-110
0.3412301:0.3397867:0.3189833:0.0001315:-0.0000794:0.0012542	192	0.0001135	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-007H-6-W-23		318-U1361A-007H-6-W-23
0.3332509:0.333944:0.3328051:-0.0004538:0.0003502:-0.0003602	192	0.0001096	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-007H-7-W-20		318-U1361A-007H-7-W-20
0.3383692:0.3381316:0.3234992:-0.0000001:0.0001773:-0.0009298	192	9.379999999999999e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-008H-1-W-73		318-U1361A-008H-1-W-73
0.3402736:0.3369106:0.3228159:0.0002627:0.0003023:0.0003557	192	0.0001635	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-008H-2-W-92		318-U1361A-008H-2-W-92
0.3335148:0.3346589:0.3318263:0.0005019:-0.0017279:0.0009241	192	8.63e-05	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-008H-3-W-102		318-U1361A-008H-3-W-102
0.3375383:0.3372371:0.3252246:0.0000324:0.0006901:0.0013837	192	0.0001003	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-008H-4-W-78		318-U1361A-008H-4-W-78
0.3340178:0.3327389:0.3332433:0.0000351:0.0007733:-0.0005534	192	0.0001934	Normalized by trace	-1	AMS	This study												Sedimentary	Sediment Layer		Not Specified				AE-H:LP-AN-MS:SO-V:LP-X	g	318-U1361A-008H-5-W-67		318-U1361A-008H-5-W-67
