tab 	ages
age	age_high	age_low	age_sigma	citations	location	method_codes	tiepoint	tiepoint_height	tiepoint_type	timescale_citations
5				10.1029/2012PA002308	U1361A	GM-FOSSIL	Lychnocanium grande LCO	-139.21	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
6.033				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C3An.1n (y)	-143.83	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
6.252				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C3An.1n (o)	-153.8	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
6.436				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C3An.2n (y)	-162.84	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
5.91	6.92	4.9	1.01	10.1029/2012PA002308	U1361A	GM-FOSSIL	Thalassiosira miocenica LO	-163.72	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
5.98	6.86	5.1	0.88	10.1029/2012PA002308	U1361A	GM-FOSSIL	Fragilariopsis donahuensis LO	-163.72	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
6.733				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C3An.2n (o)	-171.43	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
7.29	8.33	6.25	1.04	10.1029/2012PA002308	U1361A	GM-FOSSIL	Thalassiosira miocenica FO	-175.57	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
6.85				10.1029/2012PA002308	U1361A	GM-FOSSIL	Thalassiosira mahoodii LO	-175.76	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
7.8				10.1029/2012PA002308	U1361A	GM-FOSSIL	Acrosphaera? labrata FO	-194.6	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
6.175	7.21	5.14	1.035	10.1029/2012PA002308	U1361A	GM-FOSSIL	Thalassiosira oliverana FO	-210.34	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
8.625	8.68	8.57	0.055	10.1029/2012PA002308	U1361A	GM-FOSSIL	Denticulopsis simonsenii LAO	-210.56	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
7.23	8.03	6.43	0.8	10.1029/2012PA002308	U1361A	GM-FOSSIL	Thalassiosira torokina FO	-217.24	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
9.1				10.1029/2012PA002308	U1361A	GM-FOSSIL	Cycladophora spongothrax LO	-225.36	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
8.769				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C4An (y)	-232.75	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
8.47				10.1029/2012PA002308	U1361A	GM-FOSSIL	Thalassiosira mahoodii FO	-258.27	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
10.4				10.1029/2012PA002308	U1361A	GM-FOSSIL	Acrosphaera australis FO	-278.2	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
10.5				10.1029/2012PA002308	U1361A	GM-FOSSIL	Eucyritidium pseudoinflatum FO	-283.05	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
9.64	10.71	8.57	1.07	10.1029/2012PA002308	U1361A	GM-FOSSIL	Denticulopsis ovata LO	-292.6	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
11.04				10.1029/2012PA002308	U1361A	GM-PMAG-POL	C5n.2n (o)	-315.47	Magnetic Chron	10.1016/b978-0-444-59425-9.00005-6
10.775	10.97	10.58	0.195	10.1029/2012PA002308	U1361A	GM-FOSSIL	Denticulopsis dimorpha s.l. LAO	-316.12	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
10.245	10.77	9.72	0.525	10.1029/2012PA002308	U1361A	GM-FOSSIL	Denticulopsis dimorpha var. areolata LO	-316.38	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
10.8				10.1029/2012PA002308	U1361A	GM-FOSSIL	Actinomma golowini LO	-320.92	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
12.5	12.54	12.46	0.04	10.1029/2012PA002308	U1361A	GM-FOSSIL	Denticulopsis dimorpha s.l. FO	-373.49	Biostratigraphic datum	10.1016/b978-0-444-59425-9.00005-6
