tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference
16749	3	2020-02-15T20:31:55.746Z	@ltauxe	3.0	10.1016/J.EPSL.2014.12.034
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	expedition_name	expedition_ship	expedition_leg	expedition_url	geologic_classes	lithologies	tectonic_settings	lat_s	lat_n	lon_w	lon_e	continent_ocean	region	age_low	age_high	age_unit
U1361A	Drill Site	This study	318	JOIDES Resolution	318	http://publications.iodp.org/proceedings/318/318toc.htm	Sedimentary	Silicate Clay:Silty Clay	Continental Shelf	-64.2457	-64.2457	143.532	143.532	Indian Ocean	Wilkes Land Margin	0	12	ma
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	core_depth	age_low	age_high	age_unit
318-U1361A-001H-2-W-35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	1.85	0	13	Ma
318-U1361A-001H-3-W-90	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	3.9	0	13	Ma
318-U1361A-001H-4-W-50	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	5	0	13	Ma
318-U1361A-001H-5-W-59	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	6.59	0	13	Ma
318-U1361A-001H-6-W-60	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	8.1	0	13	Ma
318-U1361A-001H_2A-0.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	1.6	0	13	Ma
318-U1361A-001H_2A-0.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	1.65	0	13	Ma
318-U1361A-001H_2A-0.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	1.7	0	13	Ma
318-U1361A-001H_2A-0.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	1.75	0	13	Ma
318-U1361A-001H_2A-0.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	1.8	0	13	Ma
318-U1361A-001H_2A-0.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	1.85	0	13	Ma
318-U1361A-001H_2A-0.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	1.9	0	13	Ma
318-U1361A-001H_2A-0.45	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	1.95	0	13	Ma
318-U1361A-001H_2A-0.5	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2	0	13	Ma
318-U1361A-001H_2A-0.55	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.05	0	13	Ma
318-U1361A-001H_2A-0.6	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.1	0	13	Ma
318-U1361A-001H_2A-0.65	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.15	0	13	Ma
318-U1361A-001H_2A-0.7	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.2	0	13	Ma
318-U1361A-001H_2A-0.75	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.25	0	13	Ma
318-U1361A-001H_2A-0.8	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.3	0	13	Ma
318-U1361A-001H_2A-0.85	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.35	0	13	Ma
318-U1361A-001H_2A-0.9	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.4	0	13	Ma
318-U1361A-001H_2A-0.95	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.45	0	13	Ma
318-U1361A-001H_2A-1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.5	0	13	Ma
318-U1361A-001H_2A-1.05	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.55	0	13	Ma
318-U1361A-001H_2A-1.1	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.6	0	13	Ma
318-U1361A-001H_2A-1.15	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.65	0	13	Ma
318-U1361A-001H_2A-1.2	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.7	0	13	Ma
318-U1361A-001H_2A-1.25	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.75	0	13	Ma
318-U1361A-001H_2A-1.3	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.8	0	13	Ma
318-U1361A-001H_2A-1.35	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.85	0	13	Ma
318-U1361A-001H_2A-1.4	U1361A	i	g	SO-V:FS-C-DRILL-IODP	This study	Sedimentary	Sediment Layer	Not Specified	-64.2457	143.532	2.9	0	13	Ma
