tab	contribution
magic_version	doi
3.0	10.1139/e74-113
>>>>>>>>>>
tab 	locations																																	
location_name	site_names	result_type	method_codes	citations	location_type	geologic_classes	lithologies	plate_blocks	tectonic_settings	lat_s	lat_n	lon_w	lon_e	continent_ocean	country	region	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_sites	fold_test	conglomerate_test	contact_test	reversal_test	pole_comp_name	pole_lat	pole_lon	pole_alpha95	pole_n_sites	rock_magnetic_test	description
Osler Volcanics, Nipigon Strait, Lower Reversed				This study	Region	Extrusive	Basalt	North American Plate	Continental Rift	48.711501	48.66	271.93353	271.95	North America	Canada	Lake Superior																		
Osler Volcanics, Nipigon Strait, Upper Normal				This study	Region	Extrusive	Basalt	North American Plate	Continental Rift	48.64	48.66	271.91	271.96	North America	Canada	Lake Superior																		
Osler Volcanics, Nipigon Strait, Lower Reversed	6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30	a	DE-FM:DE-VGP:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:Fisher 1953:McElhinny & McFadden 2000													100	114.967445	-57.57295621	4.624479368	24.4024562	40.16441995	25	ND	ND	ND	ND	Characteristic	33.85573654	178.2632514	8.678164894	5	ND	All Reversed Flows
Osler Volcanics, Nipigon Strait, Upper Normal	1:2:3:4:5	a	DE-FM:DE-VGP:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:Fisher 1953:McElhinny & McFadden 2000													100	296.4616437	39.46409514	8.47928537	4.951447891	82.38571031	5	ND	ND	ND	ND	Characteristic	43.6574194	196.3384635	5.853207367	25	ND	All Normal Flows
>>>>>>>>>>
tab 	sites
location_name	site_name	result_type	method_codes	citations	bed_dip	bed_dip_direction	geologic_classes	geologic_types	lithologies	lat	lon	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	conglomerate_test	vgp_lat	vgp_lon	vgp_n_samples	description
Osler Volcanics, Nipigon Strait, Lower Reversed	9	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.676652	271.940536	100	110	-56.6		1		ND	39.32495688	196.4878545	1	VGP:Site 9
Osler Volcanics, Nipigon Strait, Lower Reversed	10		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	30	134	Extrusive	Lava Flow	Basalt			0	129.7	-12.1	59	5	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	10		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	30	134	Extrusive	Lava Flow	Basalt			100	128.2	-42	59	5	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	10	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.664307	271.930409	100	128.2	-42		1		ND	42.89645001	169.9339018	1	VGP:Site 10
Osler Volcanics, Nipigon Strait, Lower Reversed	11		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	30	132	Extrusive	Lava Flow	Basalt			0	106.7	-33.9	456	3	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	11		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	30	132	Extrusive	Lava Flow	Basalt			100	88.3	-59.1	456	3	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	11	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.657548	271.928069	100	88.3	-59.1		1		ND	27.79512405	211.8003348	1	VGP:Site 11
Osler Volcanics, Nipigon Strait, Lower Reversed	12		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	40	132	Extrusive	Lava Flow	Basalt			0	123.2	-9.6	240	5	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	12		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	40	132	Extrusive	Lava Flow	Basalt			100	118.6	-48.9	240	5	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	12	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.65743	271.921876	100	118.6	-48.9		1		ND	40.36658915	183.175792	1	VGP:Site 12
Osler Volcanics, Nipigon Strait, Lower Reversed	13		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	35	120	Extrusive	Lava Flow	Basalt			0	126.4	-3.3	886	3	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	13		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	35	120	Extrusive	Lava Flow	Basalt			100	128.1	-38	886	3	r					
Osler Volcanics, Nipigon Strait, Lower Reversed	13	i	DE-DI:FS-LOC-GOOGLE:LP-DC2	Cox & Doell 1960:McElhinny & McFadden 2000						48.651106	271.914755	100	128.1	-38		1		ND	40.75688206	167.3043405	1	VGP:Site 13
Osler Volcanics, Nipigon Strait, Lower Reversed	14		DE-K:LP-DC2:FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM	This study	20	120	Extrusive	Lava Flow	Basalt			0	111.9	-36.2	121	6	r					
