tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	description
14132	4	2015-02-20T12:21:14.000Z	@ltauxe	3.0	10.1111/j.1365-246X.1997.tb04082.x	Upgraded to MagIC Data Model 3.0 by the MagIC Database Team
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	plate_blocks	lat_s	lat_n	lon_w	lon_e	continent_ocean
DSDP Site 522	Drill Site	This study	African Plate	-27	-27	355	355	Atlantic Ocean
>>>>>>>>>>
tab delimited	sites
site	location	citations	geologic_classes	geologic_types	lithologies	core_depth	age	age_unit
15-2-037	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	56.97	23.3385	Ma
15-2-040	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57	23.3488	Ma
15-2-043	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.03	23.3592	Ma
15-2-046	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.05	23.3662	Ma
15-2-050	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.09	23.38	Ma
15-2-055	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.14	23.3978	Ma
15-2-058	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.18	23.412	Ma
15-2-061	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.2	23.4191	Ma
15-2-064	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.23	23.4298	Ma
15-2-067	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.26	23.4404	Ma
15-2-070	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.29	23.4511	Ma
15-2-073	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.32	23.4618	Ma
15-2-076	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.36	23.476	Ma
15-2-079	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.39	23.4867	Ma
15-2-082	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.42	23.4973	Ma
15-2-085	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.45	23.508	Ma
15-2-088	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.48	23.5187	Ma
15-2-091	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.51	23.5293	Ma
15-2-095	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.54	23.54	Ma
15-2-098	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.57	23.5453	Ma
15-2-101	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.6	23.5507	Ma
15-2-104	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.63	23.556	Ma
15-2-107	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.66	23.5613	Ma
15-2-109	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.68	23.5649	Ma
15-2-113	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.73	23.5737	Ma
15-2-116	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.76	23.5791	Ma
15-2-119	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.79	23.5844	Ma
15-2-123	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.82	23.5897	Ma
15-2-126	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.85	23.595	Ma
15-2-128	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.88	23.6004	Ma
15-2-132	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.91	23.6057	Ma
15-2-135	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.94	23.611	Ma
15-2-138	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	57.97	23.6164	Ma
15-2-141	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58	23.6217	Ma
15-2-143	DSDP Site 522	This study	sedimentary	sedimentary layer	nannofossil ooze	58.03	23.627	Ma
